source_file,page,source_table_id,row_in_table,state,municipality,category,category_inferred_from_ditto,lighting_system,lighting_system_inferred_from_ditto,directing_company,directing_company_inferred_from_ditto,inauguration_date,annual_government_expense
all_tables.pdf,62,tbl-151.md,1,Alagoas,Agua Branca.,Cidade,no,Kerozene,no,Municipal,no,1906,1:000$
all_tables.pdf,62,tbl-151.md,2,Alagoas,Alagôas.,Cidade,yes,Kerozene,yes,Municipal,yes,,1:200$
all_tables.pdf,62,tbl-151.md,3,Alagoas,Anadia.,Cidade,yes,Kerozene,yes,Municipal,yes,1909,1:080$
all_tables.pdf,62,tbl-151.md,4,Alagoas,Atalaia.,Cidade,yes,Kerozene,yes,Municipal,yes,,1:312$
all_tables.pdf,62,tbl-151.md,5,Alagoas,Camaragibe.,Cidade,yes,Kerozene,yes,Municipal,yes,1915,3:000$
all_tables.pdf,62,tbl-151.md,6,Alagoas,Coruripe.,Cidade,yes,Kerozene,yes,Municipal,yes,1895,1:382$
all_tables.pdf,62,tbl-151.md,7,Alagoas,Junqueiro.,Villa,no,Kerozene,yes,Municipal,yes,1908,118$
all_tables.pdf,62,tbl-151.md,8,Alagoas,Leopoldina.,Cidade,no,Alcool,no,Municipal,yes,1920,368$
all_tables.pdf,62,tbl-151.md,9,Alagoas,Limociro.,Villa,no,Kerozene,no,Municipal,yes,1920,400$
all_tables.pdf,62,tbl-151.md,10,Alagoas,Maceió.,Cidade,no,Electrica,no,Particular,no,1907,180:000$
all_tables.pdf,62,tbl-151.md,11,Alagoas,Maragogy.,Cidade,yes,Kerozene,no,Municipal,no,1907,500$
all_tables.pdf,62,tbl-151.md,12,Alagoas,Muricy.,Cidade,yes,Kerozene,yes,Municipal,yes,1918,3:600$
all_tables.pdf,62,tbl-151.md,13,Alagoas,Palmeira dos Indios.,Cidade,yes,Electrica,no,Particular,no,1920,8:400$
all_tables.pdf,62,tbl-151.md,14,Alagoas,Pão de Assucar.,Cidade,yes,Kerozene,no,Municipal,no,1885,2:400$
all_tables.pdf,62,tbl-151.md,15,Alagoas,Parahyba.,Cidade,yes,Electrica,no,,no,,
all_tables.pdf,62,tbl-151.md,16,Alagoas,Paulo Affonso.,Cidade,yes,Kerozene,no,Municipal,no,1912,480$
all_tables.pdf,62,tbl-151.md,17,Alagoas,Penedo.,Cidade,yes,Electrica,no,Particular,no,1916,12:360$
all_tables.pdf,62,tbl-151.md,18,Alagoas,Piassabussú.,Villa,no,Kerozene,no,Municipal,no,1908,1:281$
all_tables.pdf,62,tbl-151.md,19,Alagoas,Pilar.,Cidade,no,Kerozene,yes,Municipal,yes,1874,3:595$
all_tables.pdf,62,tbl-151.md,20,Alagoas,Piranhas.,Villa,no,Kerozene,yes,Municipal,yes,1895,760$
all_tables.pdf,62,tbl-151.md,21,Alagoas,Porto Calvo.,Cidade,no,Kerozene,yes,Municipal,yes,1890,2:800$
all_tables.pdf,62,tbl-151.md,22,Alagoas,Sant'Anna do Ipanema.,Cidade,yes,Kerozene,yes,Municipal,yes,1913,330$
all_tables.pdf,62,tbl-151.md,23,Alagoas,São José da Lage.,Cidade,yes,Alcool,no,Municipal,yes,1917,600$
all_tables.pdf,62,tbl-151.md,24,Alagoas,São Luiz do Quitunde.,Cidade,yes,Kerozene,no,Municipal,yes,1900,889$
all_tables.pdf,62,tbl-151.md,25,Alagoas,São Miguel de Campos.,Cidade,yes,Electrica,no,Particular,no,1917,4:200$
all_tables.pdf,62,tbl-151.md,26,Alagoas,Traipú.,Cidade,yes,Kerozene,no,Municipal,no,1896,1:300$
all_tables.pdf,62,tbl-151.md,27,Alagoas,Triumpho.,Cidade,yes,Kerozene,yes,Municipal,yes,1898,400$
all_tables.pdf,62,tbl-151.md,28,Alagoas,União.,Cidade,yes,Acetyleno,no,Municipal,yes,1909,5:000$
all_tables.pdf,62,tbl-151.md,29,Alagoas,Viçosa.,Cidade,yes,Kerozene,no,Municipal,yes,,3:812$
all_tables.pdf,62,tbl-151.md,30,Alagoas,Victoria.,Cidade,yes,Electrica,no,Particular,no,1919,6:600$
all_tables.pdf,63,tbl-153.md,1,Amazonas,Barcellos,Villa,no,Kerozene,no,Municipal,no,1917,1:500$
all_tables.pdf,63,tbl-153.md,2,Amazonas,Barreirinha,Villa,yes,Kerozene,yes,Municipal,yes,1900,280$
