source_file,page,source_table_id,row_in_table,panel,state,municipality,posts,annual_expense
all_tables.pdf,93,tbl-218.md,4,1,Alagoas,Agua Branca,22,1:000$
all_tables.pdf,93,tbl-218.md,4,2,Bahia,Affonso Penna,80,3:000$
all_tables.pdf,93,tbl-218.md,5,2,Bahia,Alagoinhas,184,8:398$
all_tables.pdf,93,tbl-218.md,6,1,Alagoas,Anadia,22,1:080$
all_tables.pdf,93,tbl-218.md,6,2,Bahia,Alcobaça,50,3:000$
all_tables.pdf,93,tbl-218.md,7,1,Alagoas,Atalaia,30,1:312$
all_tables.pdf,93,tbl-218.md,7,2,Bahia,Amargosa,149,14:348$
all_tables.pdf,93,tbl-218.md,8,1,Alagoas,Camaragibe,50,3:000
all_tables.pdf,93,tbl-218.md,8,2,Bahia,Andarahy,24,2:336$
all_tables.pdf,93,tbl-218.md,9,1,Alagoas,Coruripe,31,1:382$
all_tables.pdf,93,tbl-218.md,9,2,Bahia,Angical,6,60$
all_tables.pdf,93,tbl-218.md,10,1,Alagoas,Junqueiro,14,118$
all_tables.pdf,93,tbl-218.md,10,2,Bahia,Aracy,15,300$
all_tables.pdf,93,tbl-218.md,11,1,Alagoas,Limoeiro,12,400$
all_tables.pdf,93,tbl-218.md,11,2,Bahia,Aratuhype,40,2:809$
all_tables.pdf,93,tbl-218.md,12,1,Alagoas,Maragogy,30,500$
all_tables.pdf,93,tbl-218.md,12,2,Bahia,Areia,167,15:925$
all_tables.pdf,93,tbl-218.md,13,1,Alagoas,Muricy,40,3:600
all_tables.pdf,93,tbl-218.md,13,2,Bahia,Barracão,30,2:000$
all_tables.pdf,93,tbl-218.md,14,1,Alagoas,Pão de Assucar,35,2:405$
all_tables.pdf,93,tbl-218.md,14,2,Bahia,Barra do Rio de Contas,70,7:000$
all_tables.pdf,93,tbl-218.md,15,1,Alagoas,Paulo Affonso,15,480$
all_tables.pdf,93,tbl-218.md,15,2,Bahia,Barra do Rio Grande,80,6:000$
all_tables.pdf,93,tbl-218.md,16,1,Alagoas,Piassabussú,18,1:281$
all_tables.pdf,93,tbl-218.md,16,2,Bahia,Belmonte,77,6:711$
all_tables.pdf,93,tbl-218.md,17,1,Alagoas,Pilar,50,3:595$
all_tables.pdf,93,tbl-218.md,17,2,Bahia,Bom Jesus dos Meiras,30,989$
all_tables.pdf,93,tbl-218.md,18,1,Alagoas,Piranhas,16,750$
all_tables.pdf,93,tbl-218.md,18,2,Bahia,Cachoeira,250,11:988$
all_tables.pdf,93,tbl-218.md,19,1,Alagoas,Porto Calvo,54,3:500$
all_tables.pdf,93,tbl-218.md,19,2,Bahia,Cachoeira da Abbadia,20,1:600$
all_tables.pdf,93,tbl-218.md,20,1,Alagoas,Sant'Anna do Ipanema,20,330$
all_tables.pdf,93,tbl-218.md,20,2,Bahia,Camamú,180,8:200$
all_tables.pdf,93,tbl-218.md,21,1,Alagoas,São Luiz do Quitande,30,899$
all_tables.pdf,93,tbl-218.md,21,2,Bahia,Camisão,23,1:000$
all_tables.pdf,93,tbl-218.md,22,1,Alagoas,Traipá,30,1:300$
all_tables.pdf,93,tbl-218.md,22,2,Bahia,Carihhanha,45,4:833$
all_tables.pdf,93,tbl-218.md,23,1,Alagoas,Triumpho,20,400$
all_tables.pdf,93,tbl-218.md,23,2,Bahia,Castro Alves,35,978$
all_tables.pdf,93,tbl-218.md,24,1,Alagoas,Viçosa,89,3:812$
all_tables.pdf,93,tbl-218.md,24,2,Bahia,Cayrá,60,2:800$
all_tables.pdf,93,tbl-218.md,25,1,Alagoas,ESTADO DO AMAZOVAS,,
all_tables.pdf,93,tbl-218.md,25,2,Bahia,Chique-Chique,50,900$
all_tables.pdf,93,tbl-218.md,26,1,Alagoas,Barcelos,12,1:500$
all_tables.pdf,93,tbl-218.md,26,2,Bahia,Conde,20,2:000$
all_tables.pdf,93,tbl-218.md,27,1,Alagoas,Barreirinha,24,280$
all_tables.pdf,93,tbl-218.md,27,2,Bahia,Condeiba,28,1:100$
all_tables.pdf,93,tbl-218.md,28,1,Alagoas,Itacoatiara,63,
all_tables.pdf,93,tbl-218.md,28,2,Bahia,Cruz das Almas,50,1:350$
all_tables.pdf,93,tbl-218.md,29,1,Alagoas,Lábrea,60,1:440$
all_tables.pdf,93,tbl-218.md,29,2,Bahia,Curaçá,40,2:000$
all_tables.pdf,93,tbl-218.md,30,1,Alagoas,Mauês,60,2:400$
all_tables.pdf,93,tbl-218.md,30,2,Bahia,Feira de Sant'Anna,48,940$
all_tables.pdf,93,tbl-218.md,31,1,Alagoas,Moura,12,400$
all_tables.pdf,93,tbl-218.md,31,2,Bahia,Igrapidua,75,9:500$
all_tables.pdf,93,tbl-218.md,32,1,Alagoas,São Felipe,30,2:160$
all_tables.pdf,93,tbl-218.md,32,2,Bahia,Inhambupe,35,1:360$
all_tables.pdf,93,tbl-218.md,33,1,Alagoas,São Gabriel,12,
all_tables.pdf,93,tbl-218.md,33,2,Bahia,Irará,42,14:000$
all_tables.pdf,93,tbl-218.md,34,2,Bahia,Itaberaba,60,1:600$
all_tables.pdf,93,tbl-218.md,35,1,São Paulo,Silves,7,320$
all_tables.pdf,93,tbl-218.md,35,2,Bahia,Itaparica,40,2:117$
all_tables.pdf,93,tbl-218.md,36,2,Bahia,Itapicurú,78,3:000$
all_tables.pdf,93,tbl-218.md,37,2,Bahia,Jacobina,18,1:154$
all_tables.pdf,94,tbl-219.md,3,1,Bahia,Jaguaripe,62,867$
all_tables.pdf,94,tbl-219.md,3,2,Bahia,Serrinha,50,1:400$
all_tables.pdf,94,tbl-219.md,4,1,Bahia,Jequié,112,5:299$
all_tables.pdf,94,tbl-219.md,4,2,Bahia,Sourc,10,800$
all_tables.pdf,94,tbl-219.md,5,1,Bahia,Jequiriçá,69,1:547$
all_tables.pdf,94,tbl-219.md,5,2,Bahia,Taperoá,40,3:840$
all_tables.pdf,94,tbl-219.md,6,1,Bahia,Lage,25,1:697$
all_tables.pdf,94,tbl-219.md,6,2,Bahia,Tucano,31,819$
all_tables.pdf,94,tbl-219.md,7,1,Bahia,Lenções,52,3:000$
all_tables.pdf,94,tbl-219.md,7,2,Bahia,Viçosa,50,1:750$
all_tables.pdf,94,tbl-219.md,8,1,Bahia,Maracás,32,3:300$
all_tables.pdf,94,tbl-219.md,8,2,Bahia,Villa Bella das Palmeiras,22,957$
all_tables.pdf,94,tbl-219.md,9,1,Bahia,Maragogipe,95,6:500$
all_tables.pdf,94,tbl-219.md,9,2,Bahia,Villa Rica,16,1:600$
all_tables.pdf,94,tbl-219.md,10,1,Bahia,Marahá,30,1:250$
all_tables.pdf,94,tbl-219.md,10,2,Bahia,Wagner,18,580$
all_tables.pdf,94,tbl-219.md,11,1,Bahia,Matta de São João,95,4:800$
all_tables.pdf,94,tbl-219.md,12,1,Bahia,Minas do Rio de Contas,50,1:800$
all_tables.pdf,94,tbl-219.md,12,2,Ceará,Barbalha,40,2:400$
all_tables.pdf,94,tbl-219.md,13,1,Bahia,Monte Santo,36,517$
all_tables.pdf,94,tbl-219.md,13,2,Ceará,Joazeiro,100,1:437$
all_tables.pdf,94,tbl-219.md,14,1,Bahia,Morro do Chapéo,28,1:200$
all_tables.pdf,94,tbl-219.md,14,2,Ceará,Morada Nova,20,1:100$
all_tables.pdf,94,tbl-219.md,15,1,Bahia,Mucugé,40,1:530$
all_tables.pdf,94,tbl-219.md,15,2,Ceará,São Bernardo das Russas,40,1:500$
all_tables.pdf,94,tbl-219.md,16,1,Bahia,Nova Boipeba,25,1:181$
all_tables.pdf,94,tbl-219.md,17,1,Bahia,Patrocínio do Coité,8,600$
all_tables.pdf,94,tbl-219.md,17,2,Espírito Santo,Benevente,16,2:137$
all_tables.pdf,94,tbl-219.md,18,1,Bahia,Pilão Arcado,22,1:000$
all_tables.pdf,94,tbl-219.md,18,2,Espírito Santo,Bôa Família,50,1:080$
all_tables.pdf,94,tbl-219.md,19,1,Bahia,Pojuca,50,2:600$
all_tables.pdf,94,tbl-219.md,19,2,Espírito Santo,Guarapary,20,1:833$
all_tables.pdf,94,tbl-219.md,20,1,Bahia,Prado,28,1:528$
all_tables.pdf,94,tbl-219.md,20,2,Espírito Santo,Ponte do Itabapoana,12,1:182$
all_tables.pdf,94,tbl-219.md,21,1,Bahia,Remanso,65,3:400$
all_tables.pdf,94,tbl-219.md,22,1,Bahia,Remedios,13,700$
all_tables.pdf,94,tbl-219.md,22,2,Maranhão,Alcantara,36,2:640$
all_tables.pdf,94,tbl-219.md,23,1,Bahia,Riachão do Jacuhype,35,740$
all_tables.pdf,94,tbl-219.md,23,2,Maranhão,Brejo,65,1:800$
all_tables.pdf,94,tbl-219.md,24,1,Bahia,Riacho de Sant'Anna,30,384$
all_tables.pdf,94,tbl-219.md,24,2,Maranhão,Cajapió,30,1:440$
all_tables.pdf,94,tbl-219.md,25,1,Bahia,Orobó,50,1:300$
all_tables.pdf,94,tbl-219.md,25,2,Maranhão,Caxias,150,2:000$
all_tables.pdf,94,tbl-219.md,26,1,Bahia,Sant'Anna do Catá,70,3:500$
all_tables.pdf,94,tbl-219.md,26,2,Maranhão,Corontá,30,810$
all_tables.pdf,94,tbl-219.md,27,1,Bahia,Sant'Anna dos Brejos,18,1:102$
all_tables.pdf,94,tbl-219.md,27,2,Maranhão,Flôres,22,1:070$
all_tables.pdf,94,tbl-219.md,28,1,Bahia,Santa Maria,50,2:000$
all_tables.pdf,94,tbl-219.md,28,2,Maranhão,Guimarães,20,580$
all_tables.pdf,94,tbl-219.md,29,1,Bahia,Santarém,48,4:193$
all_tables.pdf,94,tbl-219.md,29,2,Maranhão,Itapecurá-mirim,50,1:500$
all_tables.pdf,94,tbl-219.md,30,1,Bahia,Santo Antonio de Jesus,149,8:480$
all_tables.pdf,94,tbl-219.md,30,2,Maranhão,Monte Alegre,12,350$
all_tables.pdf,94,tbl-219.md,31,1,Bahia,São Felippe,20,1:100$
all_tables.pdf,94,tbl-219.md,31,2,Maranhão,Nova York,18,320$
all_tables.pdf,94,tbl-219.md,32,1,Bahia,São Felix do Paraguassá,78,5:480$
all_tables.pdf,94,tbl-219.md,32,2,Maranhão,Rosario,45,1:305$
all_tables.pdf,94,tbl-219.md,33,1,Bahia,São Francisco,32,2:200$
all_tables.pdf,94,tbl-219.md,33,2,Maranhão,São João dos Patos,50,1:800$
all_tables.pdf,94,tbl-219.md,34,1,Bahia,São Gonçalo dos Campos,60,2:723$
all_tables.pdf,94,tbl-219.md,34,2,Maranhão,Tury-assá,16,986$
all_tables.pdf,94,tbl-219.md,35,1,Bahia,São Miguel,40,2:098$
all_tables.pdf,94,tbl-219.md,35,2,Maranhão,Tutoya,12,800$
all_tables.pdf,94,tbl-219.md,36,1,Bahia,Sadde,15,420$
all_tables.pdf,94,tbl-219.md,36,2,Maranhão,Victoria do Alto Parnahyba,15,700$
all_tables.pdf,94,tbl-219.md,37,1,Bahia,Sento Sé,30,1:500$
all_tables.pdf,95,tbl-220.md,3,1,Matto Grosso,Bella Vista,9,810$
all_tables.pdf,95,tbl-220.md,3,2,Pará,Mocajuba,25,3:000$
all_tables.pdf,95,tbl-220.md,4,1,Matto Grosso,Porto Murtinho,25,1:800$
all_tables.pdf,95,tbl-220.md,4,2,Pará,Mojú,25,1:000$
all_tables.pdf,95,tbl-220.md,5,1,Matto Grosso,São Luís de Caceres,60,6:000$
all_tables.pdf,95,tbl-220.md,5,2,Pará,Monte Alegre,50,1:937$
all_tables.pdf,95,tbl-220.md,6,2,Pará,Montenegro,8,500$
all_tables.pdf,95,tbl-220.md,7,1,Minas Geraes,Arassuahy,69,6:750$
all_tables.pdf,95,tbl-220.md,7,2,Pará,Obidos,100,13:460$
all_tables.pdf,95,tbl-220.md,8,1,Minas Geraes,Bôa Vista do Tremedal,12,1:200$
all_tables.pdf,95,tbl-220.md,8,2,Pará,Ourém,46,800$
all_tables.pdf,95,tbl-220.md,9,1,Minas Geraes,Capellinha,40,1:600$
all_tables.pdf,95,tbl-220.md,9,2,Pará,Portel,24,2:000$
all_tables.pdf,95,tbl-220.md,10,1,Minas Geraes,Januaria,103,4:000$
all_tables.pdf,95,tbl-220.md,10,2,Pará,Porto de Móz,10,500$
all_tables.pdf,95,tbl-220.md,11,1,Minas Geraes,Minas Novas,24,600$
all_tables.pdf,95,tbl-220.md,11,2,Pará,Prainha,21,531$
all_tables.pdf,95,tbl-220.md,12,1,Minas Geraes,Peçanha.,42,2:000$
all_tables.pdf,95,tbl-220.md,12,2,Pará,Salinas,30,307$
all_tables.pdf,95,tbl-220.md,13,1,Minas Geraes,São Francisco,38,2:209$
all_tables.pdf,95,tbl-220.md,13,2,Pará,São Domingos da Bôa Vista,10,360$
all_tables.pdf,95,tbl-220.md,14,1,Minas Geraes,Tiradentes,52,2:000$
all_tables.pdf,95,tbl-220.md,14,2,Pará,São João do Araguaya,30,1:240$
all_tables.pdf,95,tbl-220.md,15,2,Pará,São Sebastião da Bôa Vista,20,462$
all_tables.pdf,95,tbl-220.md,16,1,Pará,Abacté,62,2:400$
all_tables.pdf,95,tbl-220.md,16,2,Pará,Vizeu.,16,1:200$
all_tables.pdf,95,tbl-220.md,17,1,Pará,Acará,12,1:853$
all_tables.pdf,95,tbl-220.md,18,1,Pará,Affuá,35,2:662$
all_tables.pdf,95,tbl-220.md,18,2,Paraná,Guaratuba,30,1:524$
all_tables.pdf,95,tbl-220.md,19,1,Pará,Alemquer,70,4:000$
all_tables.pdf,95,tbl-220.md,19,2,Paraná,Jaguarahya,12,500$
all_tables.pdf,95,tbl-220.md,20,1,Pará,Alta-mira,44,609$
all_tables.pdf,95,tbl-220.md,20,2,Paraná,ESTADO DA PARANYBA,,
all_tables.pdf,95,tbl-220.md,21,1,Pará,Anajás,100,
all_tables.pdf,95,tbl-220.md,21,2,Paraná,Cabadello,24,
all_tables.pdf,95,tbl-220.md,22,1,Pará,Aveiro,18,600$
all_tables.pdf,95,tbl-220.md,22,2,Paraná,Cajazeiras,48,1:560$
all_tables.pdf,95,tbl-220.md,23,1,Pará,Bagre.,10,400$
all_tables.pdf,95,tbl-220.md,23,2,Paraná,Pedras de Fogo,20,755$
all_tables.pdf,95,tbl-220.md,24,1,Pará,Breves,23,
all_tables.pdf,95,tbl-220.md,24,2,Paraná,Pilar,96,1:000$
all_tables.pdf,95,tbl-220.md,25,1,Pará,Cametá,173,6:000$
all_tables.pdf,95,tbl-220.md,25,2,Paraná,Santa Rita,50,1:933$
all_tables.pdf,95,tbl-220.md,26,1,Pará,Conceição do Araguaya,50,
all_tables.pdf,95,tbl-220.md,26,2,Paraná,São José de Piranhas,14,933$
all_tables.pdf,95,tbl-220.md,27,1,Pará,Curaçá,40,2:000$
all_tables.pdf,95,tbl-220.md,27,2,Paraná,Serraria,20,774$
all_tables.pdf,95,tbl-220.md,28,1,Pará,Igarapé-assú,(1),2:414$
all_tables.pdf,95,tbl-220.md,28,2,Paraná,Souza,20,1:000$
all_tables.pdf,95,tbl-220.md,29,1,Pará,Igarapé-miry,48,1:204$
all_tables.pdf,95,tbl-220.md,30,1,Pará,Irituía,25,1:500$
all_tables.pdf,95,tbl-220.md,30,2,Pernambuco,Bezerros,72,2:700$
all_tables.pdf,95,tbl-220.md,31,1,Pará,Jurity,20,1:040$
all_tables.pdf,95,tbl-220.md,31,2,Pernambuco,Cabo,41,1:100$
all_tables.pdf,95,tbl-220.md,32,1,Pará,Macapá,60,6:477$
all_tables.pdf,95,tbl-220.md,32,2,Pernambuco,Flores,22,600$
all_tables.pdf,95,tbl-220.md,33,1,Pará,Marabá,25,2:400$
all_tables.pdf,95,tbl-220.md,33,2,Pernambuco,Itambé.,53,1:500$
all_tables.pdf,95,tbl-220.md,34,1,Pará,Marapanim,40,700$
all_tables.pdf,95,tbl-220.md,34,2,Pernambuco,Ouricury,8,250$
all_tables.pdf,95,tbl-220.md,35,1,Pará,Melgaço,30,780$
all_tables.pdf,95,tbl-220.md,35,2,Pernambuco,Pedra,100,3:000$
all_tables.pdf,97,tbl-221.md,3,1,Pernambuco,Rio Formoso,18,400$
all_tables.pdf,97,tbl-221.md,3,2,Rio Grande do Norte,Santa Cruz,25,1:000$
all_tables.pdf,97,tbl-221.md,4,1,Pernambuco,Salgueiro,12,650$
all_tables.pdf,97,tbl-221.md,4,2,Rio Grande do Norte,São José de Mipibú,22,2:000$
all_tables.pdf,97,tbl-221.md,5,1,Pernambuco,Serinhaem,20,650$
all_tables.pdf,97,tbl-221.md,5,2,Rio Grande do Norte,Serra Negra,16,
all_tables.pdf,97,tbl-221.md,6,1,Pernambuco,Triumpho,38,1:000$
all_tables.pdf,97,tbl-221.md,7,1,Pernambuco,Victoria,160,6:000$
all_tables.pdf,97,tbl-221.md,7,2,Rio Grande do Sul,Bento Gonçalves,65,4:000$
all_tables.pdf,97,tbl-221.md,8,1,Pernambuco,Villa Bella,7,272$
all_tables.pdf,97,tbl-221.md,8,2,Rio Grande do Sul,Bom Jesus,35,1:000$
all_tables.pdf,97,tbl-221.md,9,1,Pernambuco,ESTADO DO PIAUBY,,
all_tables.pdf,97,tbl-221.md,9,2,Rio Grande do Sul,Cangussú,25,1:000$
all_tables.pdf,97,tbl-221.md,10,1,Pernambuco,Amarante,44,1:056$
all_tables.pdf,97,tbl-221.md,10,2,Rio Grande do Sul,Guaporé,21,1:460$
all_tables.pdf,97,tbl-221.md,11,1,Pernambuco,Barras do Maratahoan,55,1:200$
all_tables.pdf,97,tbl-221.md,11,2,Rio Grande do Sul,Herval,70,3:436$
all_tables.pdf,97,tbl-221.md,12,1,Pernambuco,Burity dos Lopes,25,1:135$
all_tables.pdf,97,tbl-221.md,12,2,Rio Grande do Sul,Palmeira,40,2:000$
all_tables.pdf,97,tbl-221.md,13,1,Pernambuco,Floriano,100,2:468$
all_tables.pdf,97,tbl-221.md,13,2,Rio Grande do Sul,Quarahy,34,4:273$
all_tables.pdf,97,tbl-221.md,14,1,Pernambuco,Miguel Alves,12,901$
