source_file,page,source_table_id,row_in_table,panel,state,municipality,posts,annual_expense
all_tables.pdf,98,tbl-222.md,3,1,Alagoas,União,25,5:000$
all_tables.pdf,98,tbl-222.md,3,2,Maranhão,Arary,5,900$
all_tables.pdf,98,tbl-222.md,4,2,Maranhão,Cururupá,15,1:172$
all_tables.pdf,98,tbl-222.md,5,1,Amazonas,Borba,22,2:000$
all_tables.pdf,98,tbl-222.md,5,2,Maranhão,Paço do Lumiar,6,400$
all_tables.pdf,98,tbl-222.md,6,1,Amazonas,Fonte Bôa,12,600$
all_tables.pdf,98,tbl-222.md,6,2,Maranhão,São Luiz Gonzaga,20,800$
all_tables.pdf,98,tbl-222.md,8,1,Bahia,Baixa Grande,20,1:000$
all_tables.pdf,98,tbl-222.md,8,2,Minas Geraes,Abbadia do Bom Successo,30,2:175$
all_tables.pdf,98,tbl-222.md,9,1,Bahia,Bom Jesus da Lapa,40,2:500$
all_tables.pdf,98,tbl-222.md,9,2,Minas Geraes,Coceição do Setto,50,2:000$
all_tables.pdf,98,tbl-222.md,10,1,Bahia,Camisão .,4,
all_tables.pdf,98,tbl-222.md,10,2,Minas Geraes,Fortaleza,50,3:000$
all_tables.pdf,98,tbl-222.md,11,1,Bahia,Campo Formoso,20,1:500$
all_tables.pdf,98,tbl-222.md,11,2,Minas Geraes,Salinas,64,2:709$
all_tables.pdf,98,tbl-222.md,12,1,Bahia,Cannavieiras,20,2:148$
all_tables.pdf,98,tbl-222.md,12,2,Minas Geraes,Villa Iequitinhonha,10,2:546$
all_tables.pdf,98,tbl-222.md,13,1,Bahia,Castro Alves,40,4:000$
all_tables.pdf,98,tbl-222.md,13,2,Minas Geraes,Villa Rezende Costa,70,5:000$
all_tables.pdf,98,tbl-222.md,14,1,Bahia,Entre Rios,25,1:350$
all_tables.pdf,98,tbl-222.md,15,1,Bahia,Monte Alegre,25,2:600$
all_tables.pdf,98,tbl-222.md,15,2,Pará,Altamira,32,816$
all_tables.pdf,98,tbl-222.md,16,1,Bahia,Mundo Novo,20,3:151$
all_tables.pdf,98,tbl-222.md,16,2,Pará,Breves,31,
all_tables.pdf,98,tbl-222.md,17,1,Bahia,Porto Seguro,100,2:000$
all_tables.pdf,98,tbl-222.md,17,2,Pará,Curralinho,30,2:400$
all_tables.pdf,98,tbl-222.md,18,1,Bahia,Sant'Anna dos Brejos,12,734$
all_tables.pdf,98,tbl-222.md,18,2,Pará,Gurupá,73,537$
all_tables.pdf,98,tbl-222.md,19,1,Bahia,Serrinha,4,1:650$
all_tables.pdf,98,tbl-222.md,19,2,Pará,Ponta de Pedras,25,2:500$
all_tables.pdf,98,tbl-222.md,20,1,Bahia,Santa Cruz,20,2:000$
all_tables.pdf,98,tbl-222.md,20,2,Pará,Quatipurá,50,2:166$
all_tables.pdf,98,tbl-222.md,21,2,Pará,Sourc,89,5:000$
all_tables.pdf,98,tbl-222.md,22,1,Ceará,Crathéus,24,1:040$
all_tables.pdf,98,tbl-222.md,22,2,Pará,Souzel,10,1:360$
all_tables.pdf,98,tbl-222.md,23,1,Ceará,Quixadá,50,2:000$
all_tables.pdf,98,tbl-222.md,23,2,Pará,ESTADO DA PARANHIA,,
all_tables.pdf,98,tbl-222.md,24,1,Ceará,Sant'Anna do Cariry,20,1:200$
all_tables.pdf,98,tbl-222.md,24,2,Pará,Cabaceiras,20,1:200$
all_tables.pdf,98,tbl-222.md,25,1,Ceará,São Matheus,18,545$
all_tables.pdf,98,tbl-222.md,25,2,Pará,Patos,30,1:200$
all_tables.pdf,98,tbl-222.md,26,2,Pará,Plancó,20,2:000$
all_tables.pdf,98,tbl-222.md,27,1,Espírito Santo,São Pedro do Itabapoana,16,2:000$
all_tables.pdf,98,tbl-222.md,27,2,Pará,Picuhy,23,2:500$
all_tables.pdf,99,tbl-223.md,3,1,Parahyba,São João do Cariry,20,
all_tables.pdf,99,tbl-223.md,3,2,Rio de Janeiro,Rio Bonito,50,1:200$
all_tables.pdf,99,tbl-223.md,4,1,Parahyba,Soledade,14,500$
all_tables.pdf,99,tbl-223.md,4,2,Rio de Janeiro,Rio Claro,13,925$
all_tables.pdf,99,tbl-223.md,5,1,Parahyba,Teixeira,15,1:200$
all_tables.pdf,99,tbl-223.md,6,1,Parahyba,Umbuzeiro,50,
all_tables.pdf,99,tbl-223.md,6,2,Rio Grande do Sul,Encantado,40,2:586$
all_tables.pdf,99,tbl-223.md,7,2,Rio Grande do Sul,Lagôa Vermelha,30,
all_tables.pdf,99,tbl-223.md,8,1,Pernambuco,Bô1 Vista,15,400$
all_tables.pdf,99,tbl-223.md,8,2,Rio Grande do Sul,Lavras,44,1:185$
all_tables.pdf,99,tbl-223.md,9,1,Pernambuco,Floresta,20,2:000$
all_tables.pdf,99,tbl-223.md,9,2,Rio Grande do Sul,Piratiny,21,1:278$
all_tables.pdf,99,tbl-223.md,10,1,Pernambuco,Pedra,10,400$
all_tables.pdf,99,tbl-223.md,10,2,Rio Grande do Sul,São Sepé,50,3:180$
all_tables.pdf,99,tbl-223.md,11,1,Pernambuco,Petrolina,40,3:000$
all_tables.pdf,99,tbl-223.md,12,2,São Paulo,Campo Largo de Sorocaba,30,2:000$
all_tables.pdf,99,tbl-223.md,13,2,São Paulo,Ribeira,12,1:168$
all_tables.pdf,99,tbl-224.md,3,1,Alagoas,Leopoldina,5,268$
all_tables.pdf,99,tbl-224.md,3,2,Pernambuco,Barreiros,24,3:420$
all_tables.pdf,99,tbl-224.md,4,1,Alagoas,São José da Lage,20,600$
all_tables.pdf,99,tbl-224.md,4,2,Pernambuco,Brejo da Madre de Deus,14,1:640$
all_tables.pdf,99,tbl-224.md,5,2,Pernambuco,Gloria de Goytá,10,1:000$
all_tables.pdf,99,tbl-224.md,6,1,Parahyba,Alagôa do Monteiro,22,1:200$
all_tables.pdf,99,tbl-224.md,6,2,Pernambuco,Iguarassú,12,2:734$
all_tables.pdf,99,tbl-224.md,7,1,Parahyba,Iugá,16,3:000$
all_tables.pdf,99,tbl-224.md,7,2,Pernambuco,São Bento,12,1:500$
all_tables.pdf,99,tbl-224.md,8,1,Parahyba,Princesa,20,1:210$
all_tables.pdf,99,tbl-224.md,8,2,Pernambuco,São José do Egypto,13,920$
all_tables.pdf,99,tbl-224.md,9,2,Pernambuco,Taquartingua,12,1:600$
all_tables.pdf,99,tbl-224.md,10,1,Pernambuco,Alagôa de Baixo,15,1:950$
all_tables.pdf,99,tbl-224.md,11,1,Pernambuco,Amaragy,20,2:600$
