source_file,page,source_table_id,row_in_table,state,municipality,public_arc_lamps_number,public_arc_lamps_candlepower,public_incandescent_lamps_number,public_incandescent_lamps_candlepower,public_total_candlepower,private_arc_lamps_number,private_arc_lamps_candlepower,private_incandescent_lamps_number,private_incandescent_lamps_candlepower
all_tables.pdf,100,tbl-225.md,5,Alagoas,Maceió,259,155400,40,13800,169200,—,—,9181,129850
all_tables.pdf,100,tbl-225.md,6,Alagoas,Palmeira dos Indios,—,—,80,4000,4000,—,—,324,3885
all_tables.pdf,100,tbl-225.md,7,Alagoas,Penedo,—,—,172,8600,8600,—,—,1403,20000
all_tables.pdf,100,tbl-225.md,8,Alagoas,São Miguel de Campos,—,—,45,3500,3500,—,—,265,7557
all_tables.pdf,100,tbl-225.md,9,Alagoas,Victoria,—,—,70,4010,4010,—,—,660,8640
all_tables.pdf,100,tbl-225.md,11,Amazonas,Humaythá,—,—,85,2125,2125,—,—,88,1150
all_tables.pdf,100,tbl-225.md,12,Amazonas,Manáos,362,724000,—,—,724000,—,—,36550,1455000
all_tables.pdf,100,tbl-225.md,13,Amazonas,Porto Velho,—,—,70,1825,1825,—,—,444,10800
all_tables.pdf,100,tbl-225.md,15,Bahia,Barreiras,—,—,100,4250,4250,—,—,280,2800
all_tables.pdf,100,tbl-225.md,16,Bahia,Ilhéos,—,—,312,20500,20500,—,—,—,—
all_tables.pdf,100,tbl-225.md,17,Bahia,Itabuna,—,—,244,11900,11900,—,—,—,—
all_tables.pdf,100,tbl-225.md,18,Bahia,Nazareth,—,—,208,21400,21400,—,—,—,—
all_tables.pdf,100,tbl-225.md,19,Bahia,Santo Amato.,—,—,550,27950,27950,—,—,1375,48550
all_tables.pdf,100,tbl-225.md,20,Bahia,São Salvador,2,2000,1111,494048,496048,17,17000,47835,2337120
all_tables.pdf,100,tbl-225.md,21,Bahia,Valença,—,—,220,8000,8000,—,—,520,16520
all_tables.pdf,100,tbl-225.md,22,Bahia,Conquista,—,—,250,6250,6250,—,—,46,1150
all_tables.pdf,100,tbl-225.md,24,Ceará,Aracaty,—,—,100,5000,5000,—,—,1500,—
all_tables.pdf,100,tbl-225.md,25,Ceará,Canindé,—,—,30,750,750,—,—,55,1375
all_tables.pdf,100,tbl-225.md,26,Ceará,Cinto,—,—,120,6000,6000,—,—,551,10746
all_tables.pdf,100,tbl-225.md,27,Ceará,Mamanguape,—,—,150,3750,3750,—,—,1200,25300
all_tables.pdf,100,tbl-225.md,29,Districto Federal,Districto Federal :,9661,—,1185,—,—,—,—,—,—
all_tables.pdf,101,tbl-227.md,1,Alagoas,129.850,1200,—,900000,330000,570000,420:000$000,180:000$000,240:000$000,$420
all_tables.pdf,101,tbl-227.md,2,Alagoas,3.885,170,220,554,252,302,18:466$000,8:400$000,10:066$000,—
all_tables.pdf,101,tbl-227.md,3,Alagoas,20.000,373,9,38,13,25,54:360$000,12:360$000,42:000$000,$600
all_tables.pdf,101,tbl-227.md,4,Alagoas,7.557,65,—,—,—,—,13:268$400,4:200$000,9:068$400,(2)
all_tables.pdf,101,tbl-227.md,5,Alagoas,8.640,105,110,120,40,80,14:700$000,6:600$000,8:100$000,$200
