source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,1,tbl-1.md,1,Alagoas,Nova Empresa de Luz Electrica,Maceió,—,1907
all_tables.pdf,1,tbl-1.md,2,Alagoas,Empresa Penedense de Luz e Agua,Penedo,—,1916
all_tables.pdf,1,tbl-1.md,3,Alagoas,Empresa Luz e Força São Miguel,São Miguel de Campos,—,1917
all_tables.pdf,1,tbl-1.md,4,Alagoas,Empresa Luz Electrica de Victoria,Victoria,—,1920
all_tables.pdf,1,tbl-2.md,1,Amazonas,Empresa Electrica Municipal,Humaythá,—,1905
all_tables.pdf,1,tbl-2.md,2,Amazonas,"The Manáos Tramways and Light Company, Limited",Manáos,Central,1910
all_tables.pdf,1,tbl-2.md,3,Amazonas,Madeira-Mamoré Railway Company,Porto Velho,—,1918
all_tables.pdf,1,tbl-3.md,1,Bahia,Antonio Balbino de Carvalho,Barreiras,Carvalho,1920
all_tables.pdf,1,tbl-3.md,2,Bahia,Companhia Brasileira de Energia Electrica,Cachoeira,Bananeiras,1920
all_tables.pdf,1,tbl-3.md,3,Bahia,Empresa Industrial Conquistense,Conquista,—,1920
all_tables.pdf,1,tbl-3.md,4,Bahia,Companhia Luz e Força,Ilhéos,—,1916
all_tables.pdf,1,tbl-3.md,5,Bahia,Companhia Distribuidora de Luz e Força do Estado da Bahia,Santo Amaro,—,1920
all_tables.pdf,1,tbl-3.md,6,Bahia,Municipalidade de São Salvador,São Salvador,—,1907
all_tables.pdf,1,tbl-3.md,7,Bahia,Companhia Linha Circular de Carris da Bahia,São Salvador,Preguiça,1907
all_tables.pdf,1,tbl-3.md,8,Bahia,Companhia Valença Industrial,Valença,Nossa Senhora do Amparo,1913
all_tables.pdf,1,tbl-4.md,1,Ceará,Orphanato Casa de São Francisco,Canindé,São Francisco,1918
all_tables.pdf,1,tbl-4.md,2,Ceará,Dr Audalio Costa,Crato,—,1920
all_tables.pdf,1,tbl-4.md,3,Ceará,Empresa Electrica de Maranguape,Maranguape,—,1917
all_tables.pdf,1,tbl-5.md,1,Districto Federal,Société Anonyme du Gaz de Rio de Janeiro,Capital Federal,—,1914
all_tables.pdf,3,tbl-13.md,1,Espírito Santo,"Comp. Força e Luz, Limit, de Affonso Claudio",Affonso Claudio,Barra do Rio do Peixe,1920
all_tables.pdf,3,tbl-13.md,2,Espírito Santo,Empresa Força e Luz Alegre-Veado,Alegre,—,1919
all_tables.pdf,3,tbl-13.md,3,Espírito Santo,André Carloni,Cachoeiro de Santa Leopoldina,—,1918
all_tables.pdf,3,tbl-13.md,4,Espírito Santo,Comp. Serviços Reunidos do Itapemirim,Cachoeiro do Itapemirim,Fructeiras,1910
