source_file,page,source_table_id,row_in_table,state,row_type,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel
all_tables.pdf,2,tbl-7.md,1,Alagoas,data,Thermica...,M. V.,3,810,-,-,-,2000,Continua...,-,-,-,-
all_tables.pdf,2,tbl-7.md,2,Alagoas,continuation,,C. I.,2,480,,,,220,Alternativa...,3,100,-,
all_tables.pdf,2,tbl-7.md,3,Alagoas,continuation,,,,,,,,110,Continua...,-,-,-,
all_tables.pdf,2,tbl-7.md,4,Alagoas,data,Thermica...,M. V.,1,125,-,7,-,110,Continua...,-,-,-,5
all_tables.pdf,2,tbl-7.md,5,Alagoas,data,Thermica...,M. V.,1,20,-,15,-,110,Continua...,-,-,-,3
all_tables.pdf,2,tbl-7.md,6,Alagoas,data,Thermica...,C. I.,1,36,-,-,-,110,Continua...,-,-,-,3
all_tables.pdf,2,tbl-8.md,1,Amazonas,data,Thermica...,M. V.,1,12,-,2,-,220,Continua...,-,-,-,5
all_tables.pdf,2,tbl-8.md,2,Amazonas,data,Thermica...,M. V.,4,2000,-,-,-,550,Continua...,-,-,-,-
all_tables.pdf,2,tbl-8.md,3,Amazonas,data,Thermica...,M. V.,3,370,-,13,-,220,Alternativa...,3,60,-,9
all_tables.pdf,2,tbl-9.md,1,Bahia,data,Thermica...,M. V.,1,21,-,1,-,125,Continua...,-,-,-,4
all_tables.pdf,2,tbl-9.md,2,Bahia,data,Hydraulica...,T. H.,3,15600,110,-,44000,110,Alternativa...,3,60,1,30
all_tables.pdf,2,tbl-9.md,3,Bahia,data,Thermica...,C. I.,1,20,-,1,-,230,Alternativa...,3,50,-,1
all_tables.pdf,2,tbl-9.md,4,Bahia,data,Hydraulica...,T. H.,3,900,59,9,21500,220,Alternativa...,3,50,1,32
all_tables.pdf,2,tbl-9.md,5,Bahia,continuation,,,,,,,,120,,,,,
all_tables.pdf,2,tbl-9.md,6,Bahia,data,Thermica...,C. I.,2,110,-,20,-,110,Alternativa...,3,60,-,5
all_tables.pdf,2,tbl-9.md,7,Bahia,data,Thermica...,C. I.,7,2616,-,120,3300,380,Continua...,-,-,-,-
all_tables.pdf,2,tbl-9.md,8,Bahia,continuation,,,,,,,,220,Alternativa...,3,50,-,
all_tables.pdf,2,tbl-9.md,9,Bahia,data,Thermica...,M. V.,4,4700,2,-,11000,220,Alternativa...,3,50,-,6
all_tables.pdf,2,tbl-9.md,10,Bahia,data,Hydraulica...,T. H.,1,100,5,-,220,220,Alternativa...,3,50,-,-
all_tables.pdf,2,tbl-10.md,1,Ceará,data,Thermica...,C. I.,1,15,-,1,-,110,Continua...,-,-,-,1
all_tables.pdf,2,tbl-10.md,2,Ceará,data,Thermica...,M. V.,1,75,-,5,-,220,Continua...,-,-,-,6
all_tables.pdf,2,tbl-10.md,3,Ceará,data,Thermica...,M. V.,1,25,-,2,-,220,Continua...,-,-,-,6
all_tables.pdf,2,tbl-11.md,1,Districto Federal,data,Thermica...,M. V.,10,30070,-,7474,-,216,Alternativa...,3,50,-,-
all_tables.pdf,4,tbl-18.md,1,Espírito Santo,data,Hydraulica...,R. A.,1,20,2,3,2200,220110,Alternativa...,3,50,-,3
all_tables.pdf,4,tbl-18.md,2,Espírito Santo,data,Hydraulica...,T. H.,2,300,20,12,6600,220,Alternativa...,3,60,-,8
all_tables.pdf,4,tbl-18.md,3,Espírito Santo,data,Hydraulica...,T. H.,1,120,1,4,2300,220110,Alternativa...,3,50,1,3
all_tables.pdf,4,tbl-18.md,4,Espírito Santo,data,Hydraulica...,R. A.,3,4077,42,-,30000,3000220,Alternativa...,3,50,2,-
all_tables.pdf,4,tbl-18.md,5,Espírito Santo,data,Hydraulica...,T. H.,1,135,4,6,2500,220110,Alternativa...,3,50,-,6
