source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,34,tbl-95.md,1,,Aço e cimento.,3800,20,110,—,44000,110,1,Rio Paraguassú.,—
all_tables.pdf,34,tbl-95.md,2,,Aço.,1200,6,59,9,21500,220,1,Rio Itahype ou Almada.,—
all_tables.pdf,34,tbl-95.md,3,,—,—,—,5,—,220,220,—,Rio Una.,—
all_tables.pdf,34,tbl-96.md,1,,Canal.,—,—,2,3,2200,220,—,Rio do Peixe.,—
all_tables.pdf,34,tbl-96.md,2,,Aço doce.,60,5,20,12,6600,220,—,Rio Alegre.,—
all_tables.pdf,34,tbl-96.md,3,,Canal.,—,—,1,4,2300,220,1,Rio Santa Maria.,3000
all_tables.pdf,34,tbl-96.md,4,,Aço.,900,10,42,—,30000,3000,2,Rio Fructeiras.,—
all_tables.pdf,34,tbl-96.md,5,,Canal.,—,—,4,6,2200,220,—,Rio Itapemirim.,—
all_tables.pdf,34,tbl-96.md,6,,Canal.,—,—,1,1,110,110,—,Rio Vargem Grande.,—
all_tables.pdf,34,tbl-96.md,7,,Canal.,—,—,6,2,2000,120,1,Rio Iconha.,—
all_tables.pdf,34,tbl-96.md,8,,Aço.,1100,10,25,32,20000,2000,1,Rio Jucú.,—
all_tables.pdf,34,tbl-96.md,9,,Ferro batido.,500,3,1,1,220,220,—,Rio Timbohy.,—
all_tables.pdf,34,tbl-96.md,10,,Chapas de aço.,997,12,31,3,6600,220,2,Rio Muquy do Sul.,—
all_tables.pdf,34,tbl-97.md,1,,Ferro.,550,12,9,7,11000,220,1,Corrego Ceroulas.,—
all_tables.pdf,36,tbl-101.md,1,,Ferro e madeira...,-,-,1,4,220,220,-,Rio Sant'Anna.,-
all_tables.pdf,36,tbl-101.md,2,,Chapas de aço...,800,18,13,10,10000,2200,1,Rio Pissarrão.,-
all_tables.pdf,36,tbl-101.md,3,,Ferro...,1000,10,11,40,3300,110,1,Rio Tamanduá.,-
all_tables.pdf,36,tbl-101.md,4,,Aço...,1800,20,14,-,16000,220,1,Rio das Mortes.,-
all_tables.pdf,36,tbl-101.md,5,,Chapas de ferro...,750,8,12,4,4400,220,1,Rio Piranga.,-
all_tables.pdf,36,tbl-101.md,6,,Ferro batido...,-,-,2,2,110,110,-,Ribeirão Assumpção.,-
