source_file,page,source_table_id,row_in_table,state,company,municipality_plant_location,plant,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m
all_tables.pdf,33,tbl-93.md,3,,Companhia Brasileira de Energia Eléctrica,Cachoeira,Bananeiras,15600,30000,35,1500
all_tables.pdf,33,tbl-93.md,4,,Companhia Luz e Força,Ilhéos,—,900,—,21,163
all_tables.pdf,33,tbl-93.md,5,,Companhia Valença Industrial,Valença,Nossa Senhora do Amparo,100,1000,5,—
all_tables.pdf,33,tbl-93.md,7,,"C Força e Luz, Limitada, de Affonso Claudio",Affonso Claudio,Barra do Rio do Peixe,20,2000,10,—
all_tables.pdf,33,tbl-93.md,8,,Empresa Força e Luz Alegre-Veado,Alegre,—,300,300,100,240
all_tables.pdf,33,tbl-93.md,9,,André Carloni,Cachoeiro de Santa Leopoldina,—,120,—,5,—
all_tables.pdf,33,tbl-93.md,10,,Comp Serviços Reunidos do Itapemirim,Cachoeiro do Itapemirim,Fructeiras,4077,4100,220,900
all_tables.pdf,33,tbl-93.md,11,,Municipalidade de Cachoeiro do Itapemirim,Cachoeiro do Itapemirim,Ilha da Luz,135,400,6,—
all_tables.pdf,33,tbl-93.md,12,,De Biase & Companhia,Espírito Santo do Rio Pardo,—,8,8,2,—
all_tables.pdf,33,tbl-93.md,13,,"Duarte, Beiriz & Companhia",Piúma,Pedra d'Agua,56,70,7,—
all_tables.pdf,33,tbl-93.md,14,,Governo do Estado do Espírito Santo,Santa Isabel,Jucú,2226,25000,52,87
all_tables.pdf,33,tbl-93.md,15,,Sociedade Anonyma de Melhoramentos,Santa Thereza,Santa Thereza,32,40,10,110
all_tables.pdf,33,tbl-93.md,16,,Companhia de Electricidade Muquy do Sul,São Pedro do Itabapoana,Apparecida,460,980,17,220
all_tables.pdf,33,tbl-93.md,18,,"Companhia Mattogrossense de Electricidade, Limitada",Campo Grande,—,350,800,76,120
all_tables.pdf,35,tbl-99.md,1,,José Ernesto Komel,Abre Campo,—,30,50,20,—
all_tables.pdf,35,tbl-99.md,2,,Empresa Força e Luz de Araguary,Araguary,Prada,1000,2000,50,84
all_tables.pdf,35,tbl-99.md,3,,Municipalidade de Aiaxá,Araxá,—,170,350,10,120
all_tables.pdf,35,tbl-99.md,4,,Municipalidade de Barbacena,Barbacena,Bias Fortes,2000,4000,37,602
all_tables.pdf,35,tbl-99.md,5,,Sociedade Carandahyense de Electricidade,Barbacena,—,120,800,20,27
all_tables.pdf,35,tbl-99.md,6,,Municipalidade de Cabo Verde,Cabo Verde,Municipal,14,42,30,100
all_tables.pdf,35,tbl-99.md,7,,Municipalidade de Caché,Caché,Funil,107,170,19,60
all_tables.pdf,35,tbl-99.md,8,,Empresa Sul Mineira de Força e Luz,Caldas,Rio Verde,320,1800,27,27
all_tables.pdf,35,tbl-99.md,9,,"The Conquista — Xicão Gold Mines Company, Limited",Campanha,—,1300,2000,106,1300
all_tables.pdf,35,tbl-99.md,10,,Municipalidade de Campo Bello,Campo Bello,Municipal,60,80,30,200
all_tables.pdf,35,tbl-99.md,11,,Empresa Força e Luz de Campos Geraes,Campos Geraes,—,170,250,4,—
all_tables.pdf,35,tbl-99.md,12,,"Companhia Brasileira de Tramways, Luz e Força",Carangula,Tombos,4000,12000,75,200
all_tables.pdf,35,tbl-99.md,13,,Companhia Industrial de Caratinga,Caratinga,Cachoeira do Lage,120,300,170,700
all_tables.pdf,35,tbl-99.md,14,,S A Força e Luz de Carmo do Rio Claro,Carmo do Rio Claro,Santa Quitéria,100,300,30,18
all_tables.pdf,35,tbl-99.md,15,,Municipalidade de Caxambú,Caxambú,Furnas,160,270,15,30
all_tables.pdf,35,tbl-99.md,16,,Municipalidade de Christina,Christina,Godefredo Fonseca,116,116,54,350
all_tables.pdf,35,tbl-99.md,17,,Carneiro Junqueira & Companhia,Conceição do Rio Verde,—,125,125,18,20
