source_file,page,source_table_id,state,exclusively_electric,exclusively_kerosene,exclusively_acetylene,exclusively_alcohol,more_than_one_system,total_with_lighting,without_lighting,footnotes,validation_note
table_3.png,1,tbl-0.md,Alagôas,6,21,1,2,—,30,5,,
table_3.png,1,tbl-0.md,Amazonas,3,11,2,—,—,16,12,,
table_3.png,1,tbl-0.md,Bahia,7,74,8,—,6,95,29,2,
table_3.png,1,tbl-0.md,Ceará,4,4,4,—,1,13,57,3,
table_3.png,1,tbl-0.md,Districto Federal,—,—,—,—,1,1,—,4,
table_3.png,1,tbl-0.md,Espirito Santo,10,4,1,—,—,15,14,,
table_3.png,1,tbl-0.md,Goyaz,2,—,—,—,—,3,34,,category_sum_2_differs_from_printed_total_3
table_3.png,1,tbl-0.md,Maranhão,3,15,4,—,—,22,39,,
table_3.png,1,tbl-0.md,Matto Grosso,6,3,—,—,—,9,10,,
table_3.png,1,tbl-0.md,Minas Geraes,98,8,6,—,—,112,45,,
table_3.png,1,tbl-0.md,Pará,5,35,6,—,2,48,5,5,
table_3.png,1,tbl-0.md,Parahyba,7,8,8,3,—,26,9,,
table_3.png,1,tbl-0.md,Paraná,26,3,—,—,—,29,19,,
table_3.png,1,tbl-0.md,Pernambuco,12,11,3,10,2,38,15,6,
table_3.png,1,tbl-0.md,Piauhy,2,12,—,—,—,14,22,,
table_3.png,1,tbl-0.md,Rio de Janeiro,25,6,2,—,—,33,7,,
table_3.png,1,tbl-0.md,Rio Grande do Norte,5,10,—,—,—,15,20,,
table_3.png,1,tbl-0.md,Rio Grande do Sul,39,14,5,—,2,60,5,7,
table_3.png,1,tbl-0.md,Santa Catharina,15,3,—,—,—,18,14,,
table_3.png,1,tbl-0.md,São Paulo,137,17,2,—,2,158,16,8,
table_3.png,1,tbl-0.md,Sergipe,6,20,—,—,1,27,6,9,
table_3.png,1,tbl-0.md,Territorio do Acre,4,—,—,—,—,4,—,,
table_3.png,1,tbl-0.md,TOTAL,422,279,52,15,17,785,383,,
