source_file,page,source_table_id,year,company,plant,state,state_inferred_from_ditto,municipality,municipality_inferred_from_ditto,power_hp,footnotes
tables_1_2.pdf,1,tbl-2.md,,Companhia Mineira de Electricidade,Marmellos,Minas Gerais,no,Juiz de Fóra,no,6150,
tables_1_2.pdf,1,tbl-2.md,,"The South Brazilian Railway Company, Limited",Central,Paraná,no,Curitiba,no,4200,
tables_1_2.pdf,1,tbl-3.md,,Companhia Fiat Lux.,—,Rio Grande do Sul,no,Porto Alegre,no,3230,
tables_1_2.pdf,2,tbl-4.md,1897,Companhia Mogyana de Luz e Força,Salto Grande,São Paulo,no,Espírito Santo do Pinhal,no,1250,
tables_1_2.pdf,2,tbl-4.md,1901,"The São Paulo Tramway, Light and Power Company, Limited",Parnahyba,São Paulo,no,Parnahyba,no,21500,
tables_1_2.pdf,2,tbl-4.md,1904,B & M Barbará,—,Rio Grande do Sul,no,Uruguayana,no,1100,
tables_1_2.pdf,2,tbl-4.md,1904,"Companhia Campineira de Tracção, Luz e Força",Salto Grande,São Paulo,no,Campinas,no,5000,
tables_1_2.pdf,2,tbl-4.md,1904,Companhia Ytdana de Força e Luz,Lavras,São Paulo,yes,Salto,no,2200,
tables_1_2.pdf,2,tbl-4.md,1905,"The Pará Electric Railway and Lighting Company, Limited",—,Pará,no,Belém.,no,6590,
tables_1_2.pdf,2,tbl-4.md,1905,Empresa Electrica Bragantina,Flores,São Paulo,no,Bragança,no,1500,
tables_1_2.pdf,2,tbl-4.md,1905,Companhia Luz e Força de Guaratinguetá,Sodré,São Paulo,yes,Guaratinguetá,no,1360,1
tables_1_2.pdf,2,tbl-4.md,1906,"The Rio de Janeiro Tramway, Light and Power Company, Limited",Ribeirão das Lages,Rio de Janeiro,no,Pirahy,no,60000,
tables_1_2.pdf,2,tbl-4.md,1907,Nova Empresa de Luz Electrica,—,Alagoas,no,Maceió,no,1290,2
tables_1_2.pdf,2,tbl-4.md,1907,Municipalidade de São Salvador,—,Bahia,no,São Salvador,no,2616,
tables_1_2.pdf,2,tbl-4.md,1907,Companhia Linha Circular de Carris da Bahia,Preguiça,Bahia,yes,São Salvador,yes,4700,
tables_1_2.pdf,2,tbl-4.md,1907,Companhia Força e Luz Cataguazes — Leopoldina,Maurício,Minas Geraes,no,Leopoldina,no,3000,
tables_1_2.pdf,2,tbl-4.md,1907,Companhia Paulista de Força e Luz,Central,São Paulo,no,Lenções,no,2000,
tables_1_2.pdf,2,tbl-4.md,1908,Companhia Brasileira de Energia Electrica,Alberto Torres,Rio de Janeiro,no,Parahyba do Sul,no,18000,
