source_file,page,source_table_id,state,total_number,total_hp,until_1890_number,until_1890_hp,1891_1900_number,1891_1900_hp,1901_1910_number,1901_1910_hp,1911_1920_number,1911_1920_hp,note
tables_1_2.pdf,1,tbl-0.md,Amazonas,3,2382,—,—,—,—,2,2012,1,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Bahia,8,24067,—,—,—,—,2,7316,6,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Ceará,3,115,—,—,—,—,—,—,3,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Districto Federal,1,30000,—,—,—,—,—,—,1,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Espírito Santo,11,7534,—,—,—,—,3,6438,8,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Goyaz,1,100,—,—,—,—,—,—,1,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Maranhão,2,335,—,—,—,—,—,—,2,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Matto Grosso,8,1316,—,—,—,—,—,—,8,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Minas Gerais,91,58414,1,6150,1,700,16,11984,73,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Pará,4,6800,—,—,—,—,1,6590,3,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Paratyba,7,1798,—,—,—,—,—,—,7,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Paraná,20,6715,1,4200,—,—,7,1665,12,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Pernambuco,16,15196,—,—,—,—,—,—,16,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Piauí,2,760,—,—,—,—,—,—,2,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Rio de Janeiro,18,82980,—,—,—,—,4,78150,14,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Rio Grande do Norte,4,1759,—,—,—,—,1,1710,3,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Rio Grande do Sul,41,14247,—,—,4,4576,6,2270,31,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Santa Catharina,11,7671,—,—,—,—,4,7280,7,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,São Paulo,78,211168,—,—,3,1815,29,59745,46,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Sergipe,6,629,—,—,—,—,—,—,6,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,Território do Acre,4,195,—,—,—,—,1,10,3,,OCR table did not expose the final 1911-1920 HP column
tables_1_2.pdf,1,tbl-0.md,TOTAL,343,475652,2,10350,8,7091,77,186460,256,,OCR table did not expose the final 1911-1920 HP column
