source_file,section,spread_index,left_page,right_page,left_table_id,right_table_id,pair_record_index,right_subrow_index,alignment_status,state,company,municipality,plant,installation_year,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel,municipality_plant_location,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m,adduction_material,pipe_diameter_mm,pipe_thickness_mm,watercourse_used,reservoir_capacity_m3,raw_left_cells_json,raw_right_cells_json
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,1,1,matched,Alagoas,Nova Empresa de Luz Electrica,Maceió,—,1907,Thermica...,M. V.,3,810,-,-,-,2000,Continua...,-,-,-,-,,,,,,,,,,,"[""Nova Empresa de Luz Electrica"", ""Maceió"", ""—"", ""1907""]","[""Thermica..."", ""M. V."", ""3"", ""810"", ""-"", ""-"", ""-"", ""2.000"", ""Continua..."", ""-"", ""-"", ""-"", ""-""]"
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,1,2,matched,Alagoas,Nova Empresa de Luz Electrica,Maceió,—,1907,,C. I.,2,480,,,,220,Alternativa...,3,100,-,,,,,,,,,,,,"[""Nova Empresa de Luz Electrica"", ""Maceió"", ""—"", ""1907""]","["""", ""C. I."", ""2"", ""480"", """", """", """", ""220"", ""Alternativa..."", ""3"", ""100"", ""-"", """"]"
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,1,3,matched,Alagoas,Nova Empresa de Luz Electrica,Maceió,—,1907,,,,,,,,110,Continua...,-,-,-,,,,,,,,,,,,"[""Nova Empresa de Luz Electrica"", ""Maceió"", ""—"", ""1907""]","["""", """", """", """", """", """", """", ""110"", ""Continua..."", ""-"", ""-"", ""-"", """"]"
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,2,1,matched,Alagoas,Empresa Penedense de Luz e Agua,Penedo,—,1916,Thermica...,M. V.,1,125,-,7,-,110,Continua...,-,-,-,5,,,,,,,,,,,"[""Empresa Penedense de Luz e Agua"", ""Penedo"", ""—"", ""1916""]","[""Thermica..."", ""M. V."", ""1"", ""125"", ""-"", ""7"", ""-"", ""110"", ""Continua..."", ""-"", ""-"", ""-"", ""5""]"
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,3,1,matched,Alagoas,Empresa Luz e Força São Miguel,São Miguel de Campos,—,1917,Thermica...,M. V.,1,20,-,15,-,110,Continua...,-,-,-,3,,,,,,,,,,,"[""Empresa Luz e Força São Miguel"", ""São Miguel de Campos"", ""—"", ""1917""]","[""Thermica..."", ""M. V."", ""1"", ""20"", ""-"", ""15"", ""-"", ""110"", ""Continua..."", ""-"", ""-"", ""-"", ""3""]"
table_1_all.pdf,section_i,1,1,2,tbl-1.md,tbl-7.md,4,1,matched,Alagoas,Empresa Luz Electrica de Victoria,Victoria,—,1920,Thermica...,C. I.,1,36,-,-,-,110,Continua...,-,-,-,3,,,,,,,,,,,"[""Empresa Luz Electrica de Victoria"", ""Victoria"", ""—"", ""1920""]","[""Thermica..."", ""C. I."", ""1"", ""36"", ""-"", ""-"", ""-"", ""110"", ""Continua..."", ""-"", ""-"", ""-"", ""3""]"
table_1_all.pdf,section_i,1,1,2,tbl-2.md,tbl-8.md,5,1,matched,Amazonas,Empresa Electrica Municipal,Humaythá,—,1905,Thermica...,M. V.,1,12,-,2,-,220,Continua...,-,-,-,5,,,,,,,,,,,"[""Empresa Electrica Municipal"", ""Humaythá"", ""—"", ""1905""]","[""Thermica..."", ""M. V."", ""1"", ""12"", ""-"", ""2"", ""-"", ""220"", ""Continua..."", ""-"", ""-"", ""-"", ""5""]"
table_1_all.pdf,section_i,1,1,2,tbl-2.md,tbl-8.md,6,1,matched,Amazonas,"The Manáos Tramways and Light Company, Limited",Manáos,Central,1910,Thermica...,M. V.,4,2000,-,-,-,550,Continua...,-,-,-,-,,,,,,,,,,,"[""The Manáos Tramways and Light Company, Limited"", ""Manáos"", ""Central"", ""1910""]","[""Thermica..."", ""M. V."", ""4"", ""2.000"", ""-"", ""-"", ""-"", ""550"", ""Continua..."", ""-"", ""-"", ""-"", ""-""]"
table_1_all.pdf,section_i,1,1,2,tbl-2.md,tbl-8.md,7,1,matched,Amazonas,Madeira-Mamoré Railway Company,Porto Velho,—,1918,Thermica...,M. V.,3,370,-,13,-,220,Alternativa...,3,60,-,9,,,,,,,,,,,"[""Madeira-Mamoré Railway Company"", ""Porto Velho"", ""—"", ""1918""]","[""Thermica..."", ""M. V."", ""3"", ""370"", ""-"", ""13"", ""-"", ""220"", ""Alternativa..."", ""3"", ""60"", ""-"", ""9""]"
table_1_all.pdf,section_i,1,1,2,tbl-3.md,tbl-9.md,8,1,matched,Bahia,Antonio Balbino de Carvalho,Barreiras,Carvalho,1920,Thermica...,M. V.,1,21,-,1,-,125,Continua...,-,-,-,4,,,,,,,,,,,"[""Antonio Balbino de Carvalho"", ""Barreiras"", ""Carvalho"", ""1920""]","[""Thermica..."", ""M. V."", ""1"", ""21"", ""-"", ""1"", ""-"", ""125"", ""Continua..."", ""-"", ""-"", ""-"", ""4""]"
