source_file,section,spread_index,left_page,right_page,left_table_id,right_table_id,pair_record_index,right_subrow_index,alignment_status,state,company,municipality,plant,installation_year,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel,municipality_plant_location,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m,adduction_material,pipe_diameter_mm,pipe_thickness_mm,watercourse_used,reservoir_capacity_m3,raw_left_cells_json,raw_right_cells_json
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-95.md,1,1,matched,Bahia,Companhia Brasileira de Energia Eléctrica,,Bananeiras,,,,,,110,—,44000,110,,,,1,,Cachoeira,15600,30000,35,1500,Aço e cimento.,3800,20,Rio Paraguassú.,—,"[""Companhia Brasileira de Energia Eléctrica"", ""Cachoeira"", ""Bananeiras"", ""15 600"", ""30 000"", ""35"", ""1 500""]","[""Aço e cimento."", ""3.800"", ""20"", ""110"", ""—"", ""44.000"", ""110"", ""1"", ""Rio Paraguassú."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-95.md,2,1,matched,Bahia,Companhia Luz e Força,,—,,,,,,59,9,21500,220,,,,1,,Ilhéos,900,—,21,163,Aço.,1200,6,Rio Itahype ou Almada.,—,"[""Companhia Luz e Força"", ""Ilhéos"", ""—"", ""900"", ""—"", ""21"", ""163""]","[""Aço."", ""1.200"", ""6"", ""59"", ""9"", ""21.500"", ""220"", ""1"", ""Rio Itahype ou Almada."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-95.md,3,1,matched,Bahia,Companhia Valença Industrial,,Nossa Senhora do Amparo,,,,,,5,—,220,220,,,,—,,Valença,100,1000,5,—,—,—,—,Rio Una.,—,"[""Companhia Valença Industrial"", ""Valença"", ""Nossa Senhora do Amparo"", ""100"", ""1 000"", ""5"", ""—""]","[""—"", ""—"", ""—"", ""5"", ""—"", ""220"", ""220"", ""—"", ""Rio Una."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,4,1,matched,Espírito Santo,"C Força e Luz, Limitada, de Affonso Claudio",,Barra do Rio do Peixe,,,,,,2,3,2200,220,,,,—,,Affonso Claudio,20,2000,10,—,Canal.,—,—,Rio do Peixe.,—,"[""C Força e Luz, Limitada, de Affonso Claudio"", ""Affonso Claudio"", ""Barra do Rio do Peixe"", ""20"", ""2 000"", ""10"", ""—""]","[""Canal."", ""—"", ""—"", ""2"", ""3"", ""2.200"", ""220"", ""—"", ""Rio do Peixe."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,5,1,matched,Espírito Santo,Empresa Força e Luz Alegre-Veado,,—,,,,,,20,12,6600,220,,,,—,,Alegre,300,300,100,240,Aço doce.,60,5,Rio Alegre.,—,"[""Empresa Força e Luz Alegre-Veado"", ""Alegre"", ""—"", ""300"", ""300"", ""100"", ""240""]","[""Aço doce."", ""60"", ""5"", ""20"", ""12"", ""6.600"", ""220"", ""—"", ""Rio Alegre."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,6,1,matched,Espírito Santo,André Carloni,,—,,,,,,1,4,2300,220,,,,1,,Cachoeiro de Santa Leopoldina,120,—,5,—,Canal.,—,—,Rio Santa Maria.,3000,"[""André Carloni"", ""Cachoeiro de Santa Leopoldina"", ""—"", ""120"", ""—"", ""5"", ""—""]","[""Canal."", ""—"", ""—"", ""1"", ""4"", ""2.300"", ""220"", ""1"", ""Rio Santa Maria."", ""3.000""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,7,1,matched,Espírito Santo,Comp Serviços Reunidos do Itapemirim,,Fructeiras,,,,,,42,—,30000,3000,,,,2,,Cachoeiro do Itapemirim,4077,4100,220,900,Aço.,900,10,Rio Fructeiras.,—,"[""Comp Serviços Reunidos do Itapemirim"", ""Cachoeiro do Itapemirim"", ""Fructeiras"", ""4 077"", ""4 100"", ""220"", ""900""]","[""Aço."", ""900"", ""10"", ""42"", ""—"", ""30.000"", ""3.000"", ""2"", ""Rio Fructeiras."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,8,1,matched,Espírito Santo,Municipalidade de Cachoeiro do Itapemirim,,Ilha da Luz,,,,,,4,6,2200,220,,,,—,,Cachoeiro do Itapemirim,135,400,6,—,Canal.,—,—,Rio Itapemirim.,—,"[""Municipalidade de Cachoeiro do Itapemirim"", ""Cachoeiro do Itapemirim"", ""Ilha da Luz"", ""135"", ""400"", ""6"", ""—""]","[""Canal."", ""—"", ""—"", ""4"", ""6"", ""2.200"", ""220"", ""—"", ""Rio Itapemirim."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,9,1,matched,Espírito Santo,De Biase & Companhia,,—,,,,,,1,1,110,110,,,,—,,Espírito Santo do Rio Pardo,8,8,2,—,Canal.,—,—,Rio Vargem Grande.,—,"[""De Biase & Companhia"", ""Espírito Santo do Rio Pardo"", ""—"", ""8"", ""8"", ""2"", ""—""]","[""Canal."", ""—"", ""—"", ""1"", ""1"", ""110"", ""110"", ""—"", ""Rio Vargem Grande."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,10,1,matched,Espírito Santo,"Duarte, Beiriz & Companhia",,Pedra d'Agua,,,,,,6,2,2000,120,,,,1,,Piúma,56,70,7,—,Canal.,—,—,Rio Iconha.,—,"[""Duarte, Beiriz & Companhia"", ""Piúma"", ""Pedra d'Agua"", ""56"", ""70"", ""7"", ""—""]","[""Canal."", ""—"", ""—"", ""6"", ""2"", ""2.000"", ""120"", ""1"", ""Rio Iconha."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,11,1,matched,Espírito Santo,Governo do Estado do Espírito Santo,,Jucú,,,,,,25,32,20000,2000,,,,1,,Santa Isabel,2226,25000,52,87,Aço.,1100,10,Rio Jucú.,—,"[""Governo do Estado do Espírito Santo"", ""Santa Isabel"", ""Jucú"", ""2 226"", ""25 000"", ""52"", ""87""]","[""Aço."", ""1.100"", ""10"", ""25"", ""32"", ""20.000"", ""2.000"", ""1"", ""Rio Jucú."", ""—""]"
table_1_all.pdf,section_ii,1,33,34,tbl-93.md,tbl-96.md,12,1,matched,Espírito Santo,Sociedade Anonyma de Melhoramentos,,Santa Thereza,,,,,,1,1,220,220,,,,—,,Santa Thereza,32,40,10,110,Ferro batido.,500,3,Rio Timbohy.,—,"[""Sociedade Anonyma de Melhoramentos"", ""Santa Thereza"", ""Santa Thereza"", ""32"", ""40"", ""10"", ""110""]","[""Ferro batido."", ""500"", ""3"", ""1"", ""1"", ""220"", ""220"", ""—"", ""Rio Timbohy."", ""—""]"
