level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2338	-1	
2	1	1	0	0	0	255	143	1166	1815	-1	
3	1	1	1	0	0	255	143	1166	1815	-1	
4	1	1	1	1	0	710	143	253	10	-1	
5	1	1	1	1	1	710	143	14	9	73.349159	1X
5	1	1	1	1	2	735	143	113	10	87.256485	RECENSEAMENTO
5	1	1	1	1	3	859	143	41	10	87.256485	GERAL
5	1	1	1	1	4	911	147	7	2	84.989052	-
5	1	1	1	1	5	930	143	33	10	49.645138	1980
4	1	1	1	2	0	258	159	1163	9	-1	
5	1	1	1	2	1	258	146	121	31	0.000000	Prerererrerert
5	1	1	1	2	2	388	146	171	31	0.000000	tertetverrtittitritr
5	1	1	1	2	3	564	159	26	8	0.000000	iio
5	1	1	1	2	4	600	146	86	31	0.000000	erterrersr
5	1	1	1	2	5	700	159	30	8	0.000000	tet
5	1	1	1	2	6	735	146	168	31	0.000000	tettarerereneevertea
5	1	1	1	2	7	915	146	48	31	21.711937	eters
5	1	1	1	2	8	972	159	8	8	31.789173	rt
5	1	1	1	2	9	1000	160	6	7	16.773386	i
5	1	1	1	2	10	1021	146	16	31	1.122389	tt
5	1	1	1	2	11	1041	146	66	31	0.000000	rrettrrt
5	1	1	1	2	12	1111	146	24	31	0.227985	ttt
5	1	1	1	2	13	1140	146	16	31	0.000000	itt
5	1	1	1	2	14	1165	146	256	31	0.000000	ectrerettesttttrertccrecesrres
4	1	1	1	3	0	258	202	588	12	-1	
5	1	1	1	3	1	258	203	14	10	58.618515	2s
5	1	1	1	3	2	293	203	42	11	24.119558	OADOS
5	1	1	1	3	3	346	203	51	11	83.391876	GERATS
5	1	1	1	3	4	408	203	24	10	92.239220	DAS
5	1	1	1	3	5	443	202	86	11	92.239220	ATIVIDADES
5	1	1	1	3	6	542	202	101	11	69.744225	INDUSTRIALS,
5	1	1	1	3	7	656	202	59	11	75.435661	SEGUNDD
5	1	1	1	3	8	726	202	120	11	68.657684	MICRORREGIOES,
4	1	1	1	4	0	293	231	291	12	-1	
5	1	1	1	4	1	293	232	87	11	81.443481	MUNICIPIOS
5	1	1	1	4	2	392	232	6	10	87.656860	E
5	1	1	1	4	3	409	231	60	12	87.656860	GENEROS
5	1	1	1	4	4	479	232	15	10	87.830307	DE
5	1	1	1	4	5	507	232	77	10	8.655281	INDUSTRIA
4	1	1	1	5	0	258	275	1161	10	-1	
5	1	1	1	5	1	258	277	33	7	0.000000	SOND
5	1	1	1	5	2	303	276	147	8	0.000000	RRESASARMEMAEGEER
5	1	1	1	5	3	455	276	39	7	20.343370	TSUN
5	1	1	1	5	4	499	276	11	8	0.000000	EE
5	1	1	1	5	5	514	276	15	8	2.407207	ER
5	1	1	1	5	6	533	277	21	7	0.000000	ERS
5	1	1	1	5	7	558	276	40	7	0.000000	ETHOS
5	1	1	1	5	8	602	276	32	7	0.000000	ESES
5	1	1	1	5	9	638	275	40	8	0.000000	ESAS
5	1	1	1	5	10	682	275	32	8	0.000000	EERE
5	1	1	1	5	11	729	276	3	7	0.000000	U
5	1	1	1	5	12	739	276	38	8	0.000000	DEST
5	1	1	1	5	13	783	276	19	7	0.000000	SS
5	1	1	1	5	14	806	276	22	7	0.000000	NEO
5	1	1	1	5	15	835	276	12	7	0.000000	FC
5	1	1	1	5	16	850	275	32	8	0.000000	GASH
5	1	1	1	5	17	894	276	23	7	0.000000	ENE
5	1	1	1	5	18	923	276	21	7	0.000000	GEE
5	1	1	1	5	19	948	276	40	7	0.000000	ESTES
5	1	1	1	5	20	992	276	22	7	8.234310	OEE
5	1	1	1	5	21	1029	276	29	8	0.000000	OEEH
5	1	1	1	5	22	1062	276	31	8	0.000000	YEO
5	1	1	1	5	23	1106	276	14	8	0.000000	EN
5	1	1	1	5	24	1127	277	19	7	19.560137	CES
5	1	1	1	5	25	1153	276	29	8	0.000000	CLES
5	1	1	1	5	26	1186	276	13	7	0.000000	ML
5	1	1	1	5	27	1204	276	21	8	0.000000	ENE
5	1	1	1	5	28	1233	277	19	7	10.118876	EER
5	1	1	1	5	29	1258	276	30	9	42.436646	EERE
5	1	1	1	5	30	1295	277	29	7	11.056490	EEE
5	1	1	1	5	31	1328	277	19	8	0.000000	EKE
5	1	1	1	5	32	1354	278	21	7	7.310514	EE
5	1	1	1	5	33	1380	277	12	7	58.304409	EE
5	1	1	1	5	34	1398	277	21	7	15.106668	DIE
4	1	1	1	6	0	319	292	1100	8	-1	
5	1	1	1	6	1	319	293	7	7	21.696920	.
5	1	1	1	6	2	990	292	7	7	40.633125	.
5	1	1	1	6	3	1078	292	7	7	0.000000	.
5	1	1	1	6	4	1308	293	6	7	30.261574	*
5	1	1	1	6	5	1412	293	7	6	28.804821	*
4	1	1	1	7	0	319	306	1101	10	-1	
5	1	1	1	7	1	319	307	7	7	63.601402	*
5	1	1	1	7	2	990	306	7	7	72.437035	*
5	1	1	1	7	3	1078	306	7	7	82.100616	*
5	1	1	1	7	4	1132	306	58	10	22.216545	PESSPAL
5	1	1	1	7	5	1202	306	60	10	0.000000	ACUPADO
5	1	1	1	7	6	1308	307	7	7	23.474258	*
5	1	1	1	7	7	1336	307	23	9	62.473564	AND
5	1	1	1	7	8	1369	306	16	10	0.000000	DE
4	1	1	1	8	0	319	321	1100	11	-1	
5	1	1	1	8	1	319	322	7	7	10.505171	.
5	1	1	1	8	2	990	321	7	7	32.659435	*
5	1	1	1	8	3	1078	321	7	7	54.130409	.
5	1	1	1	8	4	1140	322	15	9	73.341286	EM
5	1	1	1	8	5	1167	321	86	10	80.219398	31-12-1980
5	1	1	1	8	6	1307	322	6	7	89.549339	*
5	1	1	1	8	7	1343	322	32	10	27.792763	1980
5	1	1	1	8	8	1413	322	6	7	20.275993	#
4	1	1	1	9	0	320	336	1100	9	-1	
5	1	1	1	9	1	320	337	6	7	41.757359	.
5	1	1	1	9	2	990	336	8	7	35.870361	*
5	1	1	1	9	3	1078	337	7	7	28.549957	.
5	1	1	1	9	4	1308	337	6	7	43.713535	*
5	1	1	1	9	5	1413	338	7	7	16.683512	*
4	1	1	1	10	0	320	351	1099	9	-1	
5	1	1	1	10	1	320	351	6	8	18.304501	*
5	1	1	1	10	2	991	351	7	7	0.000000	’
5	1	1	1	10	3	1075	338	78	31	0.000000	perreErer
5	1	1	1	10	4	1155	338	24	31	18.416071	itt
5	1	1	1	10	5	1184	352	49	7	0.000000	titer
5	1	1	1	10	6	1235	351	184	9	0.000000	eseervecteereserrersss
4	1	1	1	11	0	319	365	1101	8	-1	
5	1	1	1	11	1	319	365	7	7	48.122223	*
5	1	1	1	11	2	991	365	6	7	45.122910	*
5	1	1	1	11	3	1079	365	6	7	0.000000	*
5	1	1	1	11	4	1202	366	7	7	20.145826	*
5	1	1	1	11	5	1308	366	6	7	76.966415	*
5	1	1	1	11	6	1413	367	7	6	5.792761	.
4	1	1	1	12	0	266	381	1154	9	-1	
5	1	1	1	12	1	266	381	32	9	43.449699	NUM.
5	1	1	1	12	2	319	381	7	7	30.090366	*
5	1	1	1	12	3	991	381	6	7	51.213169	*
5	1	1	1	12	4	1078	381	7	7	27.668072	*
5	1	1	1	12	5	1202	382	7	7	53.188606	*
5	1	1	1	12	6	1308	382	7	7	88.595840	*
5	1	1	1	12	7	1414	383	6	6	68.506721	*
4	1	1	1	13	0	319	394	1100	11	-1	
5	1	1	1	13	1	319	395	7	7	0.000000	*
5	1	1	1	13	2	991	394	94	11	78.816063	*ESTABELE-*
5	1	1	1	13	3	1202	395	6	7	63.824001	*
5	1	1	1	13	4	1307	395	7	7	42.502445	+
5	1	1	1	13	5	1414	396	5	7	66.983398	+
4	1	1	1	14	0	319	410	1101	9	-1	
5	1	1	1	14	1	319	411	7	7	88.797684	:
5	1	1	1	14	2	991	410	6	6	35.677452	.
5	1	1	1	14	3	1079	410	6	7	41.786797	+
5	1	1	1	14	4	1202	411	7	7	1.797647	’
5	1	1	1	14	5	1307	411	6	7	19.118547	°
5	1	1	1	14	6	1413	412	7	7	46.289070	Ps
4	1	1	1	15	0	266	424	1154	11	-1	
5	1	1	1	15	1	266	425	60	9	54.201775	cet
5	1	1	1	15	2	549	424	119	11	0.000000	RICRORRESIOES)
5	1	1	1	15	3	680	424	87	10	78.166702	MUNICTPLOS
5	1	1	1	15	4	990	425	78	10	18.412857	*CIMENTOS
5	1	1	1	15	5	1078	425	6	7	67.744690	*
5	1	1	1	15	6	1202	426	5	7	48.317966	+
5	1	1	1	15	7	1308	426	6	7	85.281586	*
5	1	1	1	15	8	1413	427	7	6	62.873077	*
4	1	1	1	16	0	319	440	1100	10	-1	
5	1	1	1	16	1	319	441	7	7	0.000000	*
5	1	1	1	16	2	991	440	6	7	54.333569	>
5	1	1	1	16	3	1078	440	7	7	64.294342	*
5	1	1	1	16	4	1201	440	7	7	0.000000	*
5	1	1	1	16	5	1307	441	6	6	86.793991	*
5	1	1	1	16	6	1342	440	42	10	69.512817	MEDIA
5	1	1	1	16	7	1413	441	6	7	57.134052	*
4	1	1	1	17	0	319	453	1101	10	-1	
5	1	1	1	17	1	319	454	7	8	30.282875	*
5	1	1	1	17	2	990	454	7	7	59.141731	+
5	1	1	1	17	3	1008	454	25	9	44.644009	and
5	1	1	1	17	4	1044	454	14	9	83.822685	DE
5	1	1	1	17	5	1079	453	6	8	67.228867	+
5	1	1	1	17	6	1202	454	6	7	25.103607	e
5	1	1	1	17	7	1228	453	87	10	0.000000	Lisson
5	1	1	1	17	8	1413	455	7	7	51.182140	*
4	1	1	1	18	0	266	455	1154	31	-1	
5	1	1	1	18	1	266	468	24	10	37.324940	oR-
5	1	1	1	18	2	319	469	7	7	0.000000	#8
5	1	1	1	18	3	557	468	7	9	40.171947	©
5	1	1	1	18	4	575	468	59	10	85.754333	GENEROS
5	1	1	1	18	5	646	467	15	11	84.615479	DE
5	1	1	1	18	6	673	468	77	10	89.003166	INDUSTRIA
5	1	1	1	18	7	991	468	6	7	41.702545	.
5	1	1	1	18	8	1074	455	11	31	33.619392	Ps
5	1	1	1	18	9	1202	469	6	7	11.689339	*
5	1	1	1	18	10	1307	469	7	7	54.516747	*
5	1	1	1	18	11	1326	469	49	10	54.516747	MENSAL
5	1	1	1	18	12	1388	469	15	9	64.810806	DO
5	1	1	1	18	13	1414	469	6	7	64.810806	+
4	1	1	1	19	0	318	483	1102	10	-1	
5	1	1	1	19	1	318	483	7	8	52.808781	*
5	1	1	1	19	2	990	484	7	6	71.614197	*
5	1	1	1	19	3	1017	483	32	10	46.714626	1980
5	1	1	1	19	4	1078	483	7	7	46.714626	*
5	1	1	1	19	5	1107	472	9	31	34.827427	=
5	1	1	1	19	6	1123	483	40	10	0.000000	ToraL
5	1	1	1	19	7	1202	484	6	7	12.532883	+
5	1	1	1	19	8	1256	484	5	9	52.651363	4
5	1	1	1	19	9	1308	484	6	7	77.553200	*
5	1	1	1	19	10	1414	484	6	7	80.809143	*
4	1	1	1	20	0	319	484	1102	31	-1	
5	1	1	1	20	1	319	498	6	7	81.980179	*
5	1	1	1	20	2	986	484	11	31	41.571548	Ps
5	1	1	1	20	3	1074	484	11	31	55.857166	Ps
5	1	1	1	20	4	1202	498	6	7	44.457787	+
5	1	1	1	20	5	1308	499	7	6	69.226830	*
5	1	1	1	20	6	1334	498	59	10	0.000000	PESSUAL
5	1	1	1	20	7	1414	499	7	6	15.764723	*
4	1	1	1	21	0	265	511	1154	11	-1	
5	1	1	1	21	1	265	511	26	10	16.427965	ore
5	1	1	1	21	2	319	513	6	6	16.038103	®
5	1	1	1	21	3	990	512	6	7	0.000000	*
5	1	1	1	21	4	1078	512	6	7	32.766895	.
5	1	1	1	21	5	1202	512	6	7	72.564751	*
5	1	1	1	21	6	1218	512	69	10	21.577354	erepucKo
5	1	1	1	21	7	1307	513	6	6	80.176895	+
5	1	1	1	21	8	1413	513	6	7	45.979691	*
4	1	1	1	22	0	319	527	1100	11	-1	
5	1	1	1	22	1	319	527	7	8	18.169632	*
5	1	1	1	22	2	990	527	6	7	41.250175	*
5	1	1	1	22	3	1078	527	6	7	0.000000	*
5	1	1	1	22	4	1201	528	7	7	19.103174	.
5	1	1	1	22	5	1308	529	6	6	81.934456	*
5	1	1	1	22	6	1334	527	59	11	19.024944	ocupaco
5	1	1	1	22	7	1413	528	6	7	75.042366	+
4	1	1	1	23	0	319	529	1100	31	-1	
5	1	1	1	23	1	319	542	6	8	61.520134	*
5	1	1	1	23	2	990	542	7	7	29.290005	*
5	1	1	1	23	3	1077	542	7	7	73.521019	*
5	1	1	1	23	4	1201	542	6	7	37.452133	.
5	1	1	1	23	5	1303	529	11	31	34.126778	Ps
5	1	1	1	23	6	1413	543	6	7	54.958031	+
4	1	1	1	24	0	319	558	1101	8	-1	
5	1	1	1	24	1	319	558	6	8	65.401093	*
5	1	1	1	24	2	991	558	6	7	4.093456	*
5	1	1	1	24	3	1079	558	6	7	78.421494	*
5	1	1	1	24	4	1202	558	6	7	51.824627	*
5	1	1	1	24	5	1307	559	7	7	26.036005	.
5	1	1	1	24	6	1414	559	6	7	49.746304	*
4	1	1	1	25	0	318	571	1102	8	-1	
5	1	1	1	25	1	318	572	7	7	20.830841	‘
5	1	1	1	25	2	990	571	6	7	19.656610	.
5	1	1	1	25	3	1078	571	6	7	65.308441	>
5	1	1	1	25	4	1202	572	6	6	10.157938	*
5	1	1	1	25	5	1307	572	7	6	3.756084	.
5	1	1	1	25	6	1414	572	6	7	41.862698	*
4	1	1	1	26	0	318	586	1102	8	-1	
5	1	1	1	26	1	318	587	7	7	0.000000	*
5	1	1	1	26	2	990	586	6	7	31.455654	.
5	1	1	1	26	3	1078	587	6	6	33.243107	.
