level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3307	4676	-1	
2	1	1	0	0	0	510	284	2330	3630	-1	
3	1	1	1	0	0	510	284	2330	3630	-1	
4	1	1	1	1	0	1418	284	506	21	-1	
5	1	1	1	1	1	1418	284	28	19	77.638153	IX
5	1	1	1	1	2	1469	285	224	20	87.356339	RECENSEAMENTO
5	1	1	1	1	3	1716	285	82	20	89.685890	GERAL
5	1	1	1	1	4	1820	294	13	2	61.374710	-
5	1	1	1	1	5	1858	286	66	18	57.846470	19R0
4	1	1	1	2	0	514	318	2326	17	-1	
5	1	1	1	2	1	514	311	45	29	0.000000	Jodog
5	1	1	1	2	2	570	311	25	29	19.639301	dob
5	1	1	1	2	3	606	311	25	29	16.613178	kok
5	1	1	1	2	4	640	319	57	15	17.656212	goo
5	1	1	1	2	5	713	311	44	29	32.519531	soda
5	1	1	1	2	6	787	318	35	15	29.445105	ona
5	1	1	1	2	7	833	319	64	14	22.849545	gga
5	1	1	1	2	8	925	311	27	29	31.344322	ies
5	1	1	1	2	9	976	318	44	14	53.137939	kak
5	1	1	1	2	10	1029	319	61	13	26.750294	kkk
5	1	1	1	2	11	1102	318	25	13	21.113182	ak
5	1	1	1	2	12	1135	318	28	15	38.936852	tk
5	1	1	1	2	13	1172	318	26	14	21.224766	dk
5	1	1	1	2	14	1220	318	30	14	42.743027	ak
5	1	1	1	2	15	1276	318	97	14	30.217667	sg
5	1	1	1	2	16	1450	318	80	14	19.062061	ao
5	1	1	1	2	17	1568	318	73	15	20.036812	a
5	1	1	1	2	18	1711	318	175	15	41.235046	eo
5	1	1	1	2	19	1986	318	124	15	35.030884	oo
5	1	1	1	2	20	2124	319	61	13	20.280109	tet
5	1	1	1	2	21	2218	318	57	14	22.453699	ah
5	1	1	1	2	22	2303	319	22	14	27.519802	ok
5	1	1	1	2	23	2344	319	52	14	32.777744	kk
5	1	1	1	2	24	2431	311	55	29	14.157410	keg
5	1	1	1	2	25	2511	319	22	14	41.099419	te
5	1	1	1	2	26	2547	311	26	29	39.609268	tok
5	1	1	1	2	27	2598	320	12	15	53.178211	a
5	1	1	1	2	28	2641	319	57	15	27.600555	ag
5	1	1	1	2	29	2723	311	28	29	47.267563	Bak
5	1	1	1	2	30	2767	321	21	13	38.944725	a
4	1	1	1	3	0	515	404	1175	22	-1	
5	1	1	1	3	1	515	407	27	18	87.870880	2.
5	1	1	1	3	2	586	406	83	20	63.704586	DADCS
