municipio,juros,salarios,terras,transporte
Allemao,A taxa e de um por cento ao mez.,"O trabalhador rural ganha 1$000 ou 20$000 mensaescozinhei ro, 15$000 mensaes; lavadeira, 4$000 mensaes; carpinteiro, 4$000 a 5$000 diarios; nao ha administradores nen escrivaes de fazenda; os vaqueiros encarregados da criacao quando tomam conta das fa zendas, percebem um quarto da produccao animal ou 400$000 annuaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades-- As terras na maioria sao boas,planas e silico-argillo sas; existem alguns trechos nontanhosos e outros pedregosos.A ve getacao é representada por boas mattas virgens, capoeiras, campos, cerrados e alguns carrascaes. Precos- O hectare de terra varia de 1$000 a 5$000. por kilo de cereal ou de outra mercador:a.","Para Araguary pagam em tropa ou carro de bois, 50 réis por kilo de cereal ou de cutra mercadoria"
Annapolis,A taxa é de 1% ao mez.,"Um trabalhador rural ganha de 50o réis a 1$000 diarios; nao ha administradores nem escrivaes de fazenda;um carpinteiro ganha de 4$000 a 5$000 diarios; um cozinheiro, 15$000 mensaes; pagan a roupa lavada por peca. Os salarios sao pagos e os contractos","Qualidades-O municipio possue imuitas terras boas; algumas regulares c poucas infcriores; sao geralmente misturadas ou argillosas, planas e seccas. A vegetacao é representada por mattas virgens,capoeiras e campos,cerrados e carrascaes. Precos-Um hectare de terra de matta virgen custa 10$000 e de campo 2$000, approximadamente.","Pagam de transporte em carro de bois ou tropas, para Araguary 200 réis por kilo de cereaes e para Goyaz, 100 réis. Para o mercado local a conduccao é feita pelos proprios agricultores."
Arrayas,Nao ha emprestimos.,"Un trabalhador rurai ganha 50o. réis diarios, com alimcntacao; uem ha administradores nem escrivaes de fazenda; um vaqueiro, que é verdadeiro administrador, ganha 25"" do producto da criacao;uma cozinheira,12$000 mensaes;lavadeira,de 10$000 a 15$000 mensaes;um carpinteiro,3$000 diarios.Os salarios sao pagos e os contractos cumpridos.","Qualidades-O municipio possue terras boas, regulares e inferiores; argillosas, arenosas e misturadas ; padregosas, e pantanosas; sendo na sua naior parte, planas. A vegetacao é representada por muitas inattas virgens, bem como per capoeiras e campos, poucos cerrados e carrascaes. Precos -- Um hectare de terra boa pertencente ao Estado, custa 1$000 a 1$200; aos particulares, 200 reis.",Paga-se pelo transporte.de cada litro.de cereacs 1o a 15 réis para uma certa e determinada distancia.
Bella Vista,A taxa é de um e meio por cento ao mez.,"Um trabalhador rural ganha 1$000 a 1$500 diarios ; administra dores e escrivaes de fazenda nao ha; existen vaqueiros que ganlam um quarto da criacao de que tomam conta;um carpinteiro,3$000 a 7$000 diarios; uma cozinheira, 8$000 a 10$000 mensaes; uma la- vadeira, 4$000 a 6$000 mensaes. Os salarios sao pagos c os con-","Qualidades -- As terras do municipio sao geralmente boas; ha algumas regulares; propriamente inferiores nao existem. Argillosas, na maior parte; misturadas, em alguns pontos; arenosas, em pe- quena parte. O municipio e no geral plano, existindo, todlavia, partes pouco accidentadas. As terras sao pedregosas em pequena quanti- dade,frescas e enxutas,nao ha terras pantanosas.A vegetacaoe representada na sua maior parte.por mattas virgens magnificas, e capoeiras,alguns cerrados c campos. Nao ha carrascaes. Precos -- Um hectare de terra boa custa 40$000 approximadamente.","O transporte ao mercado local feito em aninaes dos proprios productores; para Araguary & feito em tropas e carros dc bois, custando cerca de 1 33 reis por kilo de mercadorias agricolas."
Boa Vista do Tocantins,Nao ha taxa determinada.,"Um trabalhador rural ganha 2$000 diarios; un carpinteiro, 3$000 diarios;*una cozinheira cu lavadeira, 30$000 mcnsaes; nac ha administradores nem cscrivaes de fazenda; uas fazendas de criar,o encarregado da criacao,percebe 25da produceao aninal. Os salarios sao pagos e os contractos cumpridos.","Qualidades-As terras do .municipio sao na maioria boas c regularcs; argillcsas e misturadas; muito pouco accidentadas, com grandes secces pedregosas c pantanosas. A. vegetacao é represen- tada por muitas mattas yirgens e capoeiras; grandes cerradlos e_canpos. Precos-As terras adquiridas ao Estado custam de 1$000 a 1$200 o 1$200 o hectare e dos particulares, geralnente nao legitimadas,de 100 a:200réis.","Para o mercado local, paga-se 5 a 15 réis,por litro c para os pontos mais distantes, 25 a 50 réis."
Bomfim,A taxa é de 1% ao mez.,"O trabalhador rural ganha 500 réis a 1$000 diarios; um cozinhei ro, 10$000 mensaes ; uma lavadeira, 6$000 mensaes ; un carpinteiro, 2$000 a 4$000 diarios; nao ha escrivaes nem adninistradores de fazenda. Os vaqueiros ganhan 2$000 por cria. Os.salarios sao pagos","Qualidades -- No geral, boas; existem algunas regulares c poucas inferiores.uasi todas as terras sao misturadas, scndo poucas as argillosas e arenosas. Nao ha terras pedregosas e montanhosas; sao poucas as seccas. A vegetacao é representada por optimas mattas virgens.capoeires e capoeiras; bons campos e carrascaes. Precos--Um hectare de terra boa custa,mais ou nenos,5$000,de canpos..2$000.",O transporte para a estacaode Araguary.custa 15o reis por kilo.
Campinas,Taxa de 18% a 24% annuaes.,"Un trabalhador rural ganha de 1$000 a 1$500 diarios; admi nistradores e escrivaes de fazenda nao ha; um vaqueiro percebe um quarto da produccao do gado de que toma conta; um carpin teiro, 4$000 diarios;um cozinheiro, 10$000 mensaes; uma lavadeira, 5$000 mensaes. Os salarios sao pagos e os contractos","Qualidades - O municipio, que é quasi totalmente plano, é formado de terras frescas e enxutas, possue muitas terras boas e poucas regulares ; inferiores, nao ha. As terras sao quasi todas argillosas, pois nao ha arenosas e muito poucas sao misturadas. A. vegetacao é representada por magnificas mattas virgens, boas capoeiras e optimos campos com boas pastagens de catingueiro branco; existem cerrados, alguns sujos e outros limpos e alguns carrascaes de vegetacao enfezada. Precos-Um hectare de terra boa custa 10$000 a 20$000.","O transporte aos mercados é geralmente feito em animaes dos proprios productores; todavia, quando ha necessidade, pagam 200 réis por kilo até Araguary, aos tropeiros que alli vao buscar cargas."
Campo Formoso,A taxa é de 10% ao anno.,"O trabalhador rural, ganha 1$000 diarios; um cozinheiro, 20$000 nensaes; as lavadeiras, cobram 5o reis, por peca; um carpinteiro, ganha de 4$000 a 5$000 diarios; nao ha administradlores, ncm escrivaes de fazenda. Os salarios sao pagos c cs contractos","Qual:dades--As terras do municipio s@o na sua naicria boas c silico-argillosas; no geral planas; ha poucos terrenos pedregosns A vegetac&o & representada por nattas virgens. de -primcira qualidade, capociras e cerrados, alguns carrascaes e bcns campos. Precos--O hectare de terra Loa,custa, cm matio,10$000 c em campo, 750 réis.","Para o mercado local, no geral, as cargas sao transportadas pelos proprios productores em carros de bois ou animaes de sua propriedade; para estacao de Araguary, paga-se 100 réis, por kilo."
Catalao,A taxa é de 1 1/2 a 2% ao mez.,".- Q trabalhador rural ganha 1$000 diarios ou 26$000 mensaes; um cozinheiro, 15$000 a 20$000 mensaes; uma lavadeira, 10$000 a 12$000 mensaes;um carpinteiro,5$000 diarios;nao ha administra- dores nem escrivaes de fazenda; os vaqueiros que tomam conta das fazendas de criar ganham 400$000 a 500$000 annuaes. Os sala- rios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio sao na maioria boas e planas ; ha terras argillosas nas margens dos rios Verde, S. Bento e das Pedras; arenosas nas margens dos rios Verissino e S. Marcos: no geral sao, misturadas; ha terrenos pedregosos. A. vegetacao é representada por grandes mattas virgens, de optima qualidade, capoeiras, cerrados, carrascaes e campos. Precos --- O hectare de terra böa custa 10$000 a 12$000; esses precos, porén, ja estao augmentando devido a approxinacao da estrada de ferro.","Para o mercado local os agricultores, em geral, transportam seus productos em animaes proprios; para Araguary pagam 66 réis por kilo."
Cavalcanti,Nao ha prestamistas.,"Um camarada ganha de 5oo réis a 1$000 diarios.Os vaqueiros verdadeiros administradores das fazendas de criar,tem m quarto da produccao do gado de que tomam conta. Nao ha administradores pem escrivaes de fazenda. Um carp.nteiro, ganha de 2$000 a 4$0:0. BIBLIOTECA diarios, com alimentacao; umm cozinheiro, 16$000 e uma lavadeira, 10$000 a 20$000, mensaes. Os salarios sao pagos com regularidade.","Qualidades-Ha boas, regulares e inferiores; unas arenosas, cttras argillosas, mas en sua maioria, misturadas. Sao ora planas, ora accidentadas e en grande parte séccas e pedregosas. A vegetacao é representada por mattas virgens, capoeiras, cerrados, carrascaes e_canpos. Precos- Uum hectare de terra boa, custa de 1$000 a 1$200",O transporte é feito pelos proprios productores.
