municipio,juros,salarios,terras,transporte
Abaeté,,"Una costura punha goSooo mensuts;: Wn lavacleira 308000 mensaeas uu carpinteiro 54000 dintios: Hho ha informações sobre o gunho dos administradores € esenvace de fazendai 6 salario do trabalhador rural, segu colone ou camarada «de 25000 d jSoro! são pagos e os contracts cumpridos, = bows, regulares é ivferiares | argillosas; ha tamento geralmente são plumas; » UPenOosas, misturacdis, podregosits, acres @ pintunoasas nas Tocantins. A vegetação é representada por malas sa pu, act, ete, dinrios. ()s sulirias",Qual dude — () municipio possue,"Pagam por transporte fluvial até Belém, 40 réis por kilo de qualquer mercadoria."
Acará,"A taxa ede+o aao anno. Ignorase quaca tenlum sido as.colheitas de agoge191,sendo MADERASdele-Acap.assanndubapejuisapucaia,ucuba,cte difhicil obter hnfermacoea respeito","macozihciganha 3$000m0nssa1avad01va3000 suidco omais iportnte ensasum carpinteiro 5Sooodiariosmno hacinforagoessobrc H Debideu-Communa o ganho dosaduinistradores ecserivaes defazctdao salario L Deequideoh-Comnuns, do trabalhdor rura.scja coloncou caardade sooo soo De ovidcoaComunh dinrios.Csslariossaopagoa cow.contractoscumpricos,","QualdadeOmunicpiapossueterrasbaas,regulares e inferiares Productos-Carne,coura c criasaendoacarne opreucto mais geralmentesaoplauass predominandoas argillosasy ha tambem procuradla, terrnaarenosas.misturadaspedregosats seccats e pantanasas nas Custocdoa es-Cawallo desellade carga.buresellae de jihasorioTocantins.A vegetucao ci representadapormaltas cagta de200o02ofcemaiscadamahn virgens,capociras..cerrado.carrascaes c campos ammedeadoboi carreirocusta.deacxo2oSc de Preeos-Ax terras saovendidis conforme ntadella do rcgulamento cortenhatour.ut deLsosoon2scsoo vaccaleitera doEstadu produzindo,m media,de dois a tress litros de leitepor dia custa",Pagam por transparte floviad.ateBelm4orepoikilo de deiso80 2s000 litrodeleite cutatf0. qualquewmerwndorin Carnes c toucinho-O kilode carne dewacea.paco on cnrneito custa $300.Okilo de toncinhocustaooo
Afuá,"Naahaemprcatios CANNA.de assucarSeusproductos Um kilode assucar cnsta6oo reis MADElRASdclei-Acau,massarauduba.pao rosa,matamata,ctc o litrode agunrdentcsooo,nno ha rapaduras MlNAs-Nao ha. COOPFRATIVAS-Naoha","Tralalhadorrural ganha de 3Sooo n-j$000 por dia cozinhero ESTRDAS epontesNao ha.A communicachc e feita pelosriosHa trilhos 4Soa5mensacslavadeis,de30so0o4oenss ouveredasehaamais carpteiro,dcSSoooa7Sooo.dnriosnao haadministradorcsnem EXPORTACAO e importacnoExportahorrachaimporta quasitodos os escrivaesde fazenda.Os salarics sno pagos cos.contractos cunpridos.","Qualidades-Metade.talvez.boasc o resto regulares cinferiores FsCOL.AS-Haum grapoxescolar na sede ealgumasescolas isoladas. Eim sua maioria atgillosas, havendo comtndo algumas arenosas c FABRICAS-Noha. misturadasno geral planas,muito pouco pedregosas.Awegetaqao HAHITACOFS--Poucosalubres, erepresentada.por cxccllentes mattas e cajociras,c tambem por INSTRUMENTOSagricolasFoices,1achados.tereadosoufacoes cerrados e.campos.senpre verdes.","JUROSA taxa usualcdetannuaes.havendo poncns.transnccoes. PrecosOpreco dastertas e muito variavele baixo. MADF11A$de1e1-Aeapu.massaranduba.pequia.paoferto.pao roxolouro cedro,pao amarello,bacury,ctc. em montarias ou canoasclanchas.para a capital do Estado MiNAS-Naoha. MoLESFLASda populacao-Febrespalustres eberi-beri Epragasdas plantascultivadasNno ha -6="
Alemquér,"Naohaemprestimos. MADElkAS de leiJacaranda,macacuhuba.muirapixunacte","Otrabalhador 1u1a1ganha3$000d1a110s00021nhe110,40$000 deassucar.eaguardente mensacsalavadeira,3oso0o mensacso earpinteiro.10$000d1a ACUASsupcrficiaes-Rios Curua,Itacaraca caParana dAlemquer.todos rios,nao la adininistradores nemeescrivaes de fazenda Ossalarios permanentes,assimcomo as lagoas Grande eMacurn. sao pagos.@oscontractos cumpridos.","-QualidadesBoasregulareseinferiores.No geral argillosas pinhciros,nangueiras.cteSendo as mclhoresfructas aslaranjas Todoo mmicijio &mais ou menos planocom muitos pantanos sapotis,abacatcscabacaxis. Avegetaeaoerepresentada.por mmitasmattaswirgens.poucas ALIMENTACAQ dapopulacaoAalinentacaoprineipal c opeixo capoeirasecampos; Precos-Variamuitooprccodasterras CAMPOSc pastos-Tem boaquantidadede caposonde desenvolve-semuito","Nao haproductos agricolas a transportar.O kilo de borracha bem.os capims taripucucanarana e perymcmbeca,ctcNao ha pagaateBelémtoo.reis camposherwados. CULURAS.Cultivan mandioca.milho.fejao.batatas,ctc.scndo ascultu"
Almerim,"A taxa usual cdetoa1annuaes,havendopoucastransaccoes, propriamente ditos. Os extractores de borracha pagam o imposto","SALAR10S- trabalhador rural ganha 3ooo diarioso cozinheiro,70$000 CEREAPScte.Naoha mensaesas1avade11as50$000mensaes00a1p1nte110,B$000 CANNA deassuearSeus prodnctosUm ilo de assucar tusta 7ooreisum diariosnao haadministradores nem cserivaes dcfazenda.Ossala- litro de aguardente.+$s00.Nao ha rapaduras. rios sao pagos cos contractos cumpridos.","S QualidadesBboaamaiorpartedasterrasdomunicipio CALOR e frio-calorcomeqacmjulho c o tempo mais fresco cmlaneiro regularespoueas,einferiores.cm quantidadeaindamenor CHUVASComecam cmJanciro e vao ate Junho. Sao argillosas,asdo interior do municipio.o restoe arenoso. CONDICOESde sandeda populacao-Precarias Avegetacao e representada por algumas mattas virgens.capoeiras CONTABILIDADE-N5oha. ecampos. CRlACAO do municipio-Existemalguns bovideos c poucoscquideose suidcos. Precos-Varia muito.Uma cstrada com 1oo pes deseringuciras Custo dosanimacs-Um cavallode se11a0ustade50$000a 500$000 custa de 5oosoco a1 000$000.nao se levando cm contaaarea que naoha burros de scllanem dc carga nem arado c nem bois ellasoccupa. carreiros um boi de cortecusta zoosooonaoha tourosnem RANPORTE-- cxportacao de cada kilode cacaouborrachapaga de vaccns:leiteiras..","feitopelosrios2ooreis. Carnes etoucinho- kilode carne de vacca.porco ou carneiro custa de 1$200 1$s00 kilo de toucinho.2ooo Mantcigaequeijo-Naoha .I AvesUmaga111nha0usta5$000umadua1a de ovos.1$200 Molestias-Comniuns, CUSOdos tecidosOmetrode tecido ariade $000 a 2$000 ESTRADAS cpontes--Nho ha estradas de ferronemde rodagemhaveredas e trilhos.A communicagao e feita pelos rios EXPORTACAOcimportacao-Exportacacaoborracha e castanhaimporta arroz,milho.cafe.carne,toucinho,cto FSCOLASHauma.municipal FABRICAS=-Naoha"
Anajás,"A taxa usualdeijanntuaes.havendopoucas transaccoes. MADEASde leiPaoamarcllo,pao xiuba,paa santo,acapu,cedro.louro, Amaior qucixa-Naoha queixa. pequa,pao roxo,mirapanima,etc. EstrangeirosNaola, MNASNaoha","© trabalhador rural ganha 45000 diarios; o cosinheiro, 503000 mensaes; a lavadeira, 30S000 mensaes; O carpinteiro, rosooo diarios. Não ha administradores nem escrivães de fazenda. Os salarios são pagos € os contractos cumpridos.","! Oualidades-Haboasregularescinferiorespartedcilassao CALOR efrioO calor comecacm Julhoco tempoiresco c.Janeiro argillosas c parte arenosas.Todo o municipio e inais ou menos CHUVASComecamemlanciro cvaoateJunho. plano,tendomuitos pantanosvegetacaoe representada por CONDICOES desaude da populacno-Saofracos muitamattavirgem.capociras,cerrados c capos CONTABILIDADEN5o ha FrecosVaria o preco do hectare de terra segndo o uumero de CRLACAOdomunicipio-Nao hacriacaonomunicipio seringacsSoosooo a1:000$000p01 estradace1oopes. Custodosanimaes-Um caallodesclla.ou-de cargacusta3oosooo","Pelo transporte fluvialaborracha paga1oo reis por kiloate nao ha burros.de sclla,nem decarga.nemanimaesde arado on Belem. bois carreirosum boi de corte custa Iyosooonao ha touros nem"
Aveiros,"Naoharestamstas. MADElRASdelei-Itauba,piquia.cedro.acapu,paod'arco.paoamarelio, CANNAde assucar-Scus productos-Nao produz assucar nemrapaduras; massaranduba.etc. a pequena quantidade de aguardente queapparece e vendida a MlNAS-Dizem hayer minasdecarvaonoalto.Cupary. 1$000.01i1r0,","Trabalhador rural, de 280003 47000 arias ; cosinhei Ç de 358000 à 508000 mensães , Javadeira, ile 405000 it SO$000 aa “sp carpinteiro, de 08000 à pOSO0O CLTIOSs não ha administradores nem escrivães de fazenda. Os","Qualidades — No geral boas; argillosas, A margem dos rios; arenosas, campos altos, Ha terrenos planos ¢ representada por muita matta virgem, 4 ce campos. Pregos = Uma estradi | % 1000000.","O preço de transporte part 0 mercado local varia segundo, a distancia: de transporte fluvial para ontros mercados Vat Navegação, 7 nos terrenos de aluviãos no imterior, sobretudo em alguns ea Eri, montanhosos. À vegelação 6 Igumas cupociras, cora idos 1 Got, TOO pes de seringileiras custa cle 5005000. conforme dis tabelas dl Empreza de ===== PAGE 17 ===== Bagre"
Bagre,,"Trabalhador rural ganha 38000 diarios; cozinheiro, Gogooo! mensaes; lavadeiras, gsSoco mensacs; carpinteiro, 75000 diarioss, não ha",Qualitlades — Em consequencia dos terrenos alagados ou imundados não ha,"Não se pode calcular. devido a variedade de preços, mas: não é barato. nportado. sobre agua, cm esteios terçados ou facades, vão havendo quas! transacções) não amarelo, ete"
Baião,Não ha emprestimos. [,"T1aba1had011u1a1ganha3S000d1a110s0021nhe11060$000 aguardente. mensaeslavadeiras.45socomensacscarpiteiro.75ooodiarios COOPERATIVAS-Nhoha nao ha terras boas.propriamenteditas.masregulares c muitas CALOR e frioO calor comccacm Julho c termina cm Dezembro.tempo infcriores, cm sua maioria argillosas c planas.A vegctacao aeha-se fresco em laneiro c termina em Julho cnattasecapociras. CHUVAS-Comecam em Janciro e acabam emJullio","Y Qualidades=Em conscqucncia dos terrenos alagados ouinundados CONDICOESdesaudedapopulacaoFortes. nao haterras boas.propriamenteditas,no.mumicipio.mas regulares CONTABILIDADE-Naoha. c mnitasinferiores.em sua maiarinargillosas e planas,Avegetacao CRlACAO do umicipio-Bovideos.cquideos.ovidcoscsuideos sendo os bovi acha-scemmattas.ccapoeiras. deos osmaisimportantes PregosA comprade uma cstradadeuoo pesdescringueiras custa Debovidcos-Turina e communs. de 5ooscoo a.goo,variando com opreco da borracha a Deequdeos-Ccarenses e Baionenses.","Nao se pode aleular.devidoavariedadedeprecos,mas De.ovidcosCommuns. naonebarato. De-suidcas-Conumus,"
Belém,"Naohaenprestimos nnngucras,abricoseiros,abacaxiseiros,banaciras,ctc.asmelhorcs","Um cosinheirooulavadcira.6osooomensacsumcarpintciro, Omereado compradore o de Belem,havendo feira scmanal cim","Qualidades-@mmicipiopossueterrasboas.regularese inferiores de500600 mmaiorparteplamas,predominandoasargillosas.existindo COOPERATIVAS--NAoHa tambem terras arenosas.mstuadaspedregorase pantanosas nas CALoR .c frio- empo mais quentc comeqa cm Julho cotempo mais ilhasdo rio TocantinsAvegetagao e tepresentda por nattas fresctemMaio. virgens,capociras..cerrados.carrascaesc.campos. ClUVAs-Aepoca chuvosa e de Janeiro a Julho e e chamada inwermo cm Precoa-Variamconformeaaualidadeun hcctaredeterrade todoo nortedoBrazil partiularcsvendido de 6$000a1$o0doEstado.de1$00 CONDICOES de saude da populacao-Geralmente fortes,salvo em algumas ilhas.iondeshodoentios TRANSPOKTE=Qtransportede cereaes para o mercado localfaito pelos CoNTABlLlDADE-Algunspelossstema commnm. propriosagricultores.Pagam de frete para a Capitalpor kilode CRlACAOdo municipioBovideos.suidcos.ovidcoseaves.As criacoes de cacau,Go reis de horracha,So rcispor alqucirc de farinha bovidcos,suideos e de aves sao ns mais importantes. 1000, De bovideas-Portuguczes.hollandezes,zcbusenacionaes -23= NUCLEOS caloniaes-Existem na regiaoda estrada de fcrrode Bragana Aiuazonas. OPEROSIDADEda populacao-Gentclaboriosa DeoyideosNacionacs. PADROESdeterrasboasCedro,massaranduba.tatajula,angelim,jutahy.ete Desuideos-Nacionacs. De tcrras infcriores--Tucuman,assahy,avencas.palmeiras,marajaa.ctc Productos-Carnecouros.leitc,chifres,cte,todosmuito procurados. PORToS-Belem.Pinhciro.Mosgueiro e outros nos rias navegaveis Custo dos animnes-Cavallode sella,de300$00 a 60oso0ode carga SEMENTES-Ha pouco.cuidado. de 150$00250S0001u110de sla.dc400socoa 700$000de SEMEADURA-Telosprocessos.commun.delanciroaAbril cargade 250$000 a3sosdearado,25so00boi carreiro,de SYSTEMdetrabalhodopessoalagricola-Diariasmensalidadese 20$0030s000d001t0.scgundo.pcz.de10a250$00 cmpreitadas. touro.bom,de 2osco a 3oosoovacca leiteiraptoduindo cn SALARloS-Trabalhadorrural,de3$a00a5S000d1at10sadm1n1st1ad01 mediatresa seis liros deleic2oosooowaccastacionaese dc fazenda.de 1oosc a 25oso0omcnsacs cscrivaes de fazenda estrangeiras.de 3ocfoo a scosooo,cxcepto zcbn.Um litro de a0ha0a1p1nt0110deSs000a15$000d1a110s0021nhe110,de leite custa de40o a 60o res no interio,c Soo reis e Bclan. 4s00a200s000mensa0s1avade11ad040000a100$000 Carnes ctoncinho-kilo decarnede waeea 0usta1$s00ep0100, mcnsacs.Os salariossao.paos cosconitraetos cumpridos Ssoodecanciro.ooodetocinho.sso. QualidadesOuast eadeboasnasTegiaesdo Ctama.illas ManteigaqucijoNioiazenparancgocio. littoral do Gajararegularesnas mesms proporces.as proxi A5=Umaga111nhade4$00a scooaduzia devosde1Ssoo midades cas fontes e da cstrada de ferro de Braganea e inferiores, 254c0. cpeguenaqunntidadenoslogare seceosargillosns e atenoaas Malestias-Dlarrhea.ncs bezerrosprincipalnentetratadajela cm jartes maisou menos eguaetnisturadasmuito menowgeral- meoscommuns. mentenanasseceas,havendopoucospantanoseterrenos CUSTOdostecidosCommuns.nacionacsde40o rcisaIsooo o metro pedregosos.vegetacao representadapor mattasvirgens,na cstrangciros.de oo res.aoo. maior parte.capoeiras.emnenorparte eo restopelos cerrados PTRADAS.e pontesA cstrada dc ferrode Braganca eestradasale rodagem wamposartificiaes.cupastoanaoha carrascacs planasebem.conservadas.paraascolanas.Hapontesbem Precos-Lmhectarcdeterra boacustadcooo a2gcoo. conservadns:",Otransporte para omercadolocalvariadeseisa1o reis ENPORfACAOcinportncaoExportaborrachaaguardenteefarinhade por litroou kilo de cereal e cincon 1s reis en estrada de fcrro andioeaamporiatecidos.ferragensgenerosalinntieioste psCoLASMuitasprimariasalgumassecundariasduas superiores(dircito
