municipio,juros,salarios,terras,transporte
Ararangua,A taxa de 8% ao anno.,"Trabalhador rural, de 22$000 a 3$000 diarios; nao ha administra dores nen cscrivaes de fazenda; carpinteiro,de 5$000 a 6$000 diarios;.cozinheira,10$000 a 18$000 mensaes. Os contractos sao cumpridos e os salarios.sao pagos.","Qualidades - Em sua maioria boas,havendo algumas regulares e inferiores. Ha argillosas,arenosas c misturadas.A vegetacao é representada por muitas mattas virgens,mais de metade do muni- cipio talvez, algumas capoeiras, campos c culturas. Precos--Um hectare de terra boa póde custar de 15$000 a 30$000, nais_ou_menos","Para Garopaba, uma arroba de cereaes, em carro de boi, paga 40o réis e mais 20o réis.até o porto da Laguna."
Biguassu,Nao ha taxa fixa.,"$-Trabalhador rural, 1$500 a 2$000 por dia; administradores de fazenda c escrivaes, nao haj um carpinteiro, 4$000 a 6$000 diarios; lavadeira, 8$000 a 10$000 mensaes; cozinheira, 15$000 a 20$000 mensaes; as salarios sao pagos e os contractos cumpridos.",,
Blumenau,,"Trabalhador rural,1$500 a 2$500 cozinheira ou lavadeira,15$000 a 30$000, mensaes; carpinteiro,6$000 a 7$000,diarios; adminis- trador de fazenda, 100$000 a 150$000 nensaes; nao ha escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades--Sao na maioria boas, montanhosas e silico-argillosas. A vegetaqa érepresentada por grandes nattas,talvez,5o do nmunicipio, capoeiras e pastos,nao existindo cerradcs, carrascaes nemcampos. ""Precos-O hectare de terra böa, custa de 10$000 a 30$000, mais ou menos.","Para o mercado local,paga-se 2o reis por kilo, transporte feito em carretas; para Itajahy, via.fluvial, en pequenos vapores ou barcos, 15 réis pcr kilo."
Brusque,,"Trabalhador rural, 2$000. diarios (sem alimentacao) ; cozinheiro, 40$000 mensaes; lavadeira, 25$000 mensacs;carpinteiro, 3$000 a 4$000 diarios. Nao ha administradores nem escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades --As terras do municipio nc geral sao boas, existindo tambem regulares e inferiores, em menor quantidade. Em sua maioria misturadas, argillosas e arenosas em alguns terrenos as margens dos rios e pantanosas as das baixadas. A vegetacao é representada por algumas mattas virgens, capoeiras e campos arti- ficiaes ou pastos. Nao ha cerrados nem carrascaes. Precos -- O preco de um hectare de terra boa, varia de 20$000 a 100S000.","Por via fluvial até Itajahy, os cercaes pagam cinco réis por litro. Em carretas o preco é o mesmo."
Camburiu,A taxa é de 12% ao anno.,"Trabalhador rural, de 22$000 a 3$000 por dia; lavadeira ou cozinheira, de 15$000 a 30$000 mensaes; carpinteiro, de 5$000 a 7$000 diarios; administrador de fazenda, de 150$000 a 200$000 mensaes;.nao ha escrivaes de fazenda. Os salarios sao pagos e os","Qualidades-As terras do municipio sao na maioria boas e regulares, sillico-argillosas e montanhosas, existindo terrenos planos, pedregosos e seccos.A vegetacao é representada por mattas, capoeiras,cerrados e pastos. Precos--O hectare de terra custa de 20$000 a 40$000.","Para o mercado localpaga-se de 4oo a 6oo reis por sacco de 8o litros; para Itajahy e Florianopolis, por via maritima, de 5oo a 8oo réis por sacco, e por tropas ou carretas, 1$000 por 15.kilogrammas."
Campo Alegre,A taxa de 12% ao anno.,"Trabalhador rural 3$000 diarios; cozinheira ou lavadeira,25$000 mensaes; carpinteiro,5$000 a 6$000 diarios.Nao ha administrador nem escrivao de fazenda. Os salarios sao pagcs e os contractos cumpridos.","Qualidades-Em sua maioria boas,havendo algumas regulares inferiores;metade talvez, planas. Na maior parte misturadas, havendo algunas argillosas e arenosas. A vegetacao é representada por mattas virgens, algumas capociras e campos; nao ha cerrados nemcarrascaes. Precos-Um hectare dc terra boa custa mais ou menos,80$000 a 150$000; ccm hervaes,300$000 a 400$000.","O transporte de cereal,para Joinvillc, custa 4oo réis por arroba,e para a Estagao da Estrada de Ferro,cerca de 15o réis"
Campos Novos,12% por cento ao anno.,"Trabalhador rural 2$000 a 3$000 por dia; carpinteiro, 6$000 a 7$000 diarios; cozinheiro,15$000 a 20$000 mensaes;nao ha admi- nistradores nen escrivaes de fazenda. Os salarios sao pagos e os","Qualidades -- Sao boas em pequena parte; regulares em parte maior e inferiores em sua maioria. Sao argillosas no geral;areno- sas em pequena parte e misturadas em parte ainda menor. Nao ha propriamente montanhas a nao ser nas margens do Canoas e do Pelotas. A naioria das terras é enxuta e se ha pantanos,sao raros e nas margens de alguns rios. Ha poucas nattas virgens e estas estao chcias de pinheiraes e fachinaes.Ha poucas capoeiras,nao ha ccrrados nem carrascaes. Existem poucos campos. Os fachi. naes sao representados por vegetacao fechada, de quatro a seis metros de altura, constituida por imbuias, araucarias, tuquarys, chacins e herva matte, ctc., apparecendo en terras geralmente inferiores. Precos -U hectare de terra boa custa 20$000 a 50$000,mais ou menos.","Para a capital pagam 20$000 a 25$000 por cargueiro de cinco arrobas; para a cstacao da estrada de ferro, 5$000 por cargueiro."
Canoinhas,A taxa usual.de 12% annuaes.,"Trabalhador rural, de 4$000 a 4$500. diarios; cozinheiro, de nem escrivaes de fazenda. Os salarios sao pagos e os contractos","Qualidades - Metade. talvez böas c as restantes sao entre regulares e inferiores. Ha poucas argillosas e muitas arenosas e misturadas. Mais planas do que montanhosas. A vegetacao é representada por e cultivados. Precos-Um hcctare de terra böa custa de 5$000 a 40$000, mais ou_neios.","Pelo rio Negro, em canoas ou barcacas até a cidade de . Canoinhas, séde deste municipio pagam 4oo réis por arroba, e por carrocas até Tres Barras,15$000."
Curitybanos,Os agricultores geramente pagam aos prestanistas o juro de 12% ao anno.,"Trabalhador rural, 1$500 a 2$000 diarios; cozinheiro ou uma lavadeira, 20$000 a 30$000 nensaes; carpinteiro, 5$000 a 6$000 diarios; administrador de fazenda, 150$000 a 2$000 mensaes; nao la escrivaes de.fazenda.","Qualidades - Sao regulares, na maior parte; b&as e inferiores, em pequenas partes. O municipio uma regiao de canpos nativos e fachinaes ; existem, porém, algunas capoeiras nas terras de cultura e algumas mattas virgens; rarancnte se encontra um cerrado ou carrascal. Precos -- Um hectare dc tcrra boa custa 10$000 a 20$000, mais ou nenos.","As mercadorias pagam em cargueiro o frete de 2$000.a 3$000 por uma arroba, sendo o transporte todo feito em muares."
Florianopolis,Nao ha emprestimos.,"Trabalhador rural 1$500 a 2$000 por dia; nao ha administrador nem escrivac de fazenda; carpinteiro, 4$000 a 6$000 por.dia; cozinheira, 15$000 a 20$000 mensaes; lavadeira, 12$000 a 15$600 mensaes. Os.salarios sao pagos e os. contractos.cumpridos.","Qualidades-No geral, boas, havendo regulares c inferiores;.ora sao arenosas, ora misturadas, ora argillosas. Ha planas e monta nhosas. A vegetacao e representada pcr nattas virgens, capoeiras, cerrados,carrascaes c campos. Precos---Um hectare de terra, póde custar, approximadamente, de 30$000 a 60$000.","Para o mrcado localpagam de transporte,por sacco de 1oo litros de creaes, 30o a 4oo reis.Enm tropas, carros e pequenas eubarcacöes fluviaes, pagam 4oo a 5oo réis, por sacco de dois alqueires e tres arrobas."
Garopaba,A taxa de 12% ao anno.,"Trabalhador rural,1$000 a secconao ha administradores nem escrivaes de fazenda;carpinteiro,4$000 diarios; cozinleira,.de 10$000 a 20$000 mensaes;lavadeira,de 5$000 a 10$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades -Em sua maioria boas, havendo regulares e inferiores; mais arenosas e misturadas do .que argiliosas; mais montanhosas do que planas. A vegetacao é representada por muitas mattas virgens que occupam mais de netade da area do municipio, por capoeiras e alguns cerrados e campos. Precos-Um hectare de terra pode custar.de 50$000.a 60$000,mais ounenos. custa I1 réis por kilo.",
Imaruhy,"A taxa de 12% ao anno.,","Trabalhador rural, 1$000 diarios, com comida; nao ha adninis tradores nem cscrivacs de fazenda; carpinteiro, 4$000 diarios; cozinheiros, 10$00 a 20$000 mensaes; lavadeira, 5$000 a 10$000 mensaes. Os salarios sao pagos e os contractos cumpridc.s.","Qualidades-Na maior parte, boas, algumas regulares; geralmente misturadas e montanhosas. A vegetacao é representada por muitas mattas e capoeiras, e poucos cerrados, carrascaes e cainpos.",
Itajahy,A taxa de 12% annuaes.,,"AGRICULFORES-Condicoes cconomicas,regulares. Impostos-Os criadores e agricultores pagam o imposto de capital, além do de vehicuic de propriedade particular, e o de conservacao das estradas, na parte em que estas passam pelas suas terras. A maior queixa --Os agricultores e criadöres queixam-se da falta de ummercado consumidor.: Estrangeiros--Ha muito poucos; usam de processos, culturaes conmuns, e estao em regulares condicoes econonicas. outros cursos d'agua de menor importancia. ARVORES fructiféras--Laranjeiras, coqueiros, abacateiros, limoeiros e cajus,abacates e limas. ALIMENTACAO da populacao -- Regular. CAMPOS e pastos - Nao ha campos naturaes ; nos pastos ha a grama conmum, capim fino,etc. CULTURAS -- Milho, feijao, batata, fumo, mandioca, arroz, canna de assucar, etc.:igualmente importantes. COLHEITAS-Sao beneficiadas pelos processos primitivos e vendidas, parte beneficiada e partc em bruto. As dc 1gog, produziram cerca de 20.0oo saccos de milho e 25.ooo de arroz, as de 1gi0,foram identicas; a de café de 1910 foi a de 24.000 kilos. CEREAES,etc.-O custo de produccao de 3o reis por cada litro de cereal e o preco de venda e, em média, de 8o reis.sao mercados compradores o iocal, o de Blunenau e o de Joinville. Nao ha feiras. CANNA de assucar-Scus productos-Un kilo de assucar custa 1$500;um litro de aguardente, 240 a 40o réis. Nao fabricau rapaduras. COOPERATIVAS -- Ha uma sociedade, a Agorderia, em Luiz AIves, CALOR e frio-Ccaneca o calor em Outubro e o frio em Junho. CHUVAS-Commummente em Setembro e Dezembro. CONDICOES dc saude da populaqao -Boas. CONTABILIDADE-Nac ha. CRIACAO do municipio-Bovideos, equideos, ovideos c suideos, sendo mais importante asde suideos. De bovideos-Hollandezes cruzadcs com caraci. De equideos--Communs. De ovideos -Communs. De suideos--Canastrao mineiro c crioulos. Productos-Carne, couro, toucinho, banha, etc.; todos com boa procura. Custo dos animaes -Cavallc de sella, 200$000 a 300$000 e mais; de carga, 100$000 a 150$000; burro de sella, 250$000 e mais; nao ha aninal de arado; boi carreiro,150$000 a 180$000; de corte,90$000 a 120$000t0u10,300$000 a 400$000;vaccaleiteira,produzindo em média, quatro litros diarios, 130$000 a 200$000. CRIACAO --- Carnes e toucinho - Um kilo de carne de vacca, porco ou carneiro custa 500 a 700 reis kilo; de toucinho, 300 réis. Manteiga e queijo-Um kilo..de manteiga custa 2$000 a 2$800;de queijo,1$000. Aves--Uma gallinha custa 1$000.a $500; uma duzia de ovos, de 40o a 6oo réis. Molestias--Peste de cadeiras ou trypanosomose equina, mormo, gar- rotillo, etc. Empregam contra ellas fumigacoes, arsenico e remedios caseiros. CUSTO dos tecidos -Os communs, 50o réis a 1$000 o metro. ESTRADAS c pontes-Ha de rcidagem de Itajahy a Erusque,com 4o kilonetros; a de Luiz Alves com 6o kilometros,e a de Camboriu com 15 kilo- metros. Sao todas ben conscrvadas; ha grande nunero de pontes com boa_conservacao. EXPORTACAO e importacao-Exportam madeiras brutas,apparclhadas, assucar, farinha de mandioca, pclvilho, arroz, manteiga, queijo, etc. Inporta tecidos, ferragens, generos alimenticios, etc. ESCOLAS--Ha 29,cstadoaes e municipaesdois collegios dirigidos,um,pelos Irmaos da Providencia, e outro, por uma sociedadc allena. FABRICAS-Ha quatro, de cerveja; uma de manteiga e queijo e duas serrarias. FARINHA de mandioca e feijac-Um litro de farinha custa 240 a 30o réis; preco do feijao,évariavel. HYPOTHECAS-Nao ha. HABITACOES--Salubres INSTRUMENTOS agricolas-Enxadas,machados,foices c arados. JUROS-A taxa de12,annuaes. MADEIRAS de lei -Cedro, canella, imbuia, ipe, peroba, etc. MINAS--Dizem haver de ferro, c jazidas de cal. MOLESTIAS da populacao--Alén das communs,maleitas ou febres palustres nalguis lugares. E pragas das plantas cultivadas-Formigas. De quando em vez, gafanhotos, vindos da Argentina. NUCLEOS cdloniacs-A colonia Luiz Alves,de allemaes, italianos e russos. OPEROSIDADE da populacao--Laboriosa. PADRES de terras boas-Canella, cedro, jacaranda, cabiuna, gamelleira, jaborandy, peroba, arariba, etc. De terras inferiores-Taquary,leiteiro, navalha de mico,guara- pery,etc. PORfOS-O de Itajahy,.e outros menores. SEMENTES-Sao escolhidas sem cuidado. SEMEADURA -A lanco, em covas e a mao, semeiam de Junho a Setembro. e_neiacao. administrador de fazenda, 150$000 por mez; nao ha escrivac de fazenda. Os salarios sao pagos e os contractos cumpridos. em menor porcao. Ha muitas argillosas c arnosas, havendo mistu- radas em menor parte. Ha planas nas margens dos rios Itajahy-asst e Itajahy-mirim, algumas mcntanliosas e pedregosas, sao enxutas as do littoral e algumas pantanosas nas margens dos grandes rios. A vegetaqao é representada por mattas virgens e capoeiras. Nao ha cerrados, carrascacs e caumpos. Precos--Um hectare de terra bóa custa 10$000 a 30$00, mais ou menos.","Para o mercado local pagam 6 réis por kilo, em carretas; pelo ria pagam metade; cm cxportacao pagam por 6o kilos em carretas,1$000; em lanchas, saveiros ou vapor,&oo reis."
Jaguaruna,5% ao anno.,"Trabalhador rural,1$s00 diarios,a secco; cozinhcira,10$000 a 15$000 mensaes; lavadeira, 5$000 a 6$000 mensaes; carpinteiro, 4$000 diarios; nao ha administrador nen escrivao de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades--Na maior parte regulares, havendo algumas boas e regulares. A vegetacao é representada por muitas capoeiras, algumas mattas, campos e culturas. Precos-Um hectare de terra boa custa 20$000 a.40$000,mais ou_nmenos.","Pagam de transporte, por kilo de cereal, para o mercado, 5 réis, por litro."
Joinville,Nao ha taxa fixa.,"Trabalhadorrural,2$000 diarios; cozinheira,de15$000 a 25$000 mensaes; carpinteiro, de 5$000 a 7$000 diarios; lavadeira, de.1$00.-yooo mensaes ; nao ha administradores nem escrivaes","Qualidades - No geral boas e regulares e algumas inferiores; mais misturadas e.arenosas do que argillosas; as terras monta- nhosas sao geralmente as melhores. A vegetacao do municipio é representada por mattas virgens, principalmente nos districtos de Hansa e Jaragua e tambem por capoeiras, cerrados e carrascaes. Precos-O hectare de.terra boa en matta virgem custa de 20$000 a 30$000, mais ou menos. As terras desdobradas e cultivadas valem dc S0$000 a 100$000 o hectare. Terras desdobradas sao desbravadas, sem tocos.","Para omercado local ou estacao de embarquc,paga-se de 2oo a 3oo réis por sacca de productos agricolas ou outros."
Lages,A taxa de 12% ao anno.,"Trabalhador rural, de 1$500 a 2$000 diarios; cozinheira ou lavadeira, 25$000 mensaes ; carpinteiro, de 5$000 a 10$000 diarios; administrador de fazenda, de 150$000 a 200$000 mensaes; nao ha escrivaes de fazenda. Os salarios sao pagos c os contractos","Qualidades-En sua maioria boas; sao misturadas na parte sul de Caveiras c ua parte norte.. Sao onduladas nos campos, e montanlosas em alguns logares.Ha muitas terras pedregosas, sobre tudo na regiao sul de Caveiras.A. vegetacao é representada por muitos campos e algumas mattas virgens e capoeiras. Precos-O hectare de terra boa custa de 10$000 a 40$000,mais ou 11e11os.","Para o mercado local o frete é de 6o réis por litro. As mercadorias pagam em carretas, 16o réis por kilo e em cargueiro,14o réis."
Laguna,A taxa de.12% ao anno.,"Trabalhador rural, 22$000 a 3$000.diarios, a secco; nao ha admi nistradores nem escrivaes de fazenda carpinteiro,4$000 a 5$000 diarios; cozinheira, 20$000.a 30$000 mensaes; lavadeira, 8$000 a 10$000 mensaes..Os salarios sao pagos c os contractos cumpridos.","Qualidades --Em sua maioria ioas, havendo bastante regulares c infericres;hanontanhosas e planas; misturadas e arcnosas. A vegetacao é representada por.algumas mattas .virgens, muitos cerrados e alguns campos. conforme o logar. tonelada e por kilometro, 57 réis.",
