municipio,juros,salarios,terras,transporte
Annapolis (antigo Simao Dias),A taxa usual é de 1% a 2% ao mez.,"Cozinheira, ganha 8$000 a 10$000 mensaes; lavadeira, 8$000 a 10$000; carpinteiro, 2$000 a 2$500 diarios; feitor de fazenda, 25$000 a 30$000 mensaes; trabalhador rural, 1$000 diarios. Nao ha escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades -Ha boas, regulares e inferiores, cm partes mais cu menos iguaes; em sua naioria arenosas, planas e pedregosas. A vegetacao é representada por muitos campos e capoeiras, poucos .cerrados, e raras mattas virgens. Precos - Um hectare de terra boa custa 50$000, mais ou menos.",O preco dos transportes dlas mercadorias é muito variavel.
Aquidaban,1% ao mez.,"Um trabalhador rural ganha 1$000 a 1$500 diarios ; administrador de fazenda,800$000 annuaes;nao ha escrivao defazenda;um carpinteiro, 3$000 diarios; cozinheiro, 10$000 mensaes; lavadeira, 6$000. Os salarios sao pagos.","Qualidades - Em sua maioria inferiores ; arenosas; s&ccas e planas, havendo algumas argillosas e regulares, c poucas, boas e misturadas. A vegetacac é representada por nuitas capoeiras, alguns campos, carrascaes, cerrados e poucas mattas. (Vide nota). Precos-- Um hectare de terra boa, custa mais ou menos, 150$000.","Para o mercado local custa o transporte de um litro de cereal cerca de 4o réis; c para cxportaqao o transporte varia, conforme a distancia a percorrer. O transporte s6 se effectua em carros de bois, ou em costas de aninaes, por falta de outros meios de conduccao."
Aracaju,De 1% a 2% ao mez.,"Um trabalhador rural ganha 1$000 a 1$500, diarios. Nao ha administradores nem.escrivaes de.fazenda.Um carpinteiro, 4$000 diarios; cozinheiro, 15$000 mensaes; lavadeira, 15$000 mensaes. Os contractos sao cumpridos.","Qualidades-Em sua maioria arenosas e inferiores, havendo um bom numero de boas e regulares. Na maior parte planas e seccas. Nao ha mattas virgens; ha muitas capoeiras, cerrados e campos e poucos carrascaes. Precos - O preco das terras é excessivamente variavel e conforme o logar, a qualidade, etc.; assim, um hectare de terra custa de 10$000 a 1:000$000.","O transporte é feito pelo rio Cotinguiba e por tropas; o preco varia sobremodo, principalmente nas embarcacoes a vela, e canoas."
Araua,Taxa de um a dois por cento ao mez.,"Trabalhador rural, 1$000 a 1$200 por dia; feitor, 30$000 a 40$000 mensaes; nao ha escrivaes nem administradores de fazenda : carpinteiro, 2$000 a 2$500 por dia; cozinleiro ou lavadeira, 10$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades - Em .sua maioria boas, havendo talvez partes iguaes de regulares e inferiores. Ora sao argillosas, ora arenosas; mais planas que montanhosas c en alguns lugares pedregosas. Ha muitas capoeiras, alguns campos e poucas mattas, cerrados e car- rascaes naoha. Pecos -- Um hectare de terra boa póde custar de 10$000. a 30$000. de.bois, sendo o preco muito variavel.","Os transportes sao feitos por cavallos e burros e carros de bois, sendo o preco muito variavel."
Buquim,Pagam 1% a 2% ao mez.,"Um trabalhador rural ganha 1$000 diarios; um feitor de fazenda, 30$000 a. 40$000 por mez; nao ha escrivaes de fazenda; uin carpinteiro, 2$000 a 2$500 diarios; cozinheira. e lavadeira ganham 8$000 a 10$000 mensaes. Os salarios sao pagos e os contractcs cunpridos, pontualmente.","Qualidades-O,municipio tem algumas terras böas, regulares e muitas inferiores. Umas sao argillosas, outras misturadas; em sua maior. parte montanhosas, poucas planas e pedregosas. Sua vegetacao é representada por poucas mattas, muitas capceiras, poucos cerrados e muitos campos. Precos - Um hectare de terra boa custa 10$000 a 30$000, mais ou menos.","Os transportes sao feitos em costas de animaes, ou carros de bois, por estradas accidentadas, ora argillosas, ora arenosas, mal conservadas e sem pontes, pelo que, na estacao invernosa, isto é, das chuvas, difficultando sobremodo o transito dos vehiculos e tropas, o preco do transporte se eleva."
Campo do Britto,Um e meio a dois por cento ao mez.,"O trabalhador rural ganha 1$000 diarios; carpinteiro, 2$000.a $500 diarios; cozinheira .e lavadeira ganham de 8$000 a 10$0n0 mensacs. Nao ha adninistrador nem escrivao de fazenda; ha feitores pagos a 25$000 e 30$000 mensacs. Os salarios sao pagos.","Qualidades-Ha boas, regulares e infcriores, talvez em partes nais ou menos eguaes; em sua maioria sao arenosas e accidentadas. A vegetacao é representada por campos, capoeiras e algumas mattas. Prccos - Un hectare de terra böa custa de 10$000 a 30$006.",O preco dos transportes é variavel.
Campos,A taxa é de um a dois por cento ao mez.,"O trabalhador rural ganha 1$000 por dia; o carpinteiro, 2$000 a 2$500 diarios; o cozinheiro e a lavadeira, 8$000 a 10$000 mensaes; os salarios sao pagos e os contractos cumpridlos.","Qualidades - Em sua maioria inferiores, arenosas e planas, havendo em menor numero böas, regulares, argillosas e misturadas. A vegetacao é representada por muitas capoeiras, alguns cerrados e.campos. Precos - Um hectare de terra boa custa de 10$000 a 20$000, mais ou menos.",O preco do transporte varia com a distancia e o peso.
Capella,"A' taxa de 1% ao mez, e, as vezes, mais.","O trabalhador rural ganha de 1$000 a2$000 liarios un administrador de fazenda ganha 100$000 mensaes,nas uzinas; nao ha escrivao de fazenda; um carpinteiro, 3$000 diarios; cozinhera e lavadeira, 6$000 a 10$000 mensaes. Sao pagus os salarios.","Qualidades-Na maioria regulares, sendo poucas, as boas. Sao geralmente arenosas, poucas.as. argillosas; mais planas que monta- nhosas e um, tanto. pedregosas. Nao. ha mattas, existen muitas: .capoeiras e cerrados e poucos.carrascaes e campos. . Precos.- De 500$000 para mais custa.o. hectare de terra böa, preco este exigindo terra especial,.um conjuncto de circumstancias de nuito valor. agricola","Pagam 8 a 10 réis por litro, para Maroim. Um sacco de assucar paga 500 réis, sendo o sacco de 60 kilos. Esse transporte é feito em costas de burros, e, por maos caminhos."
Divina Pastora,A taxa e de 2% ao mez.,"Um trabalhador rural ganha 1$000 diarios; um administrador de fazenda,60$000 mensaes; nao ha escrivaes de fazenda; um car- pinteiro gauha 2$500 a 3$000 diarios; uma cozinheira,10$000 a 15$000 mensaes; uma lavadeira, 8$000 mensaes.Os salarios sao pagos e os conttactos cunpridos.","Qualidades - As terras do municipio sao em sua maioria boas e argillosas, havendo algumas arenosas e misturadas; parte é plana, parte levemente accidentada; pedregosas em poucos lugares e seccas em grande parte. A vegetacao é representada por muitas capoeiras e alguns campos; nao ha mattas-virgens, cerrados e carrascaes. Precos - Um hectare de terra boa custa 300$000.",O transporte dos productos agricolas é feito por animaes e carros de boi. Os precos variam extraordinariamente.
Dores,Taxa de 1% ao mez.,"Trabalhador rural ganha de 1$000 a 2$000 diarios; adninistrador de fazenda,de 40$000 a 50$000 mensaes;.nao ha escrivaes de fazenda; carpinteiro, de 2$000 a 4$000 diarios; cozinheiro, de 6$000 a :10$000 mensaes; lavadeira, 5$000 a 8$000 mensaes. Os salarios sao pagos.","Qualidades-Em sua maioria inferiores e regulares; sao mistu radas e planas, havendo grande parte de arenosas. Ha nuitos campos, algunias capoeiras e poucos carrascaes e cerrados. Precos -Um hectare de terra böa póde custar 150$0s0.","O preco de transporte é muito variavel, sendo feito por tropas e carros de bois."
