state;municipio;CUSTO_DOS_TECIDOS;JUROS;SALARIOS;TERRAS
AL;Agua Branca;É muito variável.;Não há empréstimos.;"Trabalhador rural, 18000 diarios; não ha administradores, nem escrivães de fazenda; carpinteiro, 38000 diarios; cosinheira, 88000 mensaes; lavadeira é paga por peça, à razão de 240 réis a duzia. Os salarios são pagos e os contractos cumpridos.";"Qualidades - As terras são bôas em sua maioria; as das serras são argillosas, desde o pé da serra até em cima; montanhosa só na parte serrana; o restante é plano. Há algumas terras pedregosas para o lado do rio S. Francisco, e em caminho para Piranhas, havendo também na catinga algumas arenosas, especialmente à margem das estradas de rodagem. Não ha mattas virgens, entretanto, encontram-se cerrados, e grande quantidade de capoeiras no caminho de Paulo Affonso, assim como alguns campos. "" Preços — Um hectare de terra, nas serras, custa 1008000."
AL;Alagões;Nacionaes, communs, 240 réis a 1$500 o metro.;Não é comum o emprestimo agrícola.;"O trabalhador rural ganha de 1$000 a 1$200 por dia; cosinheira de 8$000 a 12$000 mensais; lavadeira 200 réis por duzia de peças; carpinteiro 2$500 por dia; não ha escrivães nem administradores de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - As regiões banhadas pela lagoa Manguaba e pelo Oceano são planas e em grande parte baixas e sujeitas aos alagamentos nos invernos rigorosos; esses terrenos são na maioria arenosos e misturados; a parte central é, em algumas regiões, accidentada e os terrenos argillosos, misturados e geralmente bons e regulares. Existem alguns pantanos, principalmente à margem dos rios. São ainda abundantes as mattas existentes, muitas as capoeiras, cerrados e carrascaes e poucos os campos. Preços - E' muito variável."
AL;Anadia;E' muito variável.;A taxa é de 24 % ao ano.;"Trabalhador rural, 1$000 diários; não há administradores nem escrivães de fazenda; carpinteiro, 3$000 diários; cozinheira, 8$000 mensais; as lavadeiras são pagas por peça, à razão de 240 réis a duzia (sem sabão). Os salários são pagos e os contratos cumpridos.";"Qualidades - Há muitas bôas, regulares e algumas inferiores; muitas misturadas e argilhosas e algumas arenosas. Em sua maioria planas, havendo algumas montanhas e pedregosas. A vegetação é representada por muitas capoeiras, cerrados, campos e alguns carrascaes. H. 2 Preços - O hectare de terra boa custa, approximadamente, 28000, variando muito o preço conforme o logar."
AL;Atalaia;O preço varia conforme a qualidade.;A taxa é de 12 e 18% ao anno.;"Cotinheiras, de 6$000 a 12$000 mensais; as lavadeiras ganham por peça; carpinteiro, de 2$000 a 3$500 diários; administrador de fazenda, 50$000 mensais; não há escrivães de fazenda; nas uzinas há guarda-livros; o salário do trabalhador rural, seja colono ou camarada é de 700 réis a 1$000 diários. Os salários são pagos e os contratos cumpridos.";"Qualidades - No município predominam as terras bóas e regulares, havendo também inferiores; são argilosas e mais ou menos montanhosas e secas, existindo também arenosas, misturadas, pedregosas e pantanosas. A vegetação é representada por poucas matas virgens, algumas capoeiras e poucos cerrados e campos. Preços — Um hectare de terra boa custa approximadamente, 808000 a 1008000."
AL;Bello Monte;E' muito variavel.;24 % ao anno.;"Cozinheira, 6$000 a 8$000 mensas; carpinteiros, 2$000 por dia; trabalhador rural, 1$000 diarios; lavadeira, 160 réis pela duzia de peças de roupa lavada. Não ha escrivães, nem administradores de fazenda. Os salarios são pagos e os contractos cumpridos.";"Qualidades - No geral bóas e regulares, havendo poucas inferiores. Em grande parte pedegrosas; há boa parte de terras misturadas e algumas arenosas e argilosas. A vegetação é representada por muitas capoeiras e campos e alguns cerrados e carrascaes. Preços - Variam segundo a qualidade das terras."
AL;Coruripe;Variavel conforme a qualidade.;A taxa é de 18 a 24 % ao anno.;"Trabalhador rural, 700 réis a 18000 diários; administrador de fazenda, 500000 a 800000 annuães; não há escrivães de fazenda; carpinteiro, 28000 a 38000 diários; cozinheiro, 158000 a 208000 mensões; lavadeiras ganham por peça. Os salários são pagos e os contratos cumpridos.";"Bôas e argilhosas em sua maior parte; há algumas regulares e poucas inferiores. São arenosas nos taboleiros. A sua maior parte é plana e menor parte montanhosa. A vegetação é representada por poucas matas virgens, muitas capoeiras, cerrados, carrascaes e campos. Preços — Variáveis com os logares, quantidade e qualidade das terras."
AL;Euclydes Malta (actualmente Parahyba);Varia muito conforme a qualidade.;18% ao anno.;"Trabalhador rural 600 réis diários; não há cozinheiros; as lavadeiras cobram por peça; carpinteiro, 28000 a 38000 diários; administrador de fazenda, de 6008000 a 1:0008000 annuães; administrador de fazenda de criar ou vaqueiro, de 3608000 a 4808000 annuães, tendo mais 28000 na peça de cada rez, para o açougue; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";Qualidades - Em sua maioria regulares, argilosas ou misturadas e planas, havendo em menor número boas, inferiores e arenosas. A vegetação é representada por muitas matas virgens, e capoeiras, alguns cerrados, carrascaes e campos. Preços — Um hectare de terra boa custa de 808000 a 1008000, mais ou menos.
AL;Junqueiro;E' muito variável e depende da qualidade.;24% a 30 anos.;"Trabalhador rural, 800 réis a 1$000, por dia. Não há administradores de fazenda; estas são administradas por vaqueiros que têm interesse na produção do gado, representado por uma certa porcentagem ou percebem 25$000 mensais. Um carpinteiro, 2$000 a 3$000, por dia; cozinheira, 10$000 mensais; lavadeira, 8$000 mensais ou por peça. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras do município são de qualidades diversas. Em geral argilosas e boas e regulares nas encostas dos morros; arenosas e inferiores nos planaltos; grande parte do município é montanhoso na serra do Junqueiro e suas ramificações. Inferiores nos planaltos e chapadas. nos planaltos e chapadas. Há terras pedregosas; e misturadas em grande quantidade. Existem alguns campos. Há poucas matas virgens. Preços - Uma boa propriedade com meia legua quadrada, pôde-se adquirir com 20:000$000 ou 50:000$000, mais ou menos."
AL;Leopoldina;Variam de 300 réis a mais por metro.;A taxa mais geral é de 24 a 36% a 36 a 36% a 36 a 36%.;"Um trabalhador rural ganha de 800 réis a 1$000 por dia; cosinheiro, 12$000 mensais; lavadeira, 3$000; carpinteiro, 3$000 por dia; administrador de fazenda, de 60$000 a 100$000 mensais; não há escrivães de fazendas. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria são bôas e regulares, misturadas e geralmente montanhosas. Existem algumas mattas virgens, capoeiras, poucos cerrados e campos. "" Preços — E' muito variável o preço. (Vide a nota)."
AL;Limoeiro;Os preços dependem da qualidade do tecido.;A taxa é de 24 por cento ao anno.;"Trabalhador rural, 500 réis a 1$000 por dia; não ha administradores nem escrivães de fazenda; carpinteiro, 3$000 diários; cozinheira, 8$000 mensajes; as lavadeiras são pagas por peça à razão de 240 réis a duzia. Os salários são pagos e os contratos cumpridos.";"Qualidades - No geral bóas, havendo algumas inferiores; há argilhosas e muitas arenosas. Existem também muitas terras planas, algumas misturadas, montanhosas e pedregosas. Possue capoeiras, cerrados, carrascaes e campos. Não há mattas virgens nem pantanos. Preços — Um hectare de terra pôde custar 20$000 mais ou menos."
AL;Maceió;O preço dos tecidos varia conforme a qualidade.;A taxa é de 12 a 18% annígaes.;"Cozinheiro, 50$00 mensais; as lavadeiras ganham por dúzia de peças, raramente por mez (10$000); carpinteiro, 3$000 a 6$000 diários; administrador de fazenda, 50$00 mensais; não há escrivães de fazenda; o salário do trabalhador seja morador ou camarada é de 600 a 800 réis diários. Os salários são pagos e os contratos cumpridos.";"Qualidades - O município possui terras bôas, regulares e inferiores; mais ou menos planas e seccas; havendo também terras argillosas, arenosas, misturadas, pedregosas e pantanosas. A vegetação é representada por boas mattas, grandes capoeiras, cerrados e carrascaes. Preços - Um hectare de terra boa custa 50$000, approximadamente."
AL;Maragogy;Nacionaes, de 320 a 400 réis o metro.;A taxa mais comum é de 24% ao ano.;"Um trabalhador rural ganha 800 réis por dia; empregados domésticos, 10$000 mensais; carpinteiro, 3$000 por dia; administrador de fazenda, 60$000 mensais; não há escravos de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras são em grande parte bôas e regulares, silico-argilosas, principalmente para o centro do município. No litoral predominam as terras arenosas, que apezar disso são ferteis, produzindo bem, canha e cereais. Há muita terra montanhosa e alguma pantanosa. Existem muitas matas, capoeiras e cerrados; poucos carrascaes e campos. Preços - E’ muito variável o preço das terras."
AL;Muricy;"Varia com a qualidade; algodãozinho custa 160 a 900 réis o metro.";A taxa é de 12% a 18% ao ano, sendo esta última a mais usada.;"Trabalhador rural, 600 a 700 réis diários; administradores de fazenda, 50$000 a 100$000 mensais; escrivães de fazenda não há; carpinteiro, 2$000 a 3$500 diários; lavadeiras, 6$000 mensais ou por peça de roupa. Não há cosinheiros. Os salários são pagos e os contratos cumpridos.";"Qualidades - Ha no município, bôas, regulares e inferiores; ora argillosas, ora arenosas, ora misturadas. Em algumas partes são planas, em outras montanhosas; umas são seccas, outras pantanosas. Sua vegetação é representada por mattas virgens, capoeiras, cerrados e alguns campos. Não há carrascaes. Preço das terras é muito variável."
