source_image,bank_name,founding_year,balance_date,capital_raw,reserve_raw,raw_entry,municipality,state,parenthetical_raw,branch_location,notes
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Adamantina,Adamantina,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Bragança Paulista,Bragança Paulista,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Itu,Itu,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Palmital,Palmital,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Aerop. de Congonhas (Cap.),São Paulo,SP,Cap.,Aeroporto de Congonhas,Capital branch/location label
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Brás (Capital),São Paulo,SP,Capital,Brás,Capital branch/location label
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Ituverava,Ituverava,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Penápolis,Penápolis,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Santo Anastácio,Santo Anastácio,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Amparo,Amparo,SP,,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Brasília (DF.),Brasília,DF,DF.,,
banespa_1960.jpg,BANCO DO ESTADO DE SÃO PAULO S. A.,1909,31 DE JANEIRO DE 1961,,,Jaboticabal,Jaboticabal,SP,,,
