order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
3309,RESSAQUINHA,29,307,254,349,2 709,1 939,3 464,18 907,13 848,29 583,10 676,RESSAGUINHA,1,2,scan_verified_override,mistral_table,mistral_table,no
3310,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,22,212,184,256,1 717,1 373,1 150,2 142,979,8 345,6 203,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table,no
3311,METALURGICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),METALURGICA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3312,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3313,MOBILIARIO,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MOBILIÁRIO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3314,PRODUTOS ALIMENTARES,3,28,12,18,127,74,175,3 384,3 339,4 083,699,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
3315,RIACHO DOS MACHADOS,-,-,-,-,-,-,-,-,-,-,-,RIACHO DOS MACHADOS,1,2,ocr_exact,mistral_table,mistral_table,no
3316,RIBEIRÃO DAS NEVES,12,199,179,200,1 627,1 158,1 442,2 257,911,8 178,5 921,RIBEIRÃO DAS NEVES,1,2,ocr_exact,mistral_table,mistral_table,no
3317,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,9,164,146,164,1 541,1 125,(X),2 082,743,7 871,5 789,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table,no
3318,MOBILIARIO,1,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),MOBILIÁRIO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3319,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",1,(X),(X),(X),(X),(X),-,(X),(X),(X),(X),"VESTUÁRIO, CALCÁCIOS E ARTEPATOS DE TÉCIDOS",1,2,industry_lexicon,mistral_table,mistral_table_sequence_aligned,no
3320,PRODUTOS ALIMENTARES,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
3321,RIBEIRÃO VERMELHO,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),RIBEIRÃO VERMELHO,1,2,ocr_exact,mistral_table,mistral_table,no
3322,PRODUTOS ALIMENTARES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
3323,RIO ACIMA,6,314,266,302,3 743,2 278,4 973,5 658,4 233,15 684,10 026,RIO ACIMA,1,2,ocr_exact,mistral_table,mistral_table,no
3324,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3325,METALURGICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),METALURGICA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3326,MECANICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MECÁNICA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3327,QUIMICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),QUÍMICA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3328,PRODUTOS ALIMENTARES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3329,RIO CASCA,14,134,106,139,(X),(X),(X),(X),(X),(X),(X),RIO CASCA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3330,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),945,710,643,13 406,13 025,20 215,6 809,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3331,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3332,MOBILIARIO,4,8,(X),8,(X),(X),(X),(X),(X),(X),(X),MOBILIÁRIO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3333,PRODUTOS ALIMENTARES,7,90,74,95,(X),(X),16,119,105,261,142,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3334,EDITORIAL E GRAFICA,1,(X),-,(X),673,541,526,12 493,12 158,18 568,6 075,EDITORIAL E GRÁFICA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3335,RIO DOCE,5,10,(X),8,-,-,(X),(X),(X),(X),(X),RIO DOCE,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3336,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),-,(X),(X),(X),18,189,165,291,102,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3337,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3338,PRODUTOS ALIMENTARES,3,(X),3,(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3339,RIO DO PRADO,5,16,4,16,16,16,(X),(X),(X),(X),(X),RIO DO PRADO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3340,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,4,(X),4,(X),12,12,9,67,60,139,72,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3341,BEBIDAS,1,(X),-,(X),12,12,(X),(X),(X),(X),(X),BEBIDAS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3342,RIO ESPERA,5,11,4,11,-,-,(X),(X),(X),(X),(X),RIO ESPERA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3343,MADEIRA,1,(X),-,(X),32,26,19,708,685,781,73,MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3344,MOBILIARIO,1,(X),-,(X),(X),-,(X),(X),(X),(X),(X),MOBILIÁRIO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3345,PRODUTOS ALIMENTARES,3,(X),4,(X),-,-,(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3346,RIO MANSO,-,-,-,-,(X),26,(X),(X),(X),(X),(X),RIO MANSO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3347,RIO NOVO,25,110,46,108,-,-,-,-,-,-,-,RIO NOVO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3348,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,5,53,42,52,458,278,534,1 804,1 262,4 232,2 428,TRANSFORMAÇÃO DE PRODUTOS DE MINERAIS NÃO METÁLICOS,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3349,MATERIAL DE TRANSPORTE,1,(X),-,(X),288,255,367,535,30,1 788,1 253,MATERIAL DE TRANSPORTE,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3350,MADEIRA,1,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3351,MOBILIARIO,1,(X),-,(X),(X),(X),(X),(X),(X),(X),(X),MOBILIÁRIO,1,2,ocr_exact,mistral_table,mistral_table_sequence_aligned,no
3352,PRODUTOS FARMACEUTICOS E VETERINARIOS,1,(X),(X),(X),(X),-,(X),(X),(X),(X),(X),PRODUTOS PARMACEUTICOS E VETERINÁRIOS,1,2,industry_lexicon,mistral_table,mistral_table_sequence_aligned,no
3353,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"VESTUÁRIO, CALCÁCIOS E ARTEPATOS DE TÉCIDOS",1,2,industry_lexicon,mistral_table,mistral_table_sequence_aligned,no
3354,PRODUTOS ALIMENTARES,8,27,-,27,74,-,104,1 028,1 003,1 863,835,PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
3355,BEBIDAS,3,6,-,6,4,-,8,20,12,94,74,BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
3356,FUMO,1,(X),-,(X),(X),-,(X),(X),(X),(X),(X),FUMO,3,4,ocr_exact,mistral_table,mistral_table,no
3357,EDITORIAL E GRAFICA,2,(X),-,(X),-,-,(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,3,4,ocr_exact,mistral_table,mistral_table,no
3358,RIO PARANAIBA,3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),RIO PARAMAIDA,3,4,scan_verified_override,mistral_table,mistral_table,no
3359,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
3360,MADEIRA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,3,4,ocr_exact,mistral_table,mistral_table,no
3361,RIO PARDO DE MINAS,6,26,20,24,89,89,23,136,115,613,477,RIC PARDO DE MINAS,3,4,scan_verified_override,mistral_table,mistral_table,no
3362,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMACRO DE PRODUTOS DE MINERAIS NAO METALICOS,3,4,industry_lexicon,mistral_table,mistral_table,no
3363,"COUROS E PELES, ARTEFATOS PARA VIAGEM",1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"COUROS E PELES, ARTERATOS PARA VIAGEM",3,4,industry_lexicon,mistral_table,mistral_table,no
3364,BEBIDAS,4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
3365,RIO PIRACICABA,12,636,496,671,11 037,8 677,163 872,10 059,645,282 881,272 822,RIO PIRACICABA,3,4,ocr_exact,mistral_table,mistral_table,no
3366,EXTRACAO DE MINERAIS,3,593,471,625,10 600,8 285,163 694,9 427,59,280 907,271 480,EXTRACRO DE MINERAIS,3,4,industry_lexicon,mistral_table,mistral_table,no
3367,METALURGICA,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),METALURGICA,3,4,ocr_exact,mistral_table,mistral_table,no
3368,MECANICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MECANICA,3,4,ocr_exact,mistral_table,mistral_table,no
3369,MOBILIARIO,2,(X),-,(X),(X),-,(X),(X),(X),(X),(X),MORILIARES,3,4,scan_verified_override,mistral_table,mistral_table,no
3370,PRODUTOS ALIMENTARES,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS ALIMENTARES,3,4,ocr_exact,mistral_table,mistral_table,no
3371,BEBIDAS,2,(X),-,(X),-,-,(X),(X),(X),(X),(X),BEBIDAS,3,4,ocr_exact,mistral_table,mistral_table,no
3372,EDITORIAL E GRAFICA,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,3,4,ocr_exact,mistral_table,mistral_table,no
3373,RIO POMBA,29,125,74,121,724,479,845,13 113,12 814,15 864,2 751,RIO POMBA,3,4,ocr_exact,mistral_table,mistral_table,no
