order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
688,MATERIAL ELETRICO E DE COMUNICACOES,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL ELETRICO E DE COMUNICACOES,1,2,ocr_exact,mistral_table,mistral_table,no
689,MADEIRA,5,18,11,18,71,57,55,426,396,835,409,MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
690,MOBILIARIO,1,(X),-,(X),-,-,(X),(X),(X),(X),(X),MOBILIARIO,1,2,ocr_exact,mistral_table,mistral_table,no
691,QUIMICA,1,(X),-,(X),-,-,(X),-,-,(X),(X),QUÍMICA,1,2,ocr_exact,mistral_table,mistral_table,no
692,PRODUTOS ALIMENTARES,3,13,8,13,47,30,46,247,235,688,441,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
693,SUMIDOURO,7,23,14,25,118,92,94,3 398,3 342,4 271,873,SUMIDOURO,1,2,ocr_exact,mistral_table,mistral_table,no
694,MADEIRA,3,10,5,(X),(X),30,(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
695,PRODUTOS ALIMENTARES,3,13,9,13,79,62,78,3 337,3 283,4 126,789,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
696,BEBIDAS,1,-,-,(X),(X),-,(X),(X),(X),(X),(X),BEBIDAS,1,2,ocr_exact,mistral_table,mistral_table,no
697,TERESOPOLIS,125,2 501,2 096,2 467,35 258,26 935,36 327,151 838,133 700,295 654,143 816,TERESOPOLIS,1,2,ocr_exact,mistral_table,mistral_table,no
698,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,9,104,89,101,979,700,1 418,2 109,1 964,4 715,2 606,TRANSFORMACAO DE PRODUTOS DE MINERAIS NRO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
