order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
4543,SAO SIMAO,31,278,228,275,2 243,1 824,3 649,9 243,8 901,21 905,12 662,SRO SIMRO,1,2,scan_verified_override,mistral_table,mistral_table,no
4544,EXTRACAO DE MINERAIS,8,91,84,86,1 146,997,2 284,77,1,7 635,7 558,EXTRACAO DE MINERAIS,1,2,ocr_exact,mistral_table,mistral_table,no
4545,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,tesseract_review_verified_all_suppressed,no
4546,MADEIRA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MADEIRA,1,2,ocr_exact,mistral_table,mistral_table_anchor_aligned,no
4547,MOBILIARIO,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MOBILIARIO,1,2,ocr_exact,mistral_table,mistral_table_anchor_aligned,no
4548,QUIMICA,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),QUIMICA,1,2,ocr_exact,mistral_table,mistral_table_anchor_aligned,no
4549,PRODUTOS DE MATERIAS PLASTICAS,1,(X),-,(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIALO PLASTICAS,1,2,industry_lexicon,mistral_table,mistral_table_anchor_aligned,no
4550,TEXTIL,3,99,87,100,359,315,686,3 809,3 727,5 772,1 963,TEXTIL,1,2,ocr_exact,mistral_table,mistral_table,no
4551,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",1,2,ocr_exact,mistral_table,mistral_table_anchor_aligned,no
4552,PRODUTOS ALIMENTARES,9,37,25,37,395,261,367,901,766,1 916,1 015,PRODUTOS ALIMENTARES,1,2,ocr_exact,mistral_table,mistral_table,no
4553,BEBIDAS,1,(X),-,(X),(X),(X),(X),(X),(X),(X),(X),BEBIDAS,1,2,ocr_exact,mistral_table,mistral_table_anchor_aligned,no
4554,EDITORIAL E GRAFICA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),EDITORIAL E GRAFICA,1,2,ocr_exact,mistral_table,mistral_table,no
4555,SAO VICENTE,210,2 444,1 540,2 206,32 735,19 798,56 851,541 155,528 765,743 845,202 690,SRO VICENTE,1,2,scan_verified_override,mistral_table,mistral_table,no
4556,EXTRACAO DE MINERAIS,3,24,22,22,272,253,899,202,168,2 765,2 563,EXTRACAO DE MINERAIS,1,2,ocr_exact,mistral_table,mistral_table,no
4557,TRANSFORMACAO DE PRODUTOS DE MINERAIS NAO METALICOS,35,769,580,739,14 243,9 923,23 682,51 742,44 872,126 390,74 648,TRANSFORMACAO DE PRODUTOS DE MINERAIS NFO METALICOS,1,2,industry_lexicon,mistral_table,mistral_table,no
4558,METALURGICA,9,61,41,50,620,455,505,2 885,2 784,4 401,1 516,METALURGICA,1,2,ocr_exact,mistral_table,mistral_table,no
4559,MECANICA,4,65,53,62,1 287,1 036,1 171,2 181,2 136,5 643,3 462,MECANICA,1,2,ocr_exact,mistral_table,mistral_table,no
4560,MATERIAL ELETRICO E DE COMUNICACOES,1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),MATERIAL ELETRICO E DE COMUNICADDES,1,2,industry_lexicon,mistral_table,mistral_table_anchor_aligned,no
4561,MADEIRA,13,90,63,83,1 031,695,860,3 392,3 340,6 555,3 163,MADEIRA,1,2,ocr_exact,mistral_table,mistral_table,no
