entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,gross_production_value_1985_million_cruzeiros,gross_production_value_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
BRASIL,207 157,"100,0",5 608 704,"100,0",96 445 248,"100,0",1 132 811 769,"100,0",1,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,66 904,"32,3",2 752 062,"45,1",57 750 424,"59,9",530 834 850,"46,9",1,mistral_table,no
DEMAIS MUNICIPIOS,140 253,"67,7",2 856 622,"50,9",38 698 824,"40,1",601 976 919,"53,1",1,mistral_table,no
REGIÃO NORTE,7 991,"100,0",145 620,"100,0",1 787 553,"100,0",26 414 503,"100,0",1,mistral_table,no
TOTAL DA REGIÃO METROPOLITANA,965,"12,1",28 495,"19,0",324 733,"18,2",2 916 242,"11,0",1,mistral_table,no
DEMAIS MUNICIPIOS,7 026,"87,9",121 325,"81,0",1 462 830,"81,8",23 498 262,"89,0",1,mistral_table,no
PARA,4 321,"100,0",63 302,"100,0",695 624,"100,0",7 063 301,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - BELEM,965,"22,3",28 495,"45,0",324 733,"46,7",2 916 242,"41,3",1,mistral_table,no
DEMAIS MUNICIPIOS,3 356,"77,7",34 807,"55,0",370 891,"53,3",4 147 060,"58,7",1,mistral_table,no
REGIÃO NORDESTE,40 839,"100,0",604 285,"100,0",6 661 518,"100,0",97 853 590,"100,0",1,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,6 809,"16,7",226 404,"37,5",3 707 343,"55,7",57 640 216,"58,9",1,mistral_table,no
DEMAIS MUNICIPIOS,34 030,"83,3",377 881,"62,5",2 954 174,"44,3",40 213 374,"41,1",1,mistral_table,no
CEARA,6 165,"100,0",110 765,"100,0",843 527,"100,0",9 335 623,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - FORTALEZA,2 010,"32,6",69 536,"62,8",595 504,"70,6",6 008 824,"64,4",1,mistral_table,no
DEMAIS MUNICIPIOS,4 155,"67,4",41 233,"37,2",248 023,"29,4",3 326 799,"35,6",1,mistral_table,no
FERNAMBUCO,8 389,"100,0",151 416,"100,0",1 760 251,"100,0",21 134 939,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - RECIFE,2 820,"33,6",86 095,"56,9",1 204 457,"68,4",13 588 507,"64,3",1,mistral_table,no
DEMAIS MUNICIPIOS,5 569,"66,4",65 321,"43,1",555 794,"31,6",7 546 432,"35,7",1,mistral_table,no
BAHIA,11 690,"100,0",147 913,"100,0",2 583 741,"100,0",47 622 112,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - SALVADOR,1 979,"16,9",70 773,"47,8",1 907 382,"73,8",38 042 886,"79,9",1,mistral_table,no
DEMAIS MUNICIPIOS,9 711,"83,1",77 140,"52,2",676 358,"26,2",9 579 236,"20,1",1,mistral_table,no
REGIÃO SUDESTE,103 154,"100,0",3 598 424,"100,0",72 367 032,"100,0",778 184 206,"100,0",1,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,49 516,"48,0",2 152 902,"59,8",48 528 997,"67,1",407 747 361,"52,4",1,mistral_table,no
DEMAIS MUNICIPIOS,63 638,"52,0",1 445 522,"40,2",23 838 035,"32,9",370 436 825,"47,6",1,mistral_table,no
MINAS GERAIS,23 643,"100,0",475 977,"100,0",6 897 193,"100,0",103 064 404,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - BELO HORIZONTE,4 830,"20,4",159 308,"33,5",3 001 364,"43,5",33 606 676,"32,6",1,mistral_table,no
DEMAIS MUNICIPIOS,18 813,"79,6",316 669,"66,5",3 895 829,"56,5",69 458 728,"67,4",1,mistral_table,no
RIO DE JANEIRO,16 892,"100,0",528 657,"100,0",9 899 642,"100,0",108 914 885,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - RIO DE JANEIRO,13 216,"78,2",427 721,"80,9",8 341 484,"84,3",81 741 536,"75,1",1,mistral_table,no
DEMAIS MUNICIPIOS,3 676,"21,8",100 936,"19,1",1 558 158,"15,7",27 173 349,"24,9",1,mistral_table,no
SÃO PAULO,59 343,"100,0",2 527 141,"100,0",54 514 859,"100,0",547 498 186,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - SÃO PAULO,31 470,"53,0",1 565 673,"62,0",37 186 149,"68,2",292 400 169,"53,4",1,mistral_table,no
DEMAIS MUNICIPIOS,27 873,"47,0",961 268,"38,0",17 328 710,"31,8",255 098 017,"46,6",1,mistral_table,no
REGIÃO SUL,43 934,"100,0",1 121 737,"100,0",13 720 788,"100,0",183 424 622,"100,0",1,mistral_table,no
TOTAL DAS REGIÕES METROPOLITANAS,9 614,"21,9",344 281,"30,7",5 189 351,"37,8",62 531 012,"34,1",1,mistral_table,no
DEMAIS MUNICIPIOS,34 320,"78,1",777 456,"69,3",8 531 438,"62,2",120 893 610,"65,9",1,mistral_table,no
PARANA,12 515,"100,0",257 262,"100,0",3 069 629,"100,0",58 680 422,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - CURITIBA,3 102,"24,8",101 434,"39,4",1 537 092,"50,1",26 647 090,"45,4",1,mistral_table,no
DEMAIS MUNICIPIOS,9 413,"75,2",155 828,"60,6",1 532 537,"49,9",32 033 332,"54,6",1,mistral_table,no
RIO GRANDE DO SUL,20 988,"100,0",554 203,"100,0",7 125 904,"100,0",81 901 681,"100,0",1,mistral_table,no
REGIÃO METROPOLITANA - PORTO ALEGRE,6 512,"31,0",242 647,"43,8",3 652 259,"51,3",35 883 921,"43,8",1,mistral_table,no
DEMAIS MUNICIPIOS,14 476,"69,0",311 356,"56,2",3 473 646,"48,7",46 017 760,"56,2",1,mistral_table,no
