order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_production_1980,salaries_withdrawals_other_compensation_1980_mil_cruzeiros,gross_production_value_1980_mil_cruzeiros,industrial_transformation_value_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_production_1985,salaries_withdrawals_other_compensation_1985_mil_cruzeiros,gross_production_value_1985_mil_cruzeiros,industrial_transformation_value_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,226 306,5 720 006,4 196 989,1 041 218 082,10 204 222 502,4 307 628 522,175 652,207 157,5 608 704,4 217 212,96 449 248 431,1 132 811 769 037,523 906 798 448,4,5,mistral_table,mistral_table,no
2,EXTRATIVA MINERAL,4 837,110 044,72 463,26 949 370,208 088 815,147 834 407,1 992,2 973,107 376,78 800,2 555 001 300,52 933 461 376,45 991 056 589,4,5,mistral_table,mistral_table,no
3,TRANSFORMAÇÃO,220 788,5 562 241,4 083 604,996 691 627,9 966 396 527,4 133 054 310,173 660,204 184,5 501 328,4 138 412,93 894 247 131,1 079 878 307 661,477 915 741 859,4,5,mistral_table,mistral_table,no
4,NÃO METALICOS,35 501,444 372,323 845,54 725 509,425 494 952,233 650 607,26 843,28 974,365 643,275 855,4 102 263 245,33 178 100 772,20 522 941 485,4,5,mistral_table,mistral_table,no
5,METALURGICA,19 948,641 546,471 734,132 735 895,1 396 560 294,480 266 548,16 621,18 964,565 036,427 914,11 262 003 136,150 493 933 516,58 369 855 703,4,5,mistral_table,mistral_table,no
6,MECANICA,12 412,602 453,474 576,156 492 359,762 640 905,419 766 672,1 667,11 088,552 163,440 962,13 807 905 147,73 502 013 185,43 967 909 665,4,5,mistral_table,mistral_table,no
7,MATERIAL ELETRICO,4 658,297 378,216 147,66 972 713,542 665 099,288 072 659,3 047,4 573,315 767,230 731,7 465 297 562,62 253 200 015,36 151 456 103,4,5,mistral_table,mistral_table,no
8,TRANSPORTE,4 526,344 750,250 189,88 039 736,776 469 693,307 866 236,3 361,4 184,341 621,257 925,9 025 553 049,79 384 244 141,30 715 409 051,4,5,mistral_table,mistral_table,no
9,MADEIRA,20 873,274 247,208 640,26 599 319,201 203 067,108 703 501,15 677,17 129,218 059,174 875,1 799 927 984,13 412 764 399,7 566 235 042,4,5,mistral_table,mistral_table,no
10,MOBILIARIO,13 750,186 686,140 588,20 939 585,145 723 460,73 500 928,12 845,13 759,186 467,147 126,1 708 471 024,12 946 086 093,6 844 398 486,4,5,mistral_table,mistral_table,no
11,PAPEL E PAPELÃO,2 151,130 018,91 562,24 936 128,264 220 323,114 495 098,1 317,2 107,132 948,98 957,2 739 039 127,30 119 138 254,14 015 403 745,4,5,mistral_table,mistral_table,no
12,BORRACHA,1 519,64 765,49 942,13 686 227,149 210 017,51 953 533,1 056,1 421,71 656,53 447,1 667 459 058,17 788 912 485,8 805 459 453,4,5,mistral_table,mistral_table,no
13,COUROS E PELES,1 509,45 317,36 536,5 879 184,48 600 831,19 567 217,1 347,1 604,53 849,46 762,566 342 126,6 575 937 764,2 874 318 104,4,5,mistral_table,mistral_table,no
14,QUÍMICA,4 774,222 118,121 129,60 644 941,1 766 457 710,601 354 695,2 301,5 066,287 742,165 442,9 414 992 805,224 533 790 108,82 797 136 577,4,5,mistral_table,mistral_table,no
15,FARMACÊUTICA,1 122,54 426,26 814,16 691 111,107 267 595,66 020 199,433,930,49 058,24 282,1 454 315 316,12 577 172 729,8 071 471 641,4,5,mistral_table,mistral_table,no
16,PERFUMARIA,1 113,36 239,20 271,8 352 570,84 004 488,35 280 355,878,1 140,36 807,20 378,786 075 086,9 003 398 412,4 264 068 676,4,5,mistral_table,mistral_table,no
17,MATS. PLASTICAS,3 147,135 681,102 573,21 926 260,196 638 919,94 709 899,2 274,2 875,146 151,115 791,2 122 145 884,20 831 679 939,10 712 834 597,4,5,mistral_table,mistral_table,no
18,TEXTIL,7 177,417 750,348 224,58 695 563,634 946 815,257 835 863,3 814,5 570,351 360,296 196,4 501 530 660,61 887 669 456,28 434 008 601,4,5,mistral_table,mistral_table,no
19,VESTUÁRIO,20 571,492 863,410 530,48 172 080,377 802 507,195 750 623,21 688,23 200,655 234,560 662,5 552 313 929,47 485 497 411,24 748 660 004,4,5,mistral_table,mistral_table,no
20,ALIMENTARES,46 662,724 213,490 214,86 311 627,1 580 985 683,479 457 327,36 690,43 034,733 199,505 698,8 555 562 476,172 320 771 707,57 405 540 462,4,5,mistral_table,mistral_table,no
21,BEBIDAS,3 216,77 021,46 092,14 218 331,112 006 572,55 559 135,2 189,2 798,77 167,47 725,1 261 270 854,11 485 924 889,5 936 149 714,4,5,mistral_table,mistral_table,no
22,FUMO,560,29 527,21 772,7 006 654,59 696 264,31 462 531,143,434,27 924,15 990,725 922 476,6 378 669 516,3 637 174 155,4,5,mistral_table,mistral_table,no
23,GRAFICA,9 081,169 883,101 427,34 415 147,156 882 437,103 891 041,8 008,9 053,164 523,101 721,2 828 278 608,14 448 553 199,9 278 233 948,4,5,mistral_table,mistral_table,no
24,DIVERSAS,6 518,170 988,128 197,29 050 688,176 918 866,109 864 243,5 261,6 181,168 954,129 973,2 517 577 579,19 470 879 671,12 797 179 447,4,5,mistral_table,mistral_table,no
25,REGIÃO SUDESTE,121 315,3 800 977,2 755 619,799 178 645,7 405 615 624,3 137 645 867,84 472,103 154,3 598 424,2 658 688,72 367 032 366,778 184 205 861,349 855 401 326,4,5,mistral_table,mistral_table,no
26,EXTRATIVA MINERAL,2 578,52 891,32 375,14 065 466,127 408 597,88 520 669,1 074,1 655,43 768,30 371,1 120 673 126,15 122 474 743,11 331 388 537,4,5,mistral_table,mistral_table,no
27,TRANSFORMAÇÃO,118 198,3 705 815,2 686 954,768 689 443,7 350 571 966,3 024 217 027,83 398,101 499,3 554 656,2 628 317,71 246 359 240,763 061 731 118,338 524 012 789,4,5,mistral_table,mistral_table,no
28,NÃO METALICOS,14 849,248 604,180 178,37 414 338,278 825 013,151 749 663,9 154,10 410,195 729,147 261,2 752 218 147,21 830 412 291,13 338 138 879,4,5,mistral_table,mistral_table,no
29,METALURGICA,13 509,514 386,377 954,114 543 229,219 502 130,409 426 425,9 817,11 577,449 002,341 232,9 570 767 310,129 874 940 605,49 191 966 970,4,5,mistral_table,mistral_table,no
30,MECANICA,8 736,474 410,371 685,132 841 866,631 076 138,347 134 921,5 132,7 392,422 486,335 690,11 509 993 226,56 954 799 532,34 170 614 627,4,5,mistral_table,mistral_table,no
31,MATERIAL ELETRICO,3 609,237 801,171 376,58 223 300,421 881 998,225 144 349,2 392,3 458,244 402,176 213,6 215 580 502,44 890 971 424,26 760 654 730,4,5,mistral_table,mistral_table,no
32,TRANSPORTE,2 673,292 447,209 552,79 629 280,717 114 012,277 343 726,1 732,2 340,293 010,219 661,8 182 643 821,72 877 269 793,27 013 137 482,4,5,mistral_table,mistral_table,no
33,MADEIRA,4 917,59 783,42 931,7 859 225,53 232 270,28 532 127,461,3 805,47 071,34 861,532 533 826,3 632 088 895,1 930 469 262,4,5,mistral_table,mistral_table,no
34,MOBILIARIO,7 425,107 511,79 569,13 266 773,87 941 900,43 064 200,5 891,6 501,101 524,79 449,1 045 993 506,7 649 837 902,3 974 884 858,4,5,mistral_table,mistral_table,no
35,PAPEL E PAPELÃO,1 510,89 889,64 920,19 274 130,189 667 443,83 085 843,951,1 418,93 023,68 439,2 114 564 468,21 095 568 029,10 261 576 588,4,5,mistral_table,mistral_table,no
36,BORRACHA,936,50 449,38 954,11 623 707,125 125 414,42 017 209,609,836,56 575,42 044,1 456 505 215,14 962 260 466,7 269 095 454,4,5,mistral_table,mistral_table,no
37,COUROS E PELES,680,20 589,16 234,3 012 297,21 731 264,8 128 597,548,657,21 757,18 704,228 259 153,2 450 521 499,1 029 973 411,4,5,mistral_table,mistral_table,no
38,QUÍMICA,3 217,163 587,86 206,62 195 360,284 784 424,452 825 400,1 548,3 278,205 778,112 026,7 167 543 123,157 697 280 774,58 557 255 196,4,5,mistral_table,mistral_table,no
39,FARMACÊUTICA,719,66 162,23 456,14 486 909,101 873 768,62 711 492,316,608,41 646,21 033,1 274 966 560,11 882 942 433,7 611 518 063,4,5,mistral_table,mistral_table,no
40,PERFUMARIA,664,29 440,16 038,7 331 454,70 917 915,32 766 720,506,677,29 485,15 638,698 368 048,7 615 656 750,3 594 376 863,4,5,mistral_table,mistral_table,no
41,MATS. PLASTICAS,2 472,104 127,78 906,17 813 692,146 521 477,70 761 149,1 742,2 253,108 886,85 916,1 683 320 853,15 477 964 724,7 914 762 625,4,5,mistral_table,mistral_table,no
42,TEXTIL,4 788,282 878,237 747,41 997 440,429 121 987,178 915 568,1 148,3 299,239 656,201 482,3 280 538 226,40 845 548 339,19 373 785 784,4,5,mistral_table,mistral_table,no
43,VESTUÁRIO,13 223,300 188,245 506,31 161 610,236 653 525,117 169 883,13 582,14 522,360 686,299 999,3 136 935 002,27 926 532 278,13 818 667 731,4,5,mistral_table,mistral_table,no
44,ALIMENTARES,21 944,369 315,238 669,51 872 869,870 965 430,269 157 422,14 210,17 164,344 183,227 357,4 883 402 457,89 170 165 966,29 977 628 294,4,5,mistral_table,mistral_table,no
45,BEBIDAS,1 818,42 972,25 175,8 970 507,62 614 659,30 573 401,1 261,1 544,41 733,24 878,786 084 611,6 424 234 991,3 227 455 342,4,5,mistral_table,mistral_table,no
46,FUMO,120,10 276,7 418,3 500 201,24 597 177,15 607 202,20,97,8 657,3 757,351 177 590,1 686 349 174,1 071 086 844,4,5,mistral_table,mistral_table,no
47,GRAFICA,5 907,125 538,73 771,28 054 996,131 822 593,87 525 649,4 950,5 619,116 454,70 949,2 261 539 790,11 904 338 305,7 603 243 901,4,5,mistral_table,mistral_table,no
48,DIVERSAS,4 472,135 477,100 709,23 614 280,145 500 402,90 576 079,3 428,4 044,132 908,101 954,2 112 423 792,16 212 066 955,10 833 439 884,4,5,mistral_table,mistral_table,no
49,MINAS GERAIS,24 697,462 368,340 316,79 415 921,888 250 285,346 198 010,20 332,23 643,475 977,363 539,6 897 193 211,103 064 403 719,43 393 095 896,4,5,mistral_table,mistral_table,no
50,EXTRATIVA MINERAL,960,26 340,19 606,5 781 372,38 225 875,23 229 351,359,643,26 992,22 096,569 728 671,5 504 244 016,3 951 299 188,4,5,mistral_table,mistral_table,no
51,TRANSFORMAÇÃO,22 685,432 566,317 545,72 616 006,848 320 037,321 451 175,19 973,23 000,448 985,341 443,6 327 464 540,97 560 159 703,39 441 796 708,4,5,mistral_table,mistral_table,no
52,NÃO METALICOS,4 876,51 975,37 800,6 298 327,65 425 033,33 506 329,3 217,3 498,42 713,32 692,462 603 425,4 556 903 432,2 690 552 380,4,5,mistral_table,mistral_table,no
53,METALURGICA,2 553,90 967,62 613,22 074 048,293 623 266,94 059 443,2 149,2 495,90 965,67 600,1 786 650 137,35 916 173 336,12 970 606 928,4,5,mistral_table,mistral_table,no
54,MECANICA,911,45 433,38 282,11 356 889,48 131 597,27 960 044,633,907,43 748,38 010,971 706 824,4 334 672 119,2 590 068 427,4,5,mistral_table,mistral_table,no
55,MATERIAL ELETRICO,272,9 733,7 152,1 931 146,16 833 057,8 846 532,196,307,10 508,8 442,187 965 167,1 910 789 329,909 800 945,4,5,mistral_table,mistral_table,no
56,TRANSPORTE,310,23 048,17 930,6 231 349,46 365 357,19 691 993,226,308,22 370,18 804,491 669 974,6 113 684 802,2 197 135 370,4,5,mistral_table,mistral_table,no
57,MADEIRA,1 847,9 716,6 271,807 570,5 411 603,2 532 475,1 339,1 404,8 305,5 788,91 374 084,512 101 494,198 816 043,4,5,mistral_table,mistral_table,no
58,MOBILIARIO,729,14 250,9 987,1 173 623,8 122 867,3 723 682,1 618,1 690,14 063,10 301,89 915 133,758 840 217,393 059 802,4,5,mistral_table,mistral_table,no
59,PAPEL E PAPELÃO,113,5 407,3 739,907 430,11 986 735,6 387 156,76,124,5 492,4 081,85 625 831,1 492 879 836,769 596 023,4,5,mistral_table,mistral_table,no
60,BORRACHA,185,2 822,2 036,391 362,3 117 810,1 624 556,87,123,2 573,1 956,26 465 506,322 231 543,156 855 853,4,5,mistral_table,mistral_table,no
61,COUROS E PELES,189,2 627,1 987,260 116,2 791 141,1 052 544,222,241,3 458,2 830,76 707 297,420 003 945,166 766 464,4,5,mistral_table,mistral_table,no
62,QUÍMICA,313,10 547,7 409,2 631 179,106 771 822,35 813 298,149,391,18 457,11 071,461 590 244,15 281 030 235,5 603 706 273,4,5,mistral_table,mistral_table,no
63,FARMACÊUTICA,111,2 472,971,660 086,1 856 555,1 209 915,46,93,2 184,1 097,48 826 672,212 394 374,137 432 099,4,5,mistral_table,mistral_table,no
64,PERFUMARIA,83,985,559,140 744,1 224 104,673 414,66,85,1 180,719,13 200 577,140 240 988,85 051 634,4,5,mistral_table,mistral_table,no
65,MATS. PLASTICAS,123,3 380,2 330,471 604,3 463 578,1 609 986,82,116,4 350,3 333,53 692 745,704 551 745,404 881 215,4,5,mistral_table,mistral_table,no
66,TEXTIL,582,38 829,33 931,4 151 488,49 041 046,20 632 221,338,526,37 603,32 342,359 906 736,5 941 289 159,2 881 669 073,4,5,mistral_table,mistral_table,no
67,VESTUÁRIO,2 063,32 029,25 784,2 430 554,17 616 171,8 940 572,2 745,2 855,47 363,39 675,288 588 816,2 785 056 820,1 429 210 820,4,5,mistral_table,mistral_table,no
68,ALIMENTARES,5 401,62 044,41 488,6 121 241,138 569 833,37 683 235,4 713,5 557,64 666,43 508,567 776 500,13 171 698 681,4 085 126 785,4,5,mistral_table,mistral_table,no
69,BEBIDAS,763,7 104,3 852,895 771,7 486 405,3 395 763,608,664,7 099,4 030,81 361 062,692 085 952,330 409 560,4,5,mistral_table,mistral_table,no
70,FUMO,39,2 006,1 645,608 264,7 845 934,4 469 962,13,26,2 307,1 351,45 939 424,876 919 591,582 313 732,4,5,mistral_table,mistral_table,no
71,GRAFICA,874,9 754,6 008,1 891 730,6 637 965,4 369 993,825,894,9 724,6 100,118 422 866,632 059 562,404 970 393,4,5,mistral_table,mistral_table,no
72,DIVERSAS,568,7 438,5 696,873 487,6 016 758,3 268 022,625,696,9 957,7 973,101 472 987,784 555 543,473 766 889,4,5,mistral_table,mistral_table,no
73,REGIÃO METROPOLITANA,5 066,160 580,113 308,37 967 915,304 472 887,137 260 920,3 740,4 830,159 308,114 363,3 001 364 065,33 605 675 878,15 557 724 416,4,5,mistral_table,mistral_table,no
74,EXTRATIVA MINERAL,148,7 678,5 394,1 758 832,7 924 608,5 795 504,41,81,7 932,6 426,165 223 589,776 826 459,560 249 893,4,5,mistral_table,mistral_table,no
75,TRANSFORMAÇÃO,4 900,150 762,106 064,35 437 883,295 316 303,130 322 737,3 699,4 749,151 376,107 937,2 836 140 476,32 828 849 419,14 997 474 523,4,5,mistral_table,mistral_table,no
76,NÃO METALICOS,492,17 546,13 665,3 125 275,28 730 987,15 372 734,250,355,14 031,10 436,246 496 448,2 400 493 371,1 489 322 739,4,5,mistral_table,mistral_table,no
77,METALURGICA,829,37 095,24 260,11 232 441,80 794 649,33 612 343,,,,,,,,6,7,mistral_table,pdf_text_layout_partial,yes
78,MECANICA,404,17 951,13 914,5 305 592,21 204 369,12 306 508,252,378,16 618,13 048,407 345 352,2 001 326 653,1 182 503 473,6,7,mistral_table,mistral_table,no
79,MATERIAL ELÉTRICO,181,6 399,4 253,1 417 689,7 227 974,3 896 090,103,187,7 436,5 899,137 715 212,887 236 425,557 007 889,6,7,mistral_table,mistral_table,no
80,TRANSPORTE,103,15 933,12 121,5 087 619,40 856 578,17 058 333,50,87,14 379,11 827,369 229 852,5 554 779 470,1 840 381 728,6,7,mistral_table,mistral_table,no
81,MADEIRA,174,1 469,960,197 888,764 303,377 325,78,91,1 086,816,11 428 045,61 317 935,35 667 153,6,7,mistral_table,mistral_table,no
82,MOBILIARIO,413,4 789,3 351,510 146,3 420 697,1 551 778,318,351,4 288,3 176,34 841 519,287 926 881,152 395 175,6,7,mistral_table,mistral_table,no
83,PAPEL E PAPELÃO,39,1 033,612,227 396,1 229 456,527 503,30,47,1 351,839,27 698 912,182 784 716,82 150 303,6,7,mistral_table,mistral_table,no
84,BORRACHA,60,1 332,975,248 038,1 672 381,840 034,32,49,1 430,1 065,19 515 742,189 639 285,90 987 020,6,7,mistral_table,mistral_table,no
85,COUROS E PELES,116,3 204,1 875,1 457 693,62 100 924,23 281 839,7,12,377,316,3 959 296,50 531 223,23 635 677,6,7,mistral_table,mistral_table,no
