order_number,entry,establishments_1980,personnel_total_1980,personnel_linked_to_service_activity_1980,salaries_withdrawals_1980_mil_cruzeiros,total_revenue_1980_mil_cruzeiros,companies_headquartered_in_municipality_1985,establishments_1985,personnel_total_1985,personnel_linked_to_service_activity_1985,salaries_withdrawals_1985_mil_cruzeiros,total_revenue_1985_mil_cruzeiros,source_page_1980,source_page_1985,left_extraction_method,right_extraction_method,needs_review
1,BRASIL,395 797,2 211 783,1 403 971,280 393 481,1 140 225 587,,,,,,,174,175,mistral_table,mistral_table_partial,yes
2,ALOJAMENTO E ALIMENTAÇÃO,193 646,665 805,318 154,46 296 556,283 052 664,215 570,219 353,783 553,417 959,4 765 334 543,26 502 365 187,174,175,mistral_table,pdf_text_layout,no
3,ALOJAMENTO,15 207,124 214,80 774,10 706 778,45 958 354,",. 591",15 212,147 604,113 089,1 176 006 032,5 351 981 782,174,175,mistral_table,pdf_text_layout,no
4,ALIMENTAÇÃO,178 439,541 591,237 380,35 589 778,237 094 310,200 979,204 141,635 949,304 870,3 589 328 511,21 150 383 405,174,175,mistral_table,pdf_text_layout,no
5,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,,,,,,,174,175,mistral_table,pdf_text_tokens_partial,yes
6,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",81 353,313 707,182 682,31 963 426,100 259 147,95 868,97 715,329 065,188 249,2 658 713 520,8 498 123 049,174,175,mistral_table,pdf_text_layout,no
7,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",25 887,86 910,49 001,7 466 095,21 487 674,26 597,27 536,93 538,55 223,630 335 408,803 070 259,174,175,mistral_table,pdf_text_layout,no
8,PESSOAIS,9 354,35 867,20 365,3 032 078,11 899 168,8 9S3,9 748,34 031,19 703,228 563 002,834 399 911,174,175,mistral_table,pdf_text_layout,no
9,HIGIENE E DE ESTETICA PESSOAL,16 533,51 043,28 636,4 434 017,9 788 506,17 6AA,17 788,59 507,35 520,401 772 406,968 670 3-48,174,175,mistral_table,pdf_text_layout,no
10,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",7 101,67 169,44 700,10 475 977,51 607 590,6 076,7 168,75 763,55 694,40A 306 551,5 980 623 389,174,175,mistral_table,pdf_text_layout,no
11,RADIODIFUSÃO E TELEVISÃO,1 484,36 842,26 363,7 672 816,37 996 335,1 22•,1 498,48 420,37 140,194 584 410,4 707 066 590,174,175,mistral_table,pdf_text_layout,no
12,DIVERSÕES,5 617,28 327,18 337,2 803 161,13 611 255,4 852,5 670,27 343,18 554,209 722 141,1 273 556 799,174,175,mistral_table,pdf_text_layout,no
13,AUXILIARES DIVERSOS,74 512,993 654,763 469,170 933 010,606 107 958,77 <135,85 785,234 983,012 962,17 490 327 257,60 551 009 729,174,175,mistral_table,pdf_text_layout,no
14,AUX. DA AGROPECUARIA E REFLORESTAMENTO,3 046,59 496,40 744,10 280 038,29 092 093,1 550,1 988,80 286,65 7-42,1 275 850 148,2 721 230 782,174,175,mistral_table,pdf_text_layout,no
15,"AUX. COMERCIO, LOCAÇÃO DE BENS E SERVIÇOS",11 182,82 825,50 791,16 981 326,125 969 772,15 100,16 873,118 778,81 727,2 292 221 794,13 018 920 244,174,175,mistral_table,pdf_text_layout,no
16,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",1 866,16 424,12 061,4 287 167,19 073 271,1 503,1 731,19 209,13 860,428 011 363,2 307 092 508,174,175,mistral_table,pdf_text_layout,no
17,AUXILIARES DOS TRANSPORTES,7 157,83 844,58 430,16 414 800,89 433 788,• 682,7 006,108 1 U,88 950,2 440 552 118,9 374 032 489,174,175,mistral_table,pdf_text_layout,no
18,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",4 484,80 902,56 343,27 692 252,85 731 097,3 831,.. 197,80 481,63 076,1 930 277 140,6 478 506 320,174,175,mistral_table,pdf_text_layout,no
19,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",2 789,160 906,150 380,10 128 024,25 491 050,2 989,3 168,200 922,188 311,992 988 312,2 365 090 853,174,175,mistral_table,pdf_text_layout,no
20,AUX. PRESTADOS A EMPRESAS E PESSOAS,38 640,476 120,375 864,81 075 064,218 615 284,42 061,44 777,593 2U,488 269,7 813 506 960,23 146 767 656,174,175,mistral_table,pdf_text_layout,no
21,AUXILIARES DA SAÚDE,5 348,31 137,18 858,4 074 339,12 501 623,5 719,6 045,33 949,23 027,316 919 422,1 139 368 877,174,175,mistral_table,pdf_text_layout,no
22,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",13 298,84 538,45 965,13 258 417,77 710 554,,,,,,,174,175,mistral_table,pdf_text_layout_partial,yes
23,COMPRA E VENDA DE BENS IMÓVEIS,8 113,42 753,19 913,7 228 498,51 183 819,4 135,4 260,17 728,9 802,196 029 654,1 176 3U 861,174,175,mistral_table,pdf_text_layout,no
24,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",5 185,41 785,26 052,6 029 919,26 535 735,6 661,6 885,48 553,32 358,561 535 18.8,2 383 551 787,174,175,mistral_table,pdf_text_layout,no
25,REGIÃO SUDESTE,239 940,1 371 184,870 230,190 430 902,772 840 839,235 os,1 559,u ..,1 088 201,18 263 U5 OA6,70 957 023 9311,174,175,mistral_table,pdf_text_layout,no
26,ALOJAMENTO E ALIMENTAÇÃO,122 519,411 878,197 532,30 338 853,193 910 203,121 U9,123 357,446 720,237 120,2 772 675 151,16 422 386 450,174,175,mistral_table,pdf_text_layout,no
27,ALOJAMENTO,6 936,62 822,42 141,5 992 449,25 304 354,6 633,6 ·93:z,75 007,57 578,652 675 057,"2 98"" 810 497",174,175,mistral_table,pdf_text_layout,no
28,ALIMENTAÇÃO,115 583,349 056,155 391,24 346 404,168 605 849,1U 516,116 425,371 713,179 542,2 120 000 094,13 437 575 953,174,175,mistral_table,pdf_text_layout,no
29,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",43 970,169 927,95 950,18 368 309,58 020 411,44 9A6,45 962,157 755,87 120,247 221 640,4 233 069 972,174,175,mistral_table,pdf_text_layout,no
30,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",43 970,169 927,95 950,18 368 309,58 020 411,44 9<16,45 962,157 755,87 120,247 221 640,4 233 069 972,174,175,mistral_table,pdf_text_layout,no
31,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",16 885,57 940,32 516,5 076 046,14 467 959,14 699,15 182,56 031,33 582,363 .t14 241,033 480 818,174,175,mistral_table,pdf_text_layout,no
32,PESSOAIS,5 652,22 476,12 924,1 967 998,7 582 934,4 714,5 118,19 692,11 825,"1,30 212 159",473 778 733,174,175,mistral_table,pdf_text_layout,no
33,HIGIENE E DE ESTETICA PESSOAL,11 233,35 464,19 562,3 106 048,6 885 025,9 985,10 064,36 339,21 757,233 202 082,·559 702 086,174,175,mistral_table,pdf_text_layout,no
34,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",3 404,34 555,23 196,6 460 620,33 016 974,2 526,3 103,39 950,28 591,980 663 852,3 846 858 39..,174,175,mistral_table,pdf_text_layout,no
35,RADIODIFUSÃO E TELEVISÃO,682,19 079,12 704,4 664 983,24 167 281,"""'99",582,25 631,18 614,863 085 011,3 005 183 098,174,175,mistral_table,pdf_text_layout,no
36,DIVERSÕES,2 722,15 476,10 492,1 795 637,8 849 693,2 027,2 521,14 319,9 877,117 578 841,841 675 296,174,175,mistral_table,pdf_text_layout,no
37,AUXILIARES DIVERSOS,43 891,637 847,488 046,121 076 182,418 276 573,4A 833,A9 295,811 730,671 440,12 338 250 833,42 725 958 350,174,175,mistral_table,pdf_text_layout,no
38,AUX. DA AGROPECUARIA E REFLORESTAMENTO,1 119,27 883,21 372,4 207 472,10 123 714,611,778,41 431,38 352,514 654 467,1 095 726 471,174,175,mistral_table,pdf_text_layout,no
39,"AUX. COMERCIO, LOCAÇÃO DE BENS E SERVIÇOS",5 899,52 869,32 762,11 912 001,92 724 404,7 676,8 629,71 627,49 577,587 760 8-4 ..,9 050 -473 845,174,175,mistral_table,pdf_text_layout,no
40,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",1 286,15 018,9 917,3 648 926,14 230 893,,,,,,,174,175,mistral_table,missing,yes
41,AUXILIARES DOS TRANSPORTES,4 352,51 890,35 919,10 327 685,62 359 134,,,,,,,174,175,mistral_table,missing,yes
42,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",2 775,89 666,40 583,22 701 257,66 530 528,,,,,,,174,175,mistral_table,missing,yes
43,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",1 635,99 881,93 385,6 604 380,16 607 743,1 709,1 823,136 001,126 232,655 868 865,1 633 589 180,174,175,mistral_table,pdf_text_layout,no
44,AUX. PRESTADOS A EMPRESAS E PESSOAS,23 989,312 852,243 435,59 311 619,158 460 513,25 606,27 066,397 307,327 382,5 766 873 810,16 921 351 677,174,175,mistral_table,pdf_text_layout,no
45,AUXILIARES DA SAÚDE,2 824,17 788,10 673,2 362 842,7 239 644,2 880,3 096,.20 423,14 337,188 427 501,705 948 488,174,175,mistral_table,pdf_text_layout,no
46,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",9 271,59 037,32 990,9 110 892,55 148 719,7 312,7 57'.3,47 458,30 348,561 419 329,2 695 2U 951,174,175,mistral_table,pdf_text_layout,no
47,COMPRA E VENDA DE BENS IMÓVEIS,5 317,27 406,12 947,4 572 738,36 057 897,2 530,2 610,11 783,6 808,134 065 411,904 244 546,174,175,mistral_table,pdf_text_layout,no
48,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",3 954,31 631,20 043,4 538 154,19 090 822,.. 782,4 963,35 675,23 540,427 353 918,791 025 405,174,175,mistral_table,pdf_text_layout,no
49,MINAS GERAIS,52 885,217 235,124 796,20 650 493,80 065 839,,,,,,,174,175,mistral_table,pdf_text_layout_partial,yes
50,ALOJAMENTO E ALIMENTAÇÃO,31 286,80 804,30 883,4 293 695,27 600 081,31 670,32 130,85 538,37 469,371 974 579 .,2 351 904 891,174,175,mistral_table,pdf_text_layout,no
51,ALOJAMENTO,2 072,14 034,8 708,954 441,3 669 467,2 054,2 137,15 082,10 972,86 716 112,351 869 459,174,175,mistral_table,pdf_text_layout,no
52,ALIMENTAÇÃO,29 214,66 770,22 175,3 339 254,23 930 614,29 616,29 993,70 456,26 497,285 258 -467,2 000 035. 432,174,175,mistral_table,pdf_text_layout,no
53,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",8 831,32 779,18 771,2 785 049,8 187 294,10 293,10 557,34 040,19 07°·,213 893 200,774 071 592,174,175,mistral_table,pdf_text_layout,no
54,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",8 831,32 479,18 771,2 786 049,8 187 294,10 293,10 557,34 040,19 029,213 893 200,774 071 592,174,175,mistral_table,pdf_text_layout,no
55,"PESSOAIS, DE HIGIENE E ESTETICA PESSOAL",2 627,8 060,4 295,587 654,1 756 685,2 706,811,8 736,4 907,51 631 231,150 311 9114,174,175,mistral_table,pdf_text_layout,no
56,PESSOAIS,945,3 321,1 755,243 436,990 287,917,010,3 292,1 786,19 BOA 762,75 619 433,174,175,mistral_table,pdf_text_layout,no
57,HIGIENE E DE ESTETICA PESSOAL,1 682,4 739,2 540,344 218,766 378,789,801,5 04,3 121,31 726 469,74 692 561,174,175,mistral_table,pdf_text_layout,no
58,"RADIODIFUSÃO, TELEVISÃO E DIVERSÕES",831,6 069,4 160,780 709,3 406 842,132,151,3 191,2 6'6,50 299 5-46,286 466 600,174,175,mistral_table,pdf_text_layout,no
59,RADIODIFUSÃO E TELEVISÃO,162,2 883,2 012,447 067,2 198 305,,,,,,,174,175,mistral_table,missing,yes
60,DIVERSÕES,649,3 186,2 148,313 642,1 208 537,"""'15",540,2 404,1 570,12 417 966,63 208 980,174,175,mistral_table,pdf_text_layout,no
61,AUXILIARES DIVERSOS,7 841,82 706,63 078,11 325 930,34 211 812,8 555,9 329,106 285,87 O.t9,152 272 773,3 661 .t33 208,174,175,mistral_table,pdf_text_layout,no
62,AUX. DA AGROPECUARIA E REFLORESTAMENTO,358,6 862,5 784,1 796 276,3 824 825,204 249,9 264,7 639,142 950,253 347,298 126,174,175,mistral_table,pdf_text_tokens,no
63,"AUX. COMERCIO, LOCAÇÃO DE BENS E SERVIÇOS",1 115,6 645,4 192,1 028 102,6 301 842,''12,609,9 524,6 559,130 033 262,830 6'4 868,174,175,mistral_table,pdf_text_layout,no
64,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",1 022,1 022,1 167 867,1 039 450,1 239 450,,,,,,,174,175,mistral_table,missing,yes
65,AUXILIARES DOS TRANSPORTES,599,4 512,3 060,581 717,2 412 097,445 605,5 339,4 114,63 844,410 270,597 508,174,175,mistral_table,pdf_text_tokens,no
66,"AUX. CONSTRUÇÃO, OBRAS, GEOGESIA, ETC",531,8 813,4 531,2 227 305,6 313 298,'19,A67,8 733,7 0-411,151 129 338,502 016 1-46,174,175,mistral_table,pdf_text_layout,no
67,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",258,11 735,11 083,758 858,1 836 561,245,265,13 960,13 3-40,62 418 396,136 332 266,174,175,mistral_table,pdf_text_layout,no
68,AUX. PRESTADOS A EMPRESAS E PESSOAS,4 204,38 149,30 035,4 431 218,11 557 554,"4 96""'",5 208,54 158,45 076,560 403 164,382 781 436,174,175,mistral_table,pdf_text_layout,no
69,,,,,,,,,,,,,174,175,missing,mistral_table_partial,yes
70,,,,,,,,,,,,,174,175,missing,mistral_table_partial,yes
71,COMPRA E VENDA DE BENS IMÓVEIS,913,4 203,1 892,573 622,3 745 885,379,390,1 464,770,13 542 138,66 323 207,176,177,mistral_table,mistral_table,no
72,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",556,2 914,1 717,322 834,1 157 260,540,555,3 531,2 290,26 219 134,100 547 301,176,177,mistral_table,mistral_table,no
73,REGIÃO METROPOLITANA,13 296,91 400,61 985,11 667 003,42 485 642,12 855,13 579,103 871,76 631,1 103 367 084,3 974 775 456,176,177,mistral_table,mistral_table,no
74,ALOJAMENTO E ALIMENTAÇÃO,6 796,24 104,12 928,1 626 983,9 442 216,6 250,6 405,25 750,15 496,142 034 494,742 246 710,176,177,mistral_table,mistral_table,no
75,ALOJAMENTO,274,3 706,2 719,319 536,1 198 299,248,271,4 612,3 883,34 733 756,132 954 685,176,177,mistral_table,mistral_table,no
76,ALIMENTAÇÃO,6 522,20 398,10 209,1 307 447,8 243 917,6 002,6 134,21 138,11 613,107 300 738,609 292 025,176,177,mistral_table,mistral_table,no
77,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",2 094,9 398,5 695,1 007 925,3 084 361,2 325,2 405,9 701,5 723,77 583 756,290 127 063,176,177,mistral_table,mistral_table,no
78,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",2 094,9 398,5 695,1 007 925,3 084 361,2 325,2 405,9 701,5 723,77 583 756,290 127 063,176,177,mistral_table,mistral_table,no
79,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",851,3 687,2 272,290 120,843 977,790,860,3 813,2 432,24 203 273,68 522 136,176,177,mistral_table,mistral_table,no
80,PESSOAIS,267,1 579,985,132 374,498 621,188,248,1 457,966,10 583 563,35 869 452,176,177,mistral_table,mistral_table,no
81,HIGIENE E DE ESTÉTICA PESSOAL,584,2 108,1 287,157 746,345 356,604,614,2 356,1 466,13 639 710,32 652 684,176,177,mistral_table,mistral_table,no
82,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",150,2 089,1 501,431 375,2 101 825,103,157,2 329,1 824,37 474 925,221 472 972,176,177,mistral_table,mistral_table,no
83,RADIOIDIFUSÃO E TELEVISÃO,25,1 025,626,240 514,1 479 310,15,22,1 327,1 105,31 242 298,188 538 494,176,177,mistral_table,mistral_table,no
84,DIVERSÕES,125,1 064,875,190 861,622 515,88,135,1 002,719,6 232 627,32 934 478,176,177,mistral_table,mistral_table,no
85,AUXILIARES DIVERSOS,2 781,48 182,37 608,7 752 477,23 875 552,2 938,3 290,59 316,49 290,795 034 409,2 534 717 152,176,177,mistral_table,mistral_table,no
86,AUX. DA AGROPECUARIA E REFLORESTAMENTO,49,4 629,2 706,1 376 922,2 162 948,20,28,3 726,2 540,107 427 449,170 338 842,176,177,mistral_table,mistral_table,no
87,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",736,4 925,3 148,847 860,5 509 570,794,904,6 940,5 027,102 864 635,668 845 859,176,177,mistral_table,mistral_table,no
88,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",94,827,469,145 140,972 381,54,73,676,807,12 030 557,62 487 613,176,177,mistral_table,mistral_table,no
89,AUXILIARES DOS TRANSPORTES,230,2 277,1 377,352 879,1 581 171,180,239,2 677,1 647,36 866 477,146 226 807,176,177,mistral_table,mistral_table,no
90,"AUX. CONSTRUÇÃO, OBRAS, GEODÉSIA, ETC",213,6 641,5 680,1 917 620,4 915 853,232,264,7 906,9 277,136 659 489,463 255 384,176,177,mistral_table,mistral_table,no
91,"AUX. DE LIMPEZA, HIGIENIZAÇÃO, ETC",129,8 130,7 706,505 190,1 278 718,121,129,8 202,7 855,37 920 940,82 100 095,176,177,mistral_table,mistral_table,no
92,AUX. PRESTADOS A EMPRESAS E PESSOAS,1 120,19 339,16 236,2 445 217,2 048 147,1 352,1 451,27 621,23 614,349 256 525,876 235 677,176,177,mistral_table,mistral_table,no
93,AUXILIARES DA SAÚDE,210,1 414,886,141 689,408 764,185,204,1 568,1 223,12 008 337,45 226 875,176,177,mistral_table,mistral_table,no
94,"COMPRA, VENDA, ADMINISTRAÇÃO BENS IMÓVEIS",624,3 940,1 981,558 123,3 137 711,449,462,2 962,1 866,27 036 227,117 689 423,176,177,mistral_table,mistral_table,no
95,COMPRA E VENDA DE BENS IMÓVEIS,408,2 189,980,330 375,2 226 816,156,162,701,395,8 142 486,39 862 336,176,177,mistral_table,mistral_table,no
96,"ADMINISTRAÇÃO, LOCAÇÃO, ETC",216,1 751,1 021,227 748,910 895,293,300,2 261,1 471,18 893 741,77 827 087,176,177,mistral_table,mistral_table,no
97,BELO HORIZONTE,10 402,81 688,57 300,10 648 617,38 303 181,9 700,10 315,88 439,66 394,987 535 119,3 510 698 485,176,177,mistral_table,mistral_table,no
98,ALOJAMENTO E ALIMENTAÇÃO,4 613,19 072,11 153,1 293 901,7 361 913,4 137,4 252,20 406,13 334,114 446 303,582 475 580,176,177,mistral_table,mistral_table,no
99,ALOJAMENTO,229,3 260,2 393,287 390,1 237 614,201,222,4 024,3 399,29 876 030,113 469 593,176,177,mistral_table,mistral_table,no
100,ALIMENTAÇÃO,4 384,15 812,8 760,1 006 511,6 304 299,3 936,4 030,16 381,9 935,84 570 273,469 005 997,176,177,mistral_table,mistral_table,no
101,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",1 776,7 806,4 701,845 375,2 561 271,1 817,1 885,7 787,4 610,63 840 600,230 663 422,176,177,mistral_table,mistral_table,no
102,"REPARAÇÃO, MANUTENÇÃO E INSTALAÇÃO",1 776,7 806,4 701,845 375,2 561 271,1 817,1 885,7 787,4 610,63 840 600,230 663 422,176,177,mistral_table,mistral_table,no
103,"PESSOAIS, DE HIGIENE E ESTÉTICA PESSOAL",778,3 499,2 184,276 497,796 216,641,706,1 027,2 144,21 524 578,58 970 170,176,177,mistral_table,mistral_table,no
104,PESSOAIS,232,1 468,926,125 931,465 726,148,203,1 236,812,9 277 248,29 569 953,176,177,mistral_table,mistral_table,no
105,HIGIENE E DE ESTÉTICA PESSOAL,546,2 031,1 258,150 566,330 490,493,503,2 091,1 332,12 247 330,29 400 217,176,177,mistral_table,mistral_table,no
106,"RADIOIDIFUSÃO, TELEVISÃO E DIVERSÕES",127,2 021,1 471,427 120,2 080 052,78,127,2 137,1 881,36 383 472,207 629 932,176,177,mistral_table,mistral_table,no
107,RADIOIDIFUSÃO E TELEVISÃO,20,1 005,618,239 020,1 474 082,11,15,1 246,1 036,30 951 969,177 227 675,176,177,mistral_table,mistral_table,no
108,DIVERSÕES,107,1 016,853,188 100,605 970,67,112,891,645,5 431 503,30 402 357,176,177,mistral_table,mistral_table,no
109,AUXILIARES DIVERSOS,2 541,45 779,35 972,7 308 926,22 517 415,2 620,2 929,52 242,42 988,729 268 921,2 328 776 954,176,177,mistral_table,mistral_table,no
110,AUX. DA AGROPECUARIA E REFLORESTAMENTO,47,4 505,2 706,1 325 013,2 162 948,17,23,3 717,2 536,107 401 170,170 254 130,176,177,mistral_table,mistral_table,no
111,"AUX. COMÉRCIO, LOCAÇÃO DE BENS E SERVIÇOS",712,4 562,2 843,788 763,5 171 461,736,842,6 153,4 384,84 713 469,682 484 807,176,177,mistral_table,mistral_table,no
112,"AUX. FINANC., SEGUROS E CAPITALIZAÇÃO",91,818,463,143 860,968 039,49,67,928,766,11 631 073,70 842 283,176,177,mistral_table,mistral_table,no
