entity,establishments_1985_absolute,establishments_1985_percent,personnel_occupied_1985_absolute,personnel_occupied_1985_percent,salaries_withdrawals_other_compensation_1985_million_cruzeiros,salaries_withdrawals_other_compensation_1985_percent,total_revenue_1985_million_cruzeiros,total_revenue_1985_million_cruzeiros_percent,source_page,extraction_method,needs_review
IAASl l,U I 702,"100,0",2 513 113,"100,0",27 706 512,"100,0",106 195 OH,"100,0",98,pdf_text_layout,no
ACRE,040,"100,0",3 570,"100,0",""" 770","100,C>",131 218,"100,0",98,pdf_text_layout,no
ROAAIMA,43',"100,0",2 255,"100,0",u 7to,"100 ,0",l i 77•,"100,0",98,pdf_text_layout,no
PARA,1 150,"100,0",'7 537,100.0,Ot 047,"100,0",713 145,"100 ,0",98,pdf_text_layout,no
REGIÃO NDllOl:STE,7 9 507,"100 , 0",HS U3,"100,0",3 311 5 10,"100,0",12,2ag '12,98,pdf_text_layout,no
MARANHÃO,5 171,"100 ,0",27 75',"100,0",211 731,"100,0",t07 171,"100,0",98,pdf_text_layout,no
PIAUI,4 145,"100,0",17 230,"100,0",113 111,100.0,• 12 3• 2,"100,0",98,pdf_text_layout,no
CURA,10 \&O,"100,0",S3 112,"100 ,0",'50 $OS,"100,0","55' . .,","100,0",98,pdf_text_layout,no
RIO 0RAN0E 00 NORTE,' 2IO,"100,0",2 1 113,"100,0",113 235,"100,0",733 11',100.0,98,pdf_text_layout,no
CAPITAL,i •10,"3',I",12,11',"57,2 t l i 275","'4,5",459 s:sa,"12,6",98,pdf_text_layout,no
lllUNICIPIOS CON MENOS OE 100. 000 HAllTANTES,2 32$,"U,3",7 OH,"33,,",sous,21.a,21S 111,U.3,98,pdf_text_layout,no
MUNICIPIOS CON 100.000 OU MAIS HABITANTES,3 314,"20,I",u 710,"1', 7",123 oo•,"15,5",527 I02,"11, 1",98,pdf_text_layout,no
ALAOOAS,3 ...,"100,0",l i 571,"100,0",112 113,"100 ,0",547 310,100.0,98,pdf_text_layout,no
"llRCl""E",2 715,"100,0",12 152,"100,0",17 7U,"100,0",391 317,"100,0",98,pdf_text_layout,no
BAHIA,28 489,"100,0",131 744,"100,0",1 211 094,"100,0",4 454 810,"100,0",99,mistral_table,no
CAPITAL,5 949,"20,9",54 640,"41,5",667 595,"55,1",2 489 132,"55,9",99,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,5 289,"18,6",19 271,"14,6",140 951,"11,6",460 857,"10,3",99,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,17 251,"60,6",57 833,"43,9",402 548,"33,2",1 504 822,"33,8",99,mistral_table,no
REGIÃO SUDESTE,244 472,"100,0",1 559 644,"100,0",18 263 645,"100,0",70 957 024,"100,0",99,mistral_table,no
TOTAL DAS CAPITAIS,86 686,"35,5",796 743,"51,1",11 944 139,"65,4",47 972 665,"67,0",99,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,74 529,"30,5",403 754,"25,9",3 790 628,"20,8",14 022 580,"19,6",99,mistral_table,no
MUNICIPIOS COM MENOS DE 100.000 HABITANTES,83 257,"34,1",359 147,"23,0",2 528 878,"13,8",8 961 779,"12,6",99,mistral_table,no
MINAS GERAIS,56 463,"100,0",245 189,"100,0",1 892 251,"100,0",7 454 268,"100,0",99,mistral_table,no
CAPITAL,10 315,"18,3",88 439,"36,1",987 535,"52,2",3 510 698,"47,1",99,mistral_table,no
MUNICIPIOS COM 100.000 OU MAIS HABITANTES,11 812,"20,9",53 272,"21,7",350 496,"18,5",1 433 400,"19,2",99,mistral_table,no
