municipality,state,mun_hist,foundation_hist
rio-branco,ac,"Em 1882, o vapor sobe o rio Acre e desembarca os Irmãos Leite no seringal Bagaço. Neutel Maia decide ficar algumas milhas acima e no dia 28 de dezembro funda o Seringal Empreza, na volta do rio onde está situada a Gameleira. Depois o mesmo vapor ainda deixa Manuel Damasceno Girão na foz do Xapuri, onde fundou o seringal Xapuri.Nesse momento de expansão do extrativismo da borracha, quando o Acre era ainda considerado território boliviano, o Seringal Empresa, na rota entre Porto Acre e Xapuri, núcleo dinâmico da atividade econômica que dava a lógica à invasão da floresta, vai se constituindo no núcleo de um entreposto comercial.Paralelamente, na fronteiriça margem do mesmo rio Acre, um novo centro se formava, dando lugar ao nascimento de um pequeno burgo comercial, livre, com o nome de Empresa Nova ou simplesmente Empresa, ao passo que o primitivo passava a ser conhecido como Empresa Velha.Em 1904 o atual município de Rio Branco torna-se sede do Departamento do Alto Acre. 'Excepcionalmente, a sede da Prefeitura do Alto Acre funcionou em Empresa Nova, que desde então foi denominada Vila Rio Branco, compreendendo, então, já os dois bairros do mesmo lado, ligados por um projeto da avenida. Desde o estabelecimento da sede administrativa do território em 1903, quando então foi denominada Vila Rio Branco, até 1912, quando se estabelece definitivamente a denominação do futuro município, sua denominação oscilou entre uma homenagem ao Barão de Rio Branco e Penápolis, em homenagem ao presidente Afonso Pena. Em 1912, por força do Decreto Federal n.º 9.831, de 23 de outubro, passa à categoria de cidade com o nome de Rio Branco. Elevado à categoria de vila com a denominação de Volta da Empresa, pelo Decreto do Prefeito n.º 3, de 22-08-1904.Elevado á condição de cidade e sede municipal com a denominação de Rio Branco, pelo Decreto do Prefeito n.º 7, de 07-09-1904.Elevado à categoria de sede com a denominação de Rio Branco, pelo Decreto Federal n.º 5.188, de 07-04-1904. Constituído de 3 distritos: Rio Branco, Capatará e Riozinho. Instalado em 18-08-1904.Pela Resolução n.º 9, de 13-05-1909, deixou de ser sede do município transferido para vila de Penápolis.Pelo Decreto Federal n.º 9.831, de 23-10-1912, voltou à condição de sede do município com a denominação de Rio Branco. Instalado em 15-02-1913.Pelo Decreto Federal n.º 14.383, de 01-10-1929, manteve o município com a mesma denominação, elevou a sede à categoria de capital do território.Em divisões territoriais datadas de 31-XII-1936 e 31-XII-1937, o município aparece constituído de 15 distritos: Rio Branco, Antimari, Campo Belos, Capatará, Catuaba, Deposito do Inquiri, Humaitá, Itu, Marechal Deodoro, Niterói, Plácido de Casto, Porto Acre, São Fancisco do Riozinho, Triunfo e Vila Rica. RIO BRANCO (AC). Prefeitura. Disponível em: http://www.riobranco.ac.gov.br. Acesso em: abr. 2011. Confederação Nacional de Municípios. Disponível em: http://www.cnm.org.br. Acesso em: abr. 2011.",NA
acrelandia,ac,"A origem da cidade está baseada em projetos de colonização estadual instalados na década de 80. Nessa época foram implantadas as primeiras infra-estruturas para demarcação de lotes, construção de habitações, implantação de seringais de cultivos e cacau consorciados com agricultura familiar.A população é constituída, na sua maioria, por famílias de agricultores que migraram de outros regiões do país, principalmente da Região Sul. Elevado à categoria de município e distrito com a denominação de Acrelândia, pela Lei Estadual n.º 1.025, de 28-04-1992.Alterado em seus limites pela Lei Estadual n.º 1.060, de 09-12-1992, desmembrado dos municípios de Plácido de Castro e Senador Guiomard.Sede no atual distrito de Acrelândia (ex-localidade). Constituído do distrito sede. Instalado em 01-01-1993.Em divisão territorial datada 2003, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Prefeitura Municipal",NA
assis-brasil,ac,"Assis Brasil nasceu no antigo seringal Paraguçu, desbravado, em 1908, por três irmãos nordestinos: Berlamino Freire, Durval Freire e Policarpo Freire. Em 1958 foi denominada Vila de Assis Brasil, em homenagem a Francisco de Assis Brasil, o político e diplomata que negociou juntamente com o Barão de Rio Branco, Ministro de Estado das Relações Exteriores, a compra do Acre do governo boliviano. Elevado à categoria de município com a denominação de Assis Brasil, pela Constituição Estadual artig Prefeitura Municipal http://www.assisbrasil.ac.gov.br",NA
brasileia,ac,"Brasília, como era chamada Brasiléia, foi fundada nas terras dos índios Catianas e Maitenecas, no Seringal Carmem, quando o Acre já era território do Brasil.Foi criada por homens da classe dominante da sociedade acreana da época, seringalistas e autoridades constituídas, que habitavam no Alto Acre, vinculados à exportação de borracha para Belém e Manaus.No Seringal Carmem foi escolhida uma área para instalação da justiça do 3º Termo Judiciário da Comarca de Xapuri e do Juiz Fulgêncio de Paiva, que já havia sido expulso das terras do Seringal Nazaré. Eram os primeiros passos da fundação de Brasília, que contou com a participação de brasileiros como João Cordeiro Barbosa, José Antônio de Almeida, Olegário de Araújo França, Augusto de Melo Azevedo, Dr. Luiz Barreto Correa de Menezes, Dr. Ronaldo Melo, Raimundo Furtado, Fulgêncio Cruz, José Bernardo e outros. Brasília foi assentada à margem esquerda do Rio Acre, de frente à cidade boliviana de Cobija, onde moravam a maioria dos brasileiros que a fundaram no dia 03 de julho de 1910, data em que braços de seringueiros, sob as ordens dos doutores e seringalistas , derrubaram as primeiras árvores no  local em que hoje está situada a cidade de Brasiléia. Distrito criado com a denominação de Brasília, pela Resolução n.º 22, de 09-05-1911, subordinado ao município de Alto Acre.Em divisão administrativa referente ao ano de 1911, o distrito de Brasília, figura no município de Alto Acre.O Decreto-Lei Federal n.º 9.831, de 23-10-1912, transfere o distrito Brasília do município de Alto Acre para o novo município de Xapuri.Em divisão administrativa referente ao ano de 1933, o distrito de Brasília figura no município de Xapuri.Assim permanecendo em divisões territoriais datadas 31-12-1936 e 31-12-1937.Elevado à categoria de município com a denominação de Brasília, pelo Decreto-Lei Federal n.º 968, de 21-12-1938, desmembrado dos municípios de Xapuri e Sena Madureira. Sede na Vila de Brasília. Constituído do distrito sede. Instalado em 01-01-1939.Em divisão territorial datada de 1-07-1960, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Prefeitura Municipal http://www.brasileia.ac.cnm.org.br",NA
bujari,ac,"Bujari tem sua história ligada, principalmente, a BR-364, no trecho que liga os municípios de Rio Branco à Sena Madureira, já que surgiu em função da construção da referida estrada. A origem de Bujari está ligada, comercialmente, ao Extrativismo Vegetal, sendo que o mesmo era uma colocação de seringas chamada 'Bujari' e que pertencia ao Seringal Empresa fundado pelo cearense Neutel Maia, em 28 de dezembro de 1882.Quando o Acre foi elevado à categoria de Estado, residiam, no Bujari, três famílias que viviam da borracha e de pequenas agriculturas. Porém, o primeiro avanço populacional considerado, data de 1969 quando por ocasião da construção da BR-364 muitas famílias começaram a instalar-se às margens da estrada. O 5º Batalhão de Engenharia e Construção estava efetuando a construção da BR quando seu comandante exigiu que muitas famílias afastassem suas residências, fazendo com que muitos moradores perdessem o espaço que ocupavam. O problema agravava-se até que em 1978, uma comissão de moradores foram ao palácio Rio Branco, falar com o governador Geraldo Gurgel de Mesquita que, para resolver o problema, comprou uma área de dez hectares de terras, dividiu-a em lotes urbanos e distribuiu-os entre as famílias prejudicadas. Povoado elevado à categoria de Vila, em 1986.Elevado à categoria de município e distrito com a denominação de Bujari, pela Lei Estadual n.º 1.031, de 28-04-1992, alterada pela Lei Estadual n.º 1.066, de 09-12-1992, desmembrado de Rio Branco. Sede no atual distrito de Bujari (ex-localidade). Constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Confederação Nacional de Municípios: http://www.cnm.org.br",NA
capixaba,ac,"Com a falência dos seringais nativos, aos poucos começou a surgir aglomerações de ex-seringueiros que posteriormente transformaram-se em vilas. O atual município de Capixaba nasceu assim.A vila formou-se no antigo Seringal Gavião de propriedade do Sr. João Sombra. Daí, seu primeiro nome, Vila Gavião. No seringal Salgado vizinho ao seringal Gavião por volta de 1960 somente havia três moradores (Sr. Davi, Sr. Ceará e Sr. Dico).Com a implantação da Escola Estadual Argentina Pereira Feitosa, fundada pelo professor José Clóvis Raulino por volta de 1962 e de uma igreja católica, começou a surgir a pequena Vila Gavião, que era habitada principalmente por ex-seringueiros.Por volta da década de 70, começou a migração de pessoas advindas principalmente do sul do país, pois, iniciara no Acre com o incentivo do governo estadual, a implantação de grandes fazendas (latifúndios) de criação de gado, pois o governo acreditava que a pecuária traria o tão sonhado desenvolvimento para o Estado. Então, na onda de migração rumo ao Acre, na Vila Gavião chegou uma família vinda do Espírito Santo que trouxera na bagagem uma pequena serraria manual conhecida como pica-pau e se instalou na vila ou km 47 como também era conhecida. A partir daí, todos que queriam ir ao km 47 ou na Vila Gavião, tinham como ponto de referência a serraria do capixaba.Com o passar do tempo todos começaram a chamar a antiga Vila de Vila Capixaba. Entretanto, o mais curioso, ficou por conta das cédulas de votação: quem queria Vila Santo Antônio, votava colocando na urna um caroço de milho. Quem queria Vila Capixaba, votava colocando na urna um caroço de feijão. Assim ao final da votação, após a contagem das cédulas, ganhou o feijão. Elevado à categoria de município e distrito com a denominação de Capixaba, pela Lei Estadual n.º 1.027, de 28-04-1992, alterado em seus limites pela Lei Estadual n.º 1.062, de 09-12-1992, desmembrado de Rio Branco e Xapuri. Sede no atual distrito de Capixaba (ex-localidade). Constituído do distrito sede. Instalado em 01-01-1993.Em divisão territorial datada de 1997, o município é constituído do distrito sede.Assim permanecendo em divisão territotial datada de 2007. Confederação Nacional de Municípios http://www.cnm.org.br",NA
cruzeiro-do-sul,ac,"A região que hoje compreende o município de Cruzeiro do Sul era habitada por tribos indígenas. Os índios que habitavam o vale do Juruá (49 tribos) eram do tronco Arawak ou Aruak, e se dividiam em grupos com as suas denominações particulares: Ararauas, Catukinas, Curimas, etc. Na época das explorações foram encontradas as tribos dos Náuas, Amahuacas, Jamináuas, Capanáuas, Caxinauás, entre outros. Ao longo das margens do rio Juruá vivia a tribo dos Náuas, multiplicando-se em tabas, dominando o rio e a selva, no trecho onde está localizado a cidade de Cruzeiro do Sul, até o extremo do extenso Estirão (trecho do rio que corre em linha reta).A tribo dos Nauas, os principais dominantes, que fez retroceder a expedição do cientista inglês William Chandlesse, em 1867, abandonou a localidade a partir de 1870, rumando para o Peru pelos altos rios, em conseqüência de terrível epidemia.Data de 1857 o início das expedições para o alto Juruá, quando o chefe de índios João da Cunha Correia, chegou a foz do rio Juruá-Mirim. Várias expedições foram realizadas, proporcionando o início do povoamento da região. Formaram-se seringais, em virtude da imigração de nordestinos que, acossados pelo fenômeno das secas, abandonaram os sertões nos anos de 1877 a 1879. O seringal denominado Centro Brasileiro foi explorado por volta de 1890, e passou a congregar grande número de brasileiros.Em 1896, os primeiros caucheiros peruanos começaram a aparecer. Em 1902, o comissário peruano Carlos Casquez Guadra estabeleceu-se oficialmente à foz do rio Amônea, dando início a uma seqüência de choques entre brasileiros e peruanos.Através da organização administrativa e jurídica do Acre é possível conhecermos a organização político-administrativa e jurídica do município.A Lei n.º 1.181 de 25 de fevereiro de 1904 dividiu o Acre em três departamentos administrativos: Departamento do Alto Juruá; Departamento do Alto Purus e Departamento do Alto Juruá.O Departamento do Alto Juruá correspondia a região de Cruzeiro do Sul e a região de Tarauacá, sendo administrada por prefeito nomeado pelo Presidente da República. O Coronel Gregório Thaumaturgo de Azevedo foi o primeiro prefeito do Departamento do Alto Juruá. Ele instalou a sede provisória do Departamento do Alto Juruá em Cruzeiro do Sul na foz do Rio Moa, através do Decreto de 12 de setembro de 1904. Em cumprimento ao Decreto n.º 08 de 28 de setembro de 1904, ele transferiu a sede do Departamento do Alto Juruá para o Seringal Centro Brasileiro à margem esquerda do Rio Juruá do Sr. Antônio Marques de Menezes (Pernambuco) que foi adquirido através de compra pelo Governo da União. Elevado à categoria de vila com a denominação de Cruzeiro do Sul (ex-povoado de Centro Brasileiro), pelo Decreto do prefeito n.º 8, de 28-09-1904. com sede no antigo Departamento do Alto Juruá - criado por Decreto Federal n.º 5.188, de 07-04-1904. Instalado em 12-09-1904.Elevado à condição de cidade, com a denominação de Cruzeiro do Sul, pelo Decreto do prefeito n.º 34, de 31-05-1906. CRUZEIRO DO SUL (AC). Prefeitura. Disponível em: http://www.cruzeirodosul.ac.gov.br. Acesso em: abr. 2011.",NA
epitaciolandia,ac,"O nome Epitaciolândia é uma homenagem ao Ex-Presidente da República Epitácio Pessoa.Aos poucos a comunidade foi se desenvolvendo formando um pequeno vilarejo, onde foram instalados comércios, igrejas, escolas, etc. O que lhe deu estrutura para passar a categoria de vila recebendo o nome de vila Epitácio Pessoa, isto por volta de 1958.Seu desenvolvimento sócio-político-econômico se deu ao longo de vários anos, com a criação de escolas e instituições como: Sub-Delegacia, Sub-Prefeitura, instalação da 4ª Companhia Especial de Fronteira, fundação do Campo de Aviação, Posto de Fiscalização na Fronteira, expansão do comércio e organização política, etc.Sua emancipação política se deu através de plebiscito entre os moradores. Elevado novamente à categoria de município com a denominação de Epitaciolândia, pela Lei Estadual n.º 1.026, de 28-04-1992.Alterado em seus limites, pela Lei Estadual n.º 1.061, de 09-12-1992, desmembrado de Brasiléia e Xapuri. Sede no atual distrito de Epitaciolândia (ex-localidade). Constituído do distrito sede. Instalado em 01-01-1993.Em divisão territorial datada de 2003, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Prefeitura Municipal",NA
feijo,ac,"Habitavam as terras do atual município de Feijó as tribos Jaminauás e Chacauás.A primeira expedição de civilização data de 1879, com a chegada, à foz do rio Envira, do navio Munducurus, que trouxe para a região grande número de imigrantes nordestinos.Houve lutas com os naturais, mas, aos poucos, os nordestinos desbravaram o lugar. Subindo os rios e igarapés, começaram a demarcar seus “domínios”.É neste contexto que surge à margem direita do rio Envira, o Seringal Porto Alegre que mais tarde deu origem ao município de Feijó. Após alguns anos o seringal tornou-se um vilarejo, e aos 13 de maio de 1906, foi elevado a categoria de vila sob a denominação de Feijó, em homenagem ao Pe. Diogo Feijó, nome que se conserva até hoje. Elevado à categoria de vila com a denominação de Feijó, por Decreto do Prefeito n.º 31, de 03-05-1906, sede na vila de Feijó. Constituído do distrito sede.Em divisão administrativa referente ao ano de 1911, o município é constituído do distrito sede.Elevado à condição de cidade com a denominação de Feijó, pelo Decreto-lei n.º 968, de 1928.Em divisão administrativa referente ao ano de 1933, o município é constituído do distrito sede.Pelo decreto territorial n.º 43, de 29-03-1938, o município é extinto, sendo seu território anexado ao município de Seabra (ex-Taraucá).Elevado novamente à categoria de município com a denominação de Feijó, pelo Decreto-lei Federal n.º 968, de 21-12-1938. Desmembrado de Seabra.No antigo distrito de Feijó. Constituído do distrito sede. Instalado em 01-01-1939.No quadro fixado para vigorar no período de 1944-1948, o município é constituído do distrito sede. Composto das zonas de Feijó, Ajubim, Bom Sucesso, Califórnia, Foz do Jurupari, Porto Brasil e Porto Rubim.Em divisão territorial datada de 1-VII-1960, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Prefeitura Municipal http://www.feijo.ac.gov.br 	Confederação Nacional de Municípios www.cnm.org.br",NA
jordao,ac,"O local onde está localizado hoje o Município de Jordão era denominado Seringal Duas Nações, de propriedade do Sr. Levi Saveda, e pertencia ao município de Tarauacá. Em 1956 passou a ser denominada Vila Jordão.Em 29 de março de 1992, seu povo se reuniu e resolveu transformar a Vila Jordão em município, contando o apoio do Prefeito de Tarauacá, Esperidião Menezes Júnior, do Juiz eleitoral da Comarca de Tarauacá, Dr. Francisco Djalma da Silva, e do Governador do Estado Sr. Romildo Magalhães da Silva.Houve um plebiscito, que por maioria absoluta de votos passou a categoria de município de Jordão. No dia 03 de outubro do mesmo ano foi eleito o primeiro prefeito através do voto popular, o Sr. Hilário de Holanda Melo. Em divisão territoriais datadas de 31-XII-1936 e 31-XII-1937, figura no município de Tarauacá o distrito de Jordão.No quadro fixado para vigorar no período de 1939-1943, o distrito de Jordão figura no município de Tarauacá. .Assim permanecendo em divisão territorial datada de 1-VII-1960.Elevado à categoria de município com a denominação de Jordão, pela Lei Estadual n.º 1.034, de 28-04-1992, alterado em seus limites, pela Lei Estadual n.º 1.069, de 09-12-1992.    desmembrados do município de Tarauacá. Sede no antigo distrito de Jordão. Constituído do distrito sede. Instalado em 01-01-1993.Em divisão territorial datada de 1995, o município é constituído do distrito sede.Assim permanecendo em divisão territorial datada de 2007. Prefeitura Municipal http://www.jordao.ac.gov.br",NA
