municipality,start_date,station,railway,branch
"Natal,RN",1917?,NATAL(RIBEIRA),E.F.CentraldoR.G.doNorte/RedeFerroviáriadoNordeste(1906-1975)/RFN/RFFSA(1975-1982)CBTU(1982-),Linhas Sul e Norte da CBTU- km 0
"Natal,RN",1917?,NATAL(RIBEIRA),E.F.CentraldoR.G.doNorte/RedeFerroviáriadoNordeste(1906-1975)/RFN/RFFSA(1975-1982)CBTU(1982-),Linhas Sul e Norte da CBTU- km 0
"AreiaBranca,RN",19.03.1915,PORTOFRANCO,E.F.Mossoró-Souza(1915-1950)RedeFerroviáriadoNordeste(1950-1964),E. F. Mossoró-Souza- km 0 (1960)
"Mossoró,RN",19.03.1915,MOSSORÓ,E.F.Mossoró-Souza(1915-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1997),E. F. Mossoró-Souza- km 37 (1960)
"Natal,RN",09.10.1982,ALECRIMI,CBTU(1982-),Linha Norte/CBTU- km 3
"Natal,RN",13.09.1988,ALECRIMII(antigaGUARITA),CBTU(1988-),Linha Sul/CBTU- km 3
"Mossoró,RN",n/d,CAMURIM(PRIMEIRAPARADA),E.F.Mossoró-Souza(n/d-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1997),E. F. Mossoró-Souza- km 63
"GovernadorDix-SeptRosado,RN",01.11.1926,DIX-SEPTROSADO(antigaSÃOSEBASTIÃO),E.F.Mossoró-Souza(1926-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1997),E. F. Mossoró-Souzakm             77 (1960)
"Natal,RN",09.10.1982,QUINTAS,CBTU(1982-),Linha Norte/CBTU- km 4
"Natal,RN",01.12.1955,PADREJOÃOMARIA,E.F.SampaioCorrea(1955)/RedeFerroviáriadoNordeste/RFFSA/CBTU(1982-),Linha Sul/CBTU- km 4 (1960)
"GovernadorDix-SeptRosado,RN",01.11.1926,DIX-SEPTROSADO(antigaSÃOSEBASTIÃO),E.F.Mossoró-Souza(1926-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1997),E. F. Mossoró-Souzakm             77 (1960)
"Cajupiranga,RN",02.2022,BOAESPERANÇA,CBTU(2022-),Linha Sul/CBTU- km 13 (1960)
"Caraúbas,RN",n/d,QUILÔMETRO101(antigaLUCIANOVERASeSEGUNDAPARADA),E.F.Mossoró-Souza(?-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1997),E. F. Mossoró-Souzakm             101 (1960)
