municipality,start_date,station,railway,branch
"Recife,PE",20.10.1881,BRUM(RECIFE),GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-anos1970),Linha Norte- km 0 (1960)
"Recife,PE",25.03.1885,ESTAÇÃOCENTRALDORECIFE,E.F.CentraldePernambuco(1885-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1982)METROREC(1982-),Linha Centrokm 0 (1960)
"Recife,PE",20.11.1881,ENCRUZILHADA,GreatWestern(1881-c.1934),Linha Nortekm 4 (1960)
"Recife,PE",01.01.1900,IPIRANGA,E.F.CentraldePernambuco(1900-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 4 (1960)
"Recife,PE",20.10.1881,ARRAIAL,GreatWestern(1881-c.1934),Linha Nortekm 7 (1960)
"Recife,PE",01.05.1891,EDGARDWERNECK(antigaAREIAS),E.F.CentraldePernambuco(1891-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 7 (1960)
"Recife,PE",20.10.1881,MACACOS,GreatWestern(1881-c.1934),Linha Norte km 14 (1917)
"Recife,PE",25.03.1885,TEJIPIÓ,E.F.CentraldePernambuco(1885-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 9 (1960)
"Camaragibe,PE",20.10.1881,CAMARAGIBE,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 20 (1960)
"Camaragibe,PE",20.10.1881,CAMARAGIBE,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 20 (1960)
"Recife,PE",29.12.1908,PARADALACERDA(atualestaçãoRODOVIÁRIA),GreatWestern(1908-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996)METROREC(1996-),Ligação             Norte- km 15 (1960)
"Jaboatão,PE",31.08.1919,COQUEIRAL,GreatWestern(1919-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 10 (1960)
"SãoLourençodaMata,PE",20.10.1881,SÃOLOURENÇODAMATA,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte km 25 (1960)
"Jaboatão,PE",15.06.1935,FLORIANO(antigaVILLAMILITARFLORIANOPEIXOTO),GreatWestern(1935-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 14 (1960)
"SãoLourençodaMata,PE(vejaausina)",20.10.1881,TIUMA,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 30 (1960)
"JaboatãodosGuararapes,PE",23.03.1885,JABOATÃO,E.F.CentraldePernambuco(1885-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 17 (1960)
"PauD'Alho,PE",,PIRASSIRICA,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte            km 38 (1960)
"Moreno,PE",15.08.1885,MORENO,E.F.CentraldePernambuco(1885-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 27 (1960)
"PauD'Álho,PE",n/d,MUSSUREPE,GreatWestern(n/d-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Nortekm 41 (1960)
"Moreno,PE",10.11.1888,TAPERA,E.F.CentraldePernambuco(1888-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 38 (1960)
"PauD'Alho,PE",20.10.1881,SÃOSEVERINO,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte km 46 (1960)
"VitóriadeSantoAntão,PE",n/d,TAMATAMERIM,E.F.CentraldePernambuco(n/d-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 43 (1960)
"PauD'Alho,PE",20.10.1881,PAUD'ALHO,GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 49 (1960)
"VitóriadeSantoAntão,PE",09.01.1886,VITÓRIADESANTOANTÃO(antigaVICTORIA),E.F.CentraldePernambuco(1886-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 51 (1960)
"LagoadoCarro,PE",20.02.1882,LAGOADOCARRO,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de Bom Jardimkm 67 (1960)
